index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,lsu,Akron,akron,Akron,Yes,1,2022-2023,2022-2023,RESOLVED,Current D1 registry / established institutional lineage,,
1,lsu,Alaama St.,alabama-state,Alabama State,Yes,1,2024-2025,2024-2025,RESOLVED,Current D1 registry / established institutional lineage,,
2,lsu,Alabama,alabama,Alabama,Yes,194,1915-1916,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
3,lsu,Alabama State,alabama-state,Alabama State,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / established institutional lineage,,
4,lsu,Alcorn St.,alcorn-state,Alcorn State,Yes,1,1979-1980,1979-1980,RESOLVED,Current D1 registry / established institutional lineage,,
5,lsu,Alcorn State,alcorn-state,Alcorn State,Yes,4,1999-2000,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
6,lsu,Alexandria AB,alexandria-army-air-base,Alexandria Army Air Base,No,2,1943-1944,1943-1944,RESOLVED,Historical/non-current identity preserved conservatively,,
7,lsu,Alexandria Air,alexandria-army-air-base,Alexandria Army Air Base,No,2,1944-1945,1944-1945,RESOLVED,Historical/non-current identity preserved conservatively,,
8,lsu,Algiers Navy,algiers-navy,Algiers Navy,No,1,1944-1945,1944-1945,RESOLVED,Historical/non-current identity preserved conservatively,,
9,lsu,American,american-university,American University,Yes,1,2015-2016,2015-2016,RESOLVED,Current D1 registry / established institutional lineage,,
10,lsu,App. St,app-state,Appalachian State,Yes,1,1978-1979,1978-1979,RESOLVED,Current D1 registry / established institutional lineage,,
11,lsu,Arizona,arizona,Arizona,Yes,6,1990-1991,2002-2003,RESOLVED,Current D1 registry / established institutional lineage,,
12,lsu,Arizona St.,arizona-state,Arizona State,Yes,2,2007-2008,2009-2010,RESOLVED,Current D1 registry / established institutional lineage,,
13,lsu,Ark. State,arkansas-state,Arkansas State,Yes,1,1986-1987,1986-1987,RESOLVED,Current D1 registry / established institutional lineage,,
14,lsu,Arkansas,arkansas,Arkansas,Yes,83,1949-1950,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
15,lsu,Arkansas St.,arkansas-state,Arkansas State,Yes,1,1990-1991,1990-1991,RESOLVED,Current D1 registry / established institutional lineage,,
16,lsu,Arkansas State,arkansas-state,Arkansas State,Yes,2,1987-1988,2022-2023,RESOLVED,Current D1 registry / established institutional lineage,,
17,lsu,Army,army,Army,Yes,2,1969-1970,1978-1979,RESOLVED,Current D1 registry / established institutional lineage,,
18,lsu,Atlanta AC,atlanta-athletic-club,Atlanta Athletic Club,No,1,1915-1916,1915-1916,RESOLVED,Historical/non-current identity preserved conservatively,,
19,lsu,Auburn,auburn,Auburn,Yes,162,1911-1912,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
20,lsu,B irmingham-So,birmingham-southern,Birmingham-Southern,No,1,1952-1953,1952-1953,RESOLVED,Historical/non-current identity preserved conservatively,,
21,lsu,Ball State,ball-state,Ball State,Yes,1,2001-2002,2001-2002,RESOLVED,Current D1 registry / established institutional lineage,,
22,lsu,Barksdale AFB,barksdale-air-force-base,Barksdale Air Force Base,No,2,1943-1944,1943-1944,RESOLVED,Historical/non-current identity preserved conservatively,,
23,lsu,Baton Rouge H.S.,baton-rouge-high-school,Baton Rouge High School,No,1,1908-1909,1908-1909,RESOLVED,Historical/non-current identity preserved conservatively,,
24,lsu,Baylor,baylor,Baylor,Yes,7,1920-1921,1971-1972,RESOLVED,Current D1 registry / established institutional lineage,,
25,lsu,Belmont,belmont,Belmont,Yes,2,1998-1999,2021-2022,RESOLVED,Current D1 registry / established institutional lineage,,
26,lsu,Bergstrom Field,bergstrom-field,Bergstrom Field,No,1,1943-1944,1943-1944,RESOLVED,Historical/non-current identity preserved conservatively,,
27,lsu,Bessemer AC,bessemer-athletic-club,Bessemer Athletic Club,No,2,1910-1911,1911-1912,RESOLVED,Historical/non-current identity preserved conservatively,,
28,lsu,Bethune-Cook.,bethune-cookman,Bethune-Cookman,Yes,1,2012-2013,2012-2013,RESOLVED,Current D1 registry / established institutional lineage,,
29,lsu,Birmingham AC,birmingham-athletic-club,Birmingham Athletic Club,No,5,1910-1911,1917-1918,RESOLVED,Historical/non-current identity preserved conservatively,,
30,lsu,BIrmingham AC,birmingham-athletic-club,Birmingham Athletic Club,No,1,1917-1918,1917-1918,RESOLVED,Historical/non-current identity preserved conservatively,,
31,lsu,Birmingham High,birmingham-high-school,Birmingham High School,No,1,1910-1911,1910-1911,RESOLVED,Historical/non-current identity preserved conservatively,,
32,lsu,Bogalusa,bogalusa,Bogalusa,No,1,1940-1941,1940-1941,RESOLVED,Historical/non-current identity preserved conservatively,,
33,lsu,Boise State,boise-state,Boise State,Yes,2,2011-2012,2012-2013,RESOLVED,Current D1 registry / established institutional lineage,,
34,lsu,Boston College,boston-college,Boston College,Yes,1,2025-2026,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
35,lsu,Boston Univ.,boston-university,Boston University,Yes,2,1973-1974,1979-1980,RESOLVED,Current D1 registry / established institutional lineage,,
36,lsu,Bowling Green,bowling-green,Bowling Green,Yes,1,2019-2020,2019-2020,RESOLVED,Current D1 registry / established institutional lineage,,
37,lsu,Butler,butler,Butler,Yes,2,2008-2009,2013-2014,RESOLVED,Current D1 registry / established institutional lineage,,
38,lsu,BYU,byu,BYU,Yes,2,1960-1961,1991-1992,RESOLVED,Current D1 registry / established institutional lineage,,
39,lsu,BYU-Hawaii,byu-hawaii,BYU-Hawaii,No,2,1985-1986,1986-1987,RESOLVED,Historical/non-current identity preserved conservatively,,
40,lsu,B’ham So.,birmingham-southern,Birmingham-Southern,No,1,1956-1957,1956-1957,RESOLVED,Historical/non-current identity preserved conservatively,,
41,lsu,B’ham-So,birmingham-southern,Birmingham-Southern,No,1,1951-1952,1951-1952,RESOLVED,Historical/non-current identity preserved conservatively,,
42,lsu,B’ham-So.,birmingham-southern,Birmingham-Southern,No,1,1958-1959,1958-1959,RESOLVED,Historical/non-current identity preserved conservatively,,
43,lsu,B’mingham AC,birmingham-athletic-club,Birmingham Athletic Club,No,1,1919-1920,1919-1920,RESOLVED,Historical/non-current identity preserved conservatively,,
44,lsu,B’mingham YMCA,birmingham-ymca,Birmingham YMCA,No,1,1910-1911,1910-1911,RESOLVED,Historical/non-current identity preserved conservatively,,
45,lsu,Cal St. Fullerton,cal-state-fullerton,Cal State Fullerton,Yes,1,2008-2009,2008-2009,RESOLVED,Current D1 registry / established institutional lineage,,
46,lsu,Cal State LA,cal-state-los-angeles,Cal State Los Angeles,No,1,1989-1990,1989-1990,RESOLVED,Historical/non-current identity preserved conservatively,,
47,lsu,California,california,California,Yes,3,1975-1976,1992-1993,RESOLVED,Current D1 registry / established institutional lineage,,
48,lsu,Camp Polk,camp-polk,Camp Polk,No,1,1944-1945,1944-1945,RESOLVED,Historical/non-current identity preserved conservatively,,
49,lsu,Camp Van Dorn,camp-van-dorn,Camp Van Dorn,No,2,1943-1944,1943-1944,RESOLVED,Historical/non-current identity preserved conservatively,,
50,lsu,Campbell,campbell,Campbell,Yes,2,1992-1993,2001-2002,RESOLVED,Current D1 registry / established institutional lineage,,
51,lsu,Canisius,canisius,Canisius,Yes,2,1946-1947,1947-1948,RESOLVED,Current D1 registry / established institutional lineage,,
52,lsu,CCNY,city-college-of-new-york,City College of New York,No,1,1975-1976,1975-1976,RESOLVED,Historical/non-current identity preserved conservatively,,
53,lsu,Cent. Conn. St.,central-connecticut,Central Connecticut,Yes,1,1992-1993,1992-1993,RESOLVED,Current D1 registry / established institutional lineage,,
54,lsu,Cent. Mich.,central-michigan,Central Michigan,Yes,1,2010-2011,2010-2011,RESOLVED,Current D1 registry / established institutional lineage,,
55,lsu,Centenary,centenary-la,Centenary (LA),No,10,1914-1915,2010-2011,RESOLVED,Historical/non-current identity preserved conservatively,,
56,lsu,Chaminade,chaminade,Chaminade,No,3,1982-1983,2007-2008,RESOLVED,Historical/non-current identity preserved conservatively,,
57,lsu,Chapman,chapman,Chapman,No,1,1990-1991,1990-1991,RESOLVED,Historical/non-current identity preserved conservatively,,
58,lsu,Charleston,charleston,Charleston,Yes,4,2014-2015,2018-2019,RESOLVED,Current D1 registry / established institutional lineage,,
59,lsu,Charleston So.,charleston-southern,Charleston Southern,Yes,1,2024-2025,2024-2025,RESOLVED,Current D1 registry / established institutional lineage,,
60,lsu,Chattanooga,chattanooga,Chattanooga,Yes,1,2012-2013,2012-2013,RESOLVED,Current D1 registry / established institutional lineage,,
61,lsu,Cincinnati,cincinnati,Cincinnati,Yes,1,2005-2006,2005-2006,RESOLVED,Current D1 registry / established institutional lineage,,
62,lsu,Clemson,clemson,Clemson,Yes,6,1955-1956,2014-2015,RESOLVED,Current D1 registry / established institutional lineage,,
63,lsu,Clev. State,cleveland-state,Cleveland State,Yes,1,1982-1983,1982-1983,RESOLVED,Current D1 registry / established institutional lineage,,
