index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,LSURAW-00001,lsu,2025-26_record_book_year_by_year,1908-1909,1909,1909-01-30,Dixon Academy,Dixon Academy,dixon-academy,No,35,20,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 85,"1-30 Dixon Academy A W, 35-20",resolved,,,,,
1,LSURAW-00002,lsu,2025-26_record_book_year_by_year,1908-1909,1909,1909-02-06,Mississippi State,Mississippi State,mississippi-state,Yes,18,12,W,0,,,H,SOURCE_PROGRAM_HOME,,Old LSU Pavilion,Baton Rouge,LA,,,REGULAR_SEASON,,PDF p. 85,"2-6 Mississippi State H W, 18-12",resolved,,,,,
2,LSURAW-00003,lsu,2025-26_record_book_year_by_year,1908-1909,1909,1909-02-08,Mississippi State,Mississippi State,mississippi-state,Yes,14,10,W,0,,,H,SOURCE_PROGRAM_HOME,,Old LSU Pavilion,Baton Rouge,LA,,,REGULAR_SEASON,,PDF p. 85,"2-8 Mississippi State H W, 14-10",resolved,,,,,
3,LSURAW-00004,lsu,2025-26_record_book_year_by_year,1908-1909,1909,1909-02-18,Baton Rouge H.S.,Baton Rouge High School,baton-rouge-high-school,No,36,14,W,0,,,H,SOURCE_PROGRAM_HOME,,Old LSU Pavilion,Baton Rouge,LA,,,REGULAR_SEASON,,PDF p. 85,"2-18 Baton Rouge H.S. H W, 36-14",resolved,,,,,
4,LSURAW-00005,lsu,2025-26_record_book_year_by_year,1908-1909,1909,1909-02-26,YMCA (N.O.),New Orleans YMCA,new-orleans-ymca,No,11,27,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 85,"2-26 YMCA (N.O.) A L, 11-27",resolved,,,,,
5,LSURAW-00006,lsu,2025-26_record_book_year_by_year,1908-1909,1909,1909-02-27,YMCA (N.O.),New Orleans YMCA,new-orleans-ymca,No,16,37,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 85,"2-27 YMCA (N.O.) A L, 16-37",resolved,,,,,
6,LSURAW-00007,lsu,2025-26_record_book_year_by_year,1908-1909,1909,1909-03-06,Dixon Academy,Dixon Academy,dixon-academy,No,21,12,W,0,,,H,SOURCE_PROGRAM_HOME,,Old LSU Pavilion,Baton Rouge,LA,,,REGULAR_SEASON,,PDF p. 85,"3-6 Dixon Academy H W, 21-12",resolved,,,,,
7,LSURAW-00008,lsu,2025-26_record_book_year_by_year,1909-1910,1910,1910-02-04,Ole Miss,Ole Miss,ole-miss,Yes,39,14,W,0,,,H,SOURCE_PROGRAM_HOME,,Old LSU Pavilion,Baton Rouge,LA,,,REGULAR_SEASON,,PDF p. 85,"2-4 Ole Miss H W, 39-14",resolved,,,,,
8,LSURAW-00009,lsu,2025-26_record_book_year_by_year,1909-1910,1910,1910-02-05,Ole Miss,Ole Miss,ole-miss,Yes,25,4,W,0,,,H,SOURCE_PROGRAM_HOME,,Old LSU Pavilion,Baton Rouge,LA,,,REGULAR_SEASON,,PDF p. 85,"2-5 Ole Miss H W, 25-4",resolved,,,,,
9,LSURAW-00010,lsu,2025-26_record_book_year_by_year,1909-1910,1910,1910-02-26,YMCA (N.O.),New Orleans YMCA,new-orleans-ymca,No,11,53,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 85,"2-26 YMCA (N.O.) A L, 11-53",resolved,,,,,
