index,index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,0,maryland,AU Puerto Rico,american-university-of-puerto-rico,American University of Puerto Rico,No,1,1998-1999,1998-1999,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
1,1,maryland,Abilene Christian,abilene-christian,Abilene Christian,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
2,2,maryland,Air Force,air-force,Air Force,Yes,2,1977-1978,1978-1979,RESOLVED,Current D1 registry / Maryland source normalization,,
3,3,maryland,Ala.-Anchorage,alaska-anchorage,Alaska-Anchorage,No,1,1984-1985,1984-1985,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
4,4,maryland,Alabama,alabama,Alabama,Yes,8,1924-1925,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
5,5,maryland,Albany,ualbany,UAlbany,Yes,1,2011-2012,2011-2012,RESOLVED,Current D1 registry / Maryland source normalization,,
6,6,maryland,Alcorn State,alcorn-state,Alcorn State,Yes,4,1989-1990,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
7,7,maryland,American,american-university,American,Yes,18,1926-1927,2016-2017,RESOLVED,Current D1 registry / Maryland source normalization,,
8,8,maryland,Appalachian State,app-state,Appalachian State,Yes,2,1974-1975,1976-1977,RESOLVED,Current D1 registry / Maryland source normalization,,
9,9,maryland,Arizona,arizona,Arizona,Yes,3,1963-1964,2001-2002,RESOLVED,Current D1 registry / Maryland source normalization,,
10,10,maryland,Arizona State,arizona-state,Arizona State,Yes,3,1953-1954,2014-2015,RESOLVED,Current D1 registry / Maryland source normalization,,
11,11,maryland,Arkansas,arkansas,Arkansas,Yes,3,1987-1988,2005-2006,RESOLVED,Current D1 registry / Maryland source normalization,,
12,12,maryland,Army,army,Army,Yes,12,1938-1939,1989-1990,RESOLVED,Current D1 registry / Maryland source normalization,,
13,13,maryland,Augusta College,augusta,Augusta,No,1,1989-1990,1989-1990,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
14,14,maryland,Bainbridge Navy,bainbridge-navy,Bainbridge Navy,No,2,1943-1944,1943-1944,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
15,15,maryland,Ball State,ball-state,Ball State,Yes,1,1976-1977,1976-1977,RESOLVED,Current D1 registry / Maryland source normalization,,
16,16,maryland,Balt. City College,baltimore-city-college,Baltimore City College,No,1,1912-1913,1912-1913,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
17,17,maryland,Balt. Medical College,baltimore-medical-college,Baltimore Medical College,No,1,1912-1913,1912-1913,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
18,18,maryland,Baltimore City College,baltimore-city-college,Baltimore City College,No,3,1913-1914,1937-1938,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
19,19,maryland,Belmont,belmont,Belmont,Yes,1,2018-2019,2018-2019,RESOLVED,Current D1 registry / Maryland source normalization,,
20,20,maryland,Binghamton,binghamton,Binghamton,Yes,1,2022-2023,2022-2023,RESOLVED,Current D1 registry / Maryland source normalization,,
21,21,maryland,Biscayne,st-thomas-university,St. Thomas University,No,1,1978-1979,1978-1979,RESOLVED,Historical/non-current source identity or documented institutional lineage,,"Biscayne is normalized to the historical St. Thomas University (Florida) lineage, distinct from current D1 St. Thomas (Minnesota)."
22,22,maryland,Boston College,boston-college,Boston College,Yes,18,1957-1958,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
23,23,maryland,Boston University,boston-university,Boston University,Yes,5,1975-1976,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
24,24,maryland,Bowie State,bowie-state,Bowie State,No,1,2015-2016,2015-2016,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
25,25,maryland,Brown,brown,Brown,Yes,4,1971-1972,2021-2022,RESOLVED,Current D1 registry / Maryland source normalization,,
26,26,maryland,Bryant,bryant,Bryant,Yes,2,2008-2009,2019-2020,RESOLVED,Current D1 registry / Maryland source normalization,,
27,27,maryland,Bucknell,bucknell,Bucknell,Yes,9,1976-1977,2024-2025,RESOLVED,Current D1 registry / Maryland source normalization,,
28,28,maryland,Buffalo,buffalo,Buffalo,Yes,4,1969-1970,1972-1973,RESOLVED,Current D1 registry / Maryland source normalization,,
29,29,maryland,Butler,butler,Butler,Yes,2,2006-2007,2017-2018,RESOLVED,Current D1 registry / Maryland source normalization,,
30,30,maryland,California,california,California,Yes,2,1996-1997,2008-2009,RESOLVED,Current D1 registry / Maryland source normalization,,
31,31,maryland,Canisius,canisius,Canisius,Yes,8,1971-1972,2024-2025,RESOLVED,Current D1 registry / Maryland source normalization,,
32,32,maryland,Catholic,catholic,Catholic,No,23,1910-1911,2017-2018,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
