index,index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,0,MDRAW-00001,maryland,2025-26_record_book_all_time_results,1910-1911,1911,1911-01-07,New York University,New York University,new-york-university,No,7,25,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J7 New York University L 7-25,resolved,,,,,
1,1,MDRAW-00002,maryland,2025-26_record_book_all_time_results,1910-1911,1911,1911-01-11,Gallaudet,Gallaudet,gallaudet,No,30,58,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J11 at Gallaudet L 30-58,resolved,,,,,
2,2,MDRAW-00003,maryland,2025-26_record_book_all_time_results,1910-1911,1911,1911-01-26,Staunton Military,Staunton Military,staunton-military,No,24,58,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J26 at Staunton Military L 24-58,resolved,,,,,
3,3,MDRAW-00004,maryland,2025-26_record_book_all_time_results,1910-1911,1911,1911-01-27,Washington & Lee,Washington & Lee,washington-and-lee,No,17,46,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J27 at Washington & Lee L 17-46,resolved,,,,,
4,4,MDRAW-00005,maryland,2025-26_record_book_all_time_results,1910-1911,1911,1911-01-28,VMI,VMI,vmi,Yes,17,14,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J28 at VMI W 17-14,resolved,,,,,
5,5,MDRAW-00006,maryland,2025-26_record_book_all_time_results,1910-1911,1911,1911-01-31,Washington & Lee,Washington & Lee,washington-and-lee,No,24,29,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J31 Washington & Lee L 24-29,resolved,,,,,
6,6,MDRAW-00007,maryland,2025-26_record_book_all_time_results,1910-1911,1911,1911-02-04,Delaware,Delaware,delaware,Yes,14,23,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F4 at Delaware L 14-23,resolved,,,,,
7,7,MDRAW-00008,maryland,2025-26_record_book_all_time_results,1910-1911,1911,1911-02-11,Gallaudet,Gallaudet,gallaudet,No,27,54,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F11 Gallaudet L 27-54,resolved,,,,,
8,8,MDRAW-00009,maryland,2025-26_record_book_all_time_results,1910-1911,1911,1911-02-15,Georgetown,Georgetown,georgetown,Yes,25,31,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F15 at Georgetown L 25-31,resolved,,,,,
9,9,MDRAW-00010,maryland,2025-26_record_book_all_time_results,1910-1911,1911,1911-02-18,Mount St. Joseph’s,Mount St. Joseph's,mount-st-josephs,No,22,20,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F18 Mount St. Joseph’s W 22-20,resolved,,,,,
10,10,MDRAW-00011,maryland,2025-26_record_book_all_time_results,1910-1911,1911,1911-02-22,Catholic,Catholic,catholic,No,35,30,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F22 Catholic W 35-30,resolved,,,,,
11,11,MDRAW-00012,maryland,2025-26_record_book_all_time_results,1910-1911,1911,,Widener College,Widener,widener,No,19,50,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,at Widener College L 19-50,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
12,12,MDRAW-00013,maryland,2025-26_record_book_all_time_results,1912-1913,1913,1913-01-11,Central YMCA,Central YMCA,central-ymca,No,7,34,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J11 at Central YMCA L 7-34,resolved,,,,,
13,13,MDRAW-00014,maryland,2025-26_record_book_all_time_results,1912-1913,1913,1913-01-18,Mount St. Joseph’s,Mount St. Joseph's,mount-st-josephs,No,2,24,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J18 at Mount St. Joseph’s L 2-24,resolved,,,,,
14,14,MDRAW-00015,maryland,2025-26_record_book_all_time_results,1912-1913,1913,1913-01-22,Gallaudet,Gallaudet,gallaudet,No,12,19,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J22 at Gallaudet L 12-19,resolved,,,,,
15,15,MDRAW-00016,maryland,2025-26_record_book_all_time_results,1912-1913,1913,1913-01-24,Virginia,Virginia,virginia,Yes,1,65,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J24 at Virginia L 1-65,resolved,,,,,
16,16,MDRAW-00017,maryland,2025-26_record_book_all_time_results,1912-1913,1913,1913-01-25,Balt. City College,Baltimore City College,baltimore-city-college,No,30,29,W,1,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J25 Balt. City College (OT) W 30-29,resolved,,,,,
17,17,MDRAW-00018,maryland,2025-26_record_book_all_time_results,1912-1913,1913,1913-01-28,George Washington,George Washington,george-washington,Yes,14,21,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J28 George Washington L 14-21,resolved,,,,,
18,18,MDRAW-00019,maryland,2025-26_record_book_all_time_results,1912-1913,1913,1913-02-01,Mount St. Joseph’s,Mount St. Joseph's,mount-st-josephs,No,41,23,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F1 Mount St. Joseph’s W 41-23,resolved,,,,,
19,19,MDRAW-00020,maryland,2025-26_record_book_all_time_results,1912-1913,1913,1913-02-12,Georgetown,Georgetown,georgetown,Yes,9,43,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F12 at Georgetown L 9-43,resolved,,,,,
20,20,MDRAW-00021,maryland,2025-26_record_book_all_time_results,1912-1913,1913,1913-02-22,Balt. Medical College,Baltimore Medical College,baltimore-medical-college,No,36,27,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F22 Balt. Medical College W 36-27,resolved,,,,,
21,21,MDRAW-00022,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-01-10,Mount St. Joseph’s,Mount St. Joseph's,mount-st-josephs,No,,,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J10 Mount St. Joseph’s L,resolved,Played score not printed in Maryland's all-time-results ledger; left unknown.,,,,
22,22,MDRAW-00023,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-01-14,Catholic,Catholic,catholic,No,,,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J14 at Catholic L,resolved,Played score not printed in Maryland's all-time-results ledger; left unknown.,,,,
23,23,MDRAW-00024,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-01-17,Mount St. Joseph’s,Mount St. Joseph's,mount-st-josephs,No,,,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J17 at Mount St. Joseph’s L,resolved,Played score not printed in Maryland's all-time-results ledger; left unknown.,,,,
24,24,MDRAW-00025,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-01-21,Gallaudet,Gallaudet,gallaudet,No,15,79,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J21 at Gallaudet L 15-79,resolved,,,,,
25,25,MDRAW-00026,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-01-23,St. John’s (Annapolis),St. John's (Annapolis),st-johns-annapolis,No,10,48,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J23 at St. John’s (Annapolis) L 10-48,resolved,,,,,
26,26,MDRAW-00027,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-01-24,Loyola (Md.),Loyola Maryland,loyola-maryland,Yes,,,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J24 at Loyola (Md.) L,resolved,Played score not printed in Maryland's all-time-results ledger; left unknown.,,,,
27,27,MDRAW-00028,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-01-28,Georgetown,Georgetown,georgetown,Yes,,,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J28 at Georgetown L,resolved,Played score not printed in Maryland's all-time-results ledger; left unknown.,,,,
28,28,MDRAW-00029,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-01-31,Catholic,Catholic,catholic,No,,,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J31 Catholic L,resolved,Played score not printed in Maryland's all-time-results ledger; left unknown.,,,,
29,29,MDRAW-00030,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-02-03,Washington & Lee,Washington & Lee,washington-and-lee,No,8,63,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F3 at Washington & Lee L 8-63,resolved,,,,,
30,30,MDRAW-00031,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-02-04,VMI,VMI,vmi,Yes,3,44,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F4 at VMI L 3-44,resolved,,,,,
31,31,MDRAW-00032,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-02-07,St. John’s (Annapolis),St. John's (Annapolis),st-johns-annapolis,No,15,38,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F7 at St. John’s (Annapolis) L 15-38,resolved,,,,,
32,32,MDRAW-00033,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-02-11,George Washington,George Washington,george-washington,Yes,,,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F11 George Washington L,resolved,Played score not printed in Maryland's all-time-results ledger; left unknown.,,,,
33,33,MDRAW-00034,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-02-14,Gallaudet,Gallaudet,gallaudet,No,,,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F14 Gallaudet L,resolved,Played score not printed in Maryland's all-time-results ledger; left unknown.,,,,
34,34,MDRAW-00035,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-02-21,Baltimore City College,Baltimore City College,baltimore-city-college,No,,,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F21 Baltimore City College L,resolved,Played score not printed in Maryland's all-time-results ledger; left unknown.,,,,
35,35,MDRAW-00036,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-02-28,Widener College,Widener,widener,No,,,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F28 at Widener College L,resolved,Played score not printed in Maryland's all-time-results ledger; left unknown.,,,,
36,36,MDRAW-00037,maryland,2025-26_record_book_all_time_results,1913-1914,1914,1914-03-04,Delaware,Delaware,delaware,Yes,,,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M4 at Delaware L,resolved,Played score not printed in Maryland's all-time-results ledger; left unknown.,,,,
37,37,MDRAW-00038,maryland,2025-26_record_book_all_time_results,1918-1919,1919,1919-01-18,Gallaudet,Gallaudet,gallaudet,No,27,26,W,0,,,unprefixed,NEUTRAL,,,,,at Washington YMCA No teams from,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J18 Gallaudet 1 W 27-26,resolved,,,,,
38,38,MDRAW-00039,maryland,2025-26_record_book_all_time_results,1918-1919,1919,1919-01-25,Catholic,Catholic,catholic,No,7,25,L,0,,,unprefixed,NEUTRAL,,,,,at Washington YMCA No teams from,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J25 Catholic 1 L 7-25,resolved,,,,,
