index,index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,0,maryland,arco-arena,VEN-000013,ARCO Arena,Arco Arena,Sacramento,CA,arena,,,unknown,2,1998-03-12,1998-03-14,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: Arco Arena. Integration rebase resolved final global venue ID VEN-000013.
1,1,maryland,alamodome,VEN-000002,Alamodome,,San Antonio,TX,arena,,,unknown,2,1995-02-19,2003-03-28,,,,,,Maryland record book NCAA Tournament history / game footnotes | Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000002.
2,2,maryland,amway-center,VEN-000012,Amway Center,,Orlando,FL,arena,,,unknown,1,2017-03-16,2017-03-16,,,,,,Maryland record book NCAA Tournament history / game footnotes,Integration rebase resolved final global venue ID VEN-000012.
3,3,maryland,state-farm-center,VEN-000196,Assembly Hall,,Champaign,IL,arena,,,unknown,1,2006-11-28,2006-11-28,,,,,,Maryland record book game/event footnotes,Integration preparation: current-main physical identity uses venue_key state-farm-center. Integration rebase resolved final global venue ID VEN-000196.
4,4,maryland,ball-arena,VEN-000018,Ball Arena,Pepsi Center,Denver,CO,arena,,,unknown,2,2004-03-18,2004-03-20,,,,,,Maryland record book NCAA Tournament history / game footnotes,Physical venue aliases/source-era names used in Maryland evidence: Pepsi Center. Integration rebase resolved final global venue ID VEN-000018.
5,5,maryland,barclays-center,VEN-000020,Barclays Center,"Brooklyn, NY / Barclays Center",Brooklyn,NY,arena,,,unknown,2,2021-12-12,2024-12-21,,,,,,Maryland record book game/event footnotes,"Physical venue aliases/source-era names used in Maryland evidence: Brooklyn, NY / Barclays Center. Integration rebase resolved final global venue ID VEN-000020."
6,6,maryland,amalie-arena,VEN-000008,Benchmark International Arena,,Tampa,FL,arena,,,unknown,1,2007-03-08,2007-03-08,,,,,,Owner-authorized conference-tournament site workbook,Integration preparation: current-main physical identity uses venue_key amalie-arena. Integration rebase resolved final global venue ID VEN-000008.
7,7,maryland,boston-garden,VEN-000313,Boston Garden,,Boston,MA,arena,,,unknown,1,1990-01-20,1990-01-20,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000313.
8,8,maryland,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,unknown,1,2000-11-29,2000-11-29,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000026.
9,9,maryland,bren-events-center,VEN-000314,Bren Events Center,,Irvine,CA,arena,,,unknown,2,1988-11-25,1988-11-26,,,,,,Maryland record book game/event footnotes,Integration rebase resolved final global venue ID VEN-000314.
