index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,michigan-state,AC Spark Plug (Flint),ac-spark-plug-flint,AC Spark Plug (Flint),No,1,1919-1920,1919-1920,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
1,michigan-state,ADRIAN,adrian,Adrian,No,9,1905-1906,1927-1928,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
2,michigan-state,Adrian,adrian,Adrian,No,3,1905-1906,1907-1908,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
3,michigan-state,Akron,akron,Akron,Yes,1,1913-1914,1913-1914,RESOLVED,Current D1 registry / established institutional lineage,,
4,michigan-state,Ala.-Birmingham,uab,UAB,Yes,2,1984-1985,1988-1989,RESOLVED,Current D1 registry / established institutional lineage,,
5,michigan-state,Alabama,alabama,Alabama,Yes,3,1983-1984,2022-2023,RESOLVED,Current D1 registry / established institutional lineage,,
6,michigan-state,Alabama St.,alabama-state,Alabama State,Yes,1,2000-2001,2000-2001,RESOLVED,Current D1 registry / established institutional lineage,,
7,michigan-state,ALBION,albion,Albion,No,9,1905-1906,1944-1945,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
8,michigan-state,Albion,albion,Albion,No,2,1905-1906,1944-1945,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
9,michigan-state,ALCORN,alcorn-state,Alcorn State,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / established institutional lineage,,
10,michigan-state,ALCORN STATE,alcorn-state,Alcorn State,Yes,1,2008-2009,2008-2009,RESOLVED,Current D1 registry / established institutional lineage,,
11,michigan-state,Alger Co. Club,alger-country-club,Alger Country Club,No,1,1919-1920,1919-1920,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
12,michigan-state,ALMA,alma,Alma,No,12,1901-1902,1948-1949,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
13,michigan-state,Alma,alma,Alma,No,4,1901-1902,1911-1912,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
14,michigan-state,Alpena Independent,alpena-independent,Alpena Independent,No,1,1919-1920,1919-1920,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
15,michigan-state,ANN ARBOR YMCA,ann-arbor-ymca,Ann Arbor YMCA,No,1,1905-1906,1905-1906,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
16,michigan-state,Ann Arbor YMCA,ann-arbor-ymca,Ann Arbor YMCA,No,1,1905-1906,1905-1906,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
17,michigan-state,ARIZONA,arizona,Arizona,Yes,2,1946-1947,2001-2002,RESOLVED,Current D1 registry / established institutional lineage,,
18,michigan-state,Arizona,arizona,Arizona,Yes,6,1987-1988,2023-2024,RESOLVED,Current D1 registry / established institutional lineage,,
19,michigan-state,Arizona State,arizona-state,Arizona State,Yes,1,1972-1973,1972-1973,RESOLVED,Current D1 registry / established institutional lineage,,
20,michigan-state,ARK.-PINE BLUFF,arkansas-pine-bluff,UAPB,Yes,3,2012-2013,2015-2016,RESOLVED,Current D1 registry / established institutional lineage,,
21,michigan-state,Arkansas,arkansas,Arkansas,Yes,3,1991-1992,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
22,michigan-state,ARMOUR INSTITUTE,illinois-tech,Illinois Tech,No,5,1906-1907,1922-1923,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
23,michigan-state,Armour Institute,illinois-tech,Illinois Tech,No,4,1907-1908,1911-1912,RESOLVED,Michigan State media guide / historical non-current identity normalization,,
