index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,MSURAW-00001,michigan-state,2025-26_media_guide_year_by_year,1898-1899,1899,1899-02-27,OLIVET,Olivet,olivet,No,6,7,L,0,,,H,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 173,2/27/99 OLIVET 6-7 L,resolved,,,,,
1,MSURAW-00002,michigan-state,2025-26_media_guide_year_by_year,1898-1899,1899,1899-03-13,Olivet,Olivet,olivet,No,6,15,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 173,3/13/99 Olivet 6-15 L,resolved,,,,,
2,MSURAW-00003,michigan-state,2025-26_media_guide_year_by_year,1899-1900,1900,1900-01-20,Olivet,Olivet,olivet,No,5,6,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 173,1/20/00 Olivet 5-6 L,resolved,,,,,
3,MSURAW-00004,michigan-state,2025-26_media_guide_year_by_year,1899-1900,1900,1900-02-03,OLIVET,Olivet,olivet,No,6,8,L,0,,,H,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 173,2/3/00 OLIVET 6-8 L,resolved,,,,,
4,MSURAW-00005,michigan-state,2025-26_media_guide_year_by_year,1899-1900,1900,1900-03-03,Eastern Michigan,Eastern Michigan,eastern-michigan,Yes,25,8,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 173,3/3/00 Eastern Michigan 25-8 W,resolved,,,,,
5,MSURAW-00006,michigan-state,2025-26_media_guide_year_by_year,1899-1900,1900,1900-03-10,Governor’s Guard,Governor’s Guard,governors-guard,No,25,7,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 173,3/10/00 Governor’s Guard 25-7 W,resolved,,,,,
6,MSURAW-00007,michigan-state,2025-26_media_guide_year_by_year,1900-1901,1901,1901-02-16,OLIVET,Olivet,olivet,No,18,10,W,0,,,H,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 173,2/16/01 OLIVET 18-10 W,resolved,,,,,
7,MSURAW-00008,michigan-state,2025-26_media_guide_year_by_year,1900-1901,1901,1901-03-02,EASTERN MICHIGAN,Eastern Michigan,eastern-michigan,Yes,21,6,W,0,,,H,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 173,3/2/01 EASTERN MICHIGAN 21-6 W,resolved,,,,,
8,MSURAW-00009,michigan-state,2025-26_media_guide_year_by_year,1900-1901,1901,1901-03-16,Eastern Michigan,Eastern Michigan,eastern-michigan,Yes,12,7,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 173,3/16/01 Eastern Michigan 12-7 W,resolved,,,,,
9,MSURAW-00010,michigan-state,2025-26_media_guide_year_by_year,1901-1902,1902,1902-02-01,ALMA,Alma,alma,No,102,3,W,0,,,H,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 173,2/1/02 ALMA 102-3 W,resolved,,,,,
