index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,michigan-state,alamodome,VEN-000002,Alamodome,,San Antonio,TX,stadium,,,unknown,2,2003-03-28,2003-03-30,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence.,Integration rebase resolved final global venue ID VEN-000002.
1,michigan-state,amalie-arena,VEN-000008,Benchmark International Arena,,Tampa,FL,arena,,,unknown,3,2003-03-21,2011-03-17,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence.,Integration rebase resolved final global venue ID VEN-000008.
2,michigan-state,ball-arena,VEN-000018,Ball Arena,,Denver,CO,arena,,,unknown,2,2008-03-20,2008-03-22,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence.,Integration rebase resolved final global venue ID VEN-000018.
3,michigan-state,bok-center,VEN-000024,BOK Center,,Tulsa,OK,arena,,,unknown,2,2017-03-17,2017-03-19,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence.,Integration rebase resolved final global venue ID VEN-000024.
4,michigan-state,bon-secours-wellness-arena,VEN-000025,Bon Secours Wellness Arena,,Greenville,SC,arena,,,unknown,2,2022-03-18,2022-03-20,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence.,Integration rebase resolved final global venue ID VEN-000025.
5,michigan-state,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,unknown,2,1999-03-12,1999-03-14,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence.,Integration rebase resolved final global venue ID VEN-000026.
6,michigan-state,breslin-center,VEN-000029,Breslin Center,Jack Breslin Student Events Center,East Lansing,MI,arena,1989,,YEAR,580,1989-11-29,2026-03-05,home,1989-11-29,,exact,A Michigan State game must already be independently classified home before home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Michigan State institutional/athletics home-court history. Michigan State Athletics official completed 2025-26 schedule/results.,Current primary Michigan State home. Chronology supplies venue only after independent home classification. Integration rebase resolved final global venue ID VEN-000029.
7,michigan-state,caesars-superdome,VEN-000034,Caesars Superdome,,New Orleans,LA,stadium,,,unknown,1,1990-03-23,1990-03-23,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence.,Integration rebase resolved final global venue ID VEN-000034.
8,michigan-state,capital-one-arena,VEN-000036,Capital One Arena,,Washington,DC,arena,,,unknown,6,2002-03-15,2026-03-27,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence. Owner-supplied Conference Tournament Site Reference.xlsx; completed Big Ten section authorized for Michigan State. Michigan State Athletics official completed 2025-26 schedule/results.,Integration rebase resolved final global venue ID VEN-000036.
9,michigan-state,demonstration-hall-msu,VEN-000290,Demonstration Hall,,East Lansing,MI,arena,1928,,YEAR,103,1930-01-01,1939-12-16,home,1930-01-01,1939-12-16,exact,A Michigan State game must already be independently classified home before home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Michigan State institutional/athletics home-court history.,PROVISIONAL global venue ID. MSU historical material identifies Demonstration Hall as the home in the 1930s; chronology is applied only to rows already independently classified home. Integration rebase resolved final global venue ID VEN-000290.
10,michigan-state,donald-l-tucker-civic-center,VEN-000058,Donald L. Tucker Civic Center,,Tallahassee,FL,arena,,,unknown,1,1995-03-17,1995-03-17,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence.,Integration rebase resolved final global venue ID VEN-000058.
11,michigan-state,enterprise-center,VEN-000060,Enterprise Center,,St. Louis,MO,arena,,,unknown,3,1999-03-19,2016-03-18,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence.,Integration rebase resolved final global venue ID VEN-000060.
12,michigan-state,footprint-center,VEN-000065,Mortgage Matchup Center,,Phoenix,AZ,arena,,,unknown,1,2012-03-22,2012-03-22,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence.,Integration rebase resolved final global venue ID VEN-000065.
13,michigan-state,ford-field,VEN-000066,Ford Field,,Detroit,MI,stadium,,,unknown,2,2009-04-04,2009-04-06,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence.,Integration rebase resolved final global venue ID VEN-000066.
14,michigan-state,frank-erwin-center,VEN-000068,Frank Erwin Center,,Austin,TX,arena,,,unknown,2,2005-03-25,2005-03-27,,,,,,Michigan State media-guide NCAA Tournament history plus researched/established physical NCAA site evidence.,Integration rebase resolved final global venue ID VEN-000068.
15,michigan-state,gainbridge-fieldhouse,VEN-000070,Gainbridge Fieldhouse,,Indianapolis,IN,fieldhouse,,,unknown,28,2002-03-09,2025-03-15,,,,,,Owner-supplied Conference Tournament Site Reference.xlsx; completed Big Ten section authorized for Michigan State.,Integration rebase resolved final global venue ID VEN-000070.
