index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,michigan,A.C. Spark Plugs,ac-spark-plugs,A.C. Spark Plugs,No,1,1919-1920,1919-1920,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
1,michigan,Air Force,air-force,Air Force,Yes,2,1965-1966,2018-2019,RESOLVED,Current D1 registry / established institutional lineage,,
2,michigan,Akron,akron,Akron,Yes,4,1937-1938,1985-1986,RESOLVED,Current D1 registry / established institutional lineage,,
3,michigan,Alabama,alabama,Alabama,Yes,4,1977-1978,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
4,michigan,Alabama A&M,alabama-a-m,Alabama A&M,Yes,2,2011-2012,2017-2018,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
5,michigan,Alabama-Birmingham,uab,UAB,Yes,1,1987-1988,1987-1988,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
6,michigan,Alaska-Anchorage,alaska-anchorage,Alaska-Anchorage,No,2,1986-1987,1988-1989,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
7,michigan,Albion,albion,Albion,No,1,1929-1930,1929-1930,RESOLVED,Michigan record book / historical non-current identity normalization,,
8,michigan,Alcorn State,alcorn-state,Alcorn State,Yes,1,1984-1985,1984-1985,RESOLVED,Current D1 registry / established institutional lineage,,
9,michigan,American P.R.,american-pr,American P.R.,No,1,1997-1998,1997-1998,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
10,michigan,Appalachian State,app-state,App State,Yes,1,2019-2020,2019-2020,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
11,michigan,Arizona,arizona,Arizona,Yes,12,1957-1958,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
12,michigan,Arizona State,arizona-state,Arizona State,Yes,4,1965-1966,2022-2023,RESOLVED,Current D1 registry / established institutional lineage,,
13,michigan,Arkansas,arkansas,Arkansas,Yes,8,1966-1967,2024-2025,RESOLVED,Current D1 registry / established institutional lineage,,
14,michigan,Arkansas-Pine Bluff,arkansas-pine-bluff,UAPB,Yes,2,2009-2010,2011-2012,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
15,michigan,Army,army,Army,Yes,1,2006-2007,2006-2007,RESOLVED,Current D1 registry / established institutional lineage,,
16,michigan,Auburn,auburn,Auburn,Yes,3,1993-1994,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
17,michigan,Austin Peay,austin-peay,Austin Peay,Yes,1,1987-1988,1987-1988,RESOLVED,Current D1 registry / established institutional lineage,,
18,michigan,Ball State,ball-state,Ball State,Yes,11,1961-1962,2020-2021,RESOLVED,Current D1 registry / established institutional lineage,,
19,michigan,Binghamton,binghamton,Binghamton,Yes,3,2004-2005,2018-2019,RESOLVED,Current D1 registry / established institutional lineage,,
