index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,MICHRAW-00001,michigan,2026_record_book_season_by_season,1908-1909,1909,1909-01-09,Michigan Agricultural,Michigan State,michigan-state,Yes,16,24,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),1/9/1909        -   Michigan Agricultural     A    L   16-24   -8,resolved,,,,,
1,MICHRAW-00002,michigan,2026_record_book_season_by_season,1908-1909,1909,1909-01-16,Oberlin,Oberlin,oberlin,No,27,25,W,1,,,H,SOURCE_PROGRAM_HOME,,Waterman Gymnasium,Ann Arbor,MI,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),1/16/1909       -   Oberlin (OT)           H  W  27-25  +2,resolved,PROVISIONAL global venue ID VEN-000285 during parallel research; physical identity must be rebased against current main. Venue supplied from the season-level Michigan Home Arena chronology after game-level home status was independently established.,,,,
2,MICHRAW-00003,michigan,2026_record_book_season_by_season,1908-1909,1909,1909-02-20,Michigan Agricultural,Michigan State,michigan-state,Yes,25,45,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),2/20/1909       -   Michigan Agricultural     A    L   25-45  -20,resolved,,,,,
3,MICHRAW-00004,michigan,2026_record_book_season_by_season,1908-1909,1909,1909-02-27,Ohio State,Ohio State,ohio-state,Yes,22,29,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),2/27/1909       -   Ohio State            A    L   22-29   -7,resolved,,,,,
4,MICHRAW-00005,michigan,2026_record_book_season_by_season,1908-1909,1909,1909-03-06,Ohio State,Ohio State,ohio-state,Yes,26,42,L,0,,,H,SOURCE_PROGRAM_HOME,,Waterman Gymnasium,Ann Arbor,MI,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),3/6/1909        -   Ohio State            H   L   26-42  -16,resolved,PROVISIONAL global venue ID VEN-000285 during parallel research; physical identity must be rebased against current main. Venue supplied from the season-level Michigan Home Arena chronology after game-level home status was independently established.,,,,
5,MICHRAW-00006,michigan,2026_record_book_season_by_season,1917-1918,1918,1917-12-15,Case,Case,case,No,25,27,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),12/15/1917     -    at Case               A    L   25-27   -2,resolved,,,,,
6,MICHRAW-00007,michigan,2026_record_book_season_by_season,1917-1918,1918,1917-12-30,Camp Custer,Camp Custer,camp-custer,No,44,28,W,0,,,H,SOURCE_PROGRAM_HOME,,Waterman Gymnasium,Ann Arbor,MI,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),12/30/1917     -   Camp Custer          H  W  44-28  +16,resolved,PROVISIONAL global venue ID VEN-000285 during parallel research; physical identity must be rebased against current main. Venue supplied from the season-level Michigan Home Arena chronology after game-level home status was independently established.,,,,
7,MICHRAW-00008,michigan,2026_record_book_season_by_season,1917-1918,1918,1918-01-04,Hope,Hope,hope,No,31,15,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),1/4/1918        -    at Hope              A  W  31-15  +16,resolved,,,,,
8,MICHRAW-00009,michigan,2026_record_book_season_by_season,1917-1918,1918,1918-01-05,Case,Case,case,No,24,20,W,0,,,H,SOURCE_PROGRAM_HOME,,Waterman Gymnasium,Ann Arbor,MI,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),1/5/1918        -   Case               H  W  24-20  +4,resolved,PROVISIONAL global venue ID VEN-000285 during parallel research; physical identity must be rebased against current main. Venue supplied from the season-level Michigan Home Arena chronology after game-level home status was independently established.,,,,
9,MICHRAW-00010,michigan,2026_record_book_season_by_season,1917-1918,1918,1918-01-11,Michigan Agricultural,Michigan State,michigan-state,Yes,17,13,W,0,,,H,SOURCE_PROGRAM_HOME,,Waterman Gymnasium,Ann Arbor,MI,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),1/11/1918       -   Michigan Agricultural     H  W  17-13  +4,resolved,PROVISIONAL global venue ID VEN-000285 during parallel research; physical identity must be rebased against current main. Venue supplied from the season-level Michigan Home Arena chronology after game-level home status was independently established.,,,,
10,MICHRAW-00011,michigan,2026_record_book_season_by_season,1917-1918,1918,1918-01-18,Indiana,Indiana,indiana,Yes,17,21,L,0,,,H,SOURCE_PROGRAM_HOME,,Waterman Gymnasium,Ann Arbor,MI,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),1/18/1918       -   Indiana+             H   L   17-21   -4,resolved,PROVISIONAL global venue ID VEN-000285 during parallel research; physical identity must be rebased against current main. Venue supplied from the season-level Michigan Home Arena chronology after game-level home status was independently established.,,,,
11,MICHRAW-00012,michigan,2026_record_book_season_by_season,1917-1918,1918,1918-01-21,Chicago,Chicago,chicago,No,6,22,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),1/21/1918       -    at Chicago+           A    L   22-6   -16,resolved,,,,,
12,MICHRAW-00013,michigan,2026_record_book_season_by_season,1917-1918,1918,1918-01-22,Ohio State,Ohio State,ohio-state,Yes,7,37,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),1/22/1918       -    at Ohio State+          A    L   7-37   -30,resolved,,,,,
13,MICHRAW-00014,michigan,2026_record_book_season_by_season,1917-1918,1918,1918-01-25,Minnesota,Minnesota,minnesota,Yes,13,28,L,0,,,H,SOURCE_PROGRAM_HOME,,Waterman Gymnasium,Ann Arbor,MI,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),1/25/1918       -   Minnesota+           H   L   13-28  -15,resolved,PROVISIONAL global venue ID VEN-000285 during parallel research; physical identity must be rebased against current main. Venue supplied from the season-level Michigan Home Arena chronology after game-level home status was independently established.,,,,
14,MICHRAW-00015,michigan,2026_record_book_season_by_season,1917-1918,1918,1918-01-26,Northwestern,Northwestern,northwestern,Yes,11,21,L,0,,,H,SOURCE_PROGRAM_HOME,,Waterman Gymnasium,Ann Arbor,MI,,,REGULAR_SEASON,,PDF p. 82 (printed p. 17),1/26/1918       -   Northwestern+         H   L   21-11  -10,resolved,PROVISIONAL global venue ID VEN-000285 during parallel research; physical identity must be rebased against current main. Venue supplied from the season-level Michigan Home Arena chronology after game-level home status was independently established.,,,,
