index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,michigan,alamodome,VEN-000002,Alamodome,,San Antonio,TX,stadium,,,unknown,2,2018-03-31,2018-04-02,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000002.
1,michigan,allstate-arena,VEN-000004,Allstate Arena,,Rosemont,IL,arena,,,unknown,1,2018-02-06,2018-02-06,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000004.
2,michigan,amerant-bank-arena,VEN-000009,Amerant Bank Arena,,Sunrise,FL,arena,,,unknown,1,1998-12-27,1998-12-27,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000009.
3,michigan,at-t-stadium,VEN-000015,AT&T Stadium,,Arlington,TX,stadium,,,unknown,2,2013-03-28,2013-03-31,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000015.
4,michigan,ball-arena,VEN-000018,Ball Arena,,Denver,CO,arena,,,unknown,2,2025-03-20,2025-03-22,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000018.
5,michigan,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,unknown,7,2012-12-15,2022-11-17,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000020.
6,michigan,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,unknown,3,1996-03-15,2014-03-22,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000026.
7,michigan,breslin-center,VEN-000029,Breslin Center,,East Lansing,MI,arena,,,unknown,1,1997-01-25,1997-01-25,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000029.
8,michigan,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,arena,,,unknown,1,2012-03-16,2012-03-16,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000031.
9,michigan,caesars-superdome,VEN-000034,Caesars Superdome,,New Orleans,LA,stadium,,,unknown,4,1979-12-28,1993-04-05,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000034.
10,michigan,cameron-indoor-stadium,VEN-000035,Cameron Indoor Stadium,,Durham,NC,stadium,,,unknown,1,2013-12-03,2013-12-03,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000035.
11,michigan,capital-one-arena,VEN-000036,Capital One Arena,,Washington,DC,arena,,,unknown,8,2000-12-02,2026-02-21,,,,,,Owner-authorized Big Ten section of Conference_Tournament_Site_Reference(6).xlsm; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000036.
12,michigan,charlotte-coliseum-1955,VEN-000040,Charlotte Coliseum,,Charlotte,NC,arena,,,unknown,2,1987-03-12,1987-03-14,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000040.
13,michigan,chicago-stadium,VEN-000044,Chicago Stadium,,Chicago,IL,stadium,,,unknown,2,1965-12-11,1969-02-01,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000044.
14,michigan,coleman-coliseum,VEN-000048,Coleman Coliseum,,Tuscaloosa,AL,arena,,,unknown,2,1974-03-14,1974-03-16,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000048.
15,michigan,crypto-com-arena,VEN-000051,Crypto.com Arena,,Los Angeles,CA,arena,,,unknown,2,2018-03-22,2018-03-24,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000051.
16,michigan,cu-events-center,VEN-000052,CU Events Center,,Boulder,CO,arena,,,unknown,1,1991-03-13,1991-03-13,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000052.
17,michigan,dean-smith-center,VEN-000053,Dean Smith Center,,Chapel Hill,NC,arena,,,unknown,2,2017-11-29,2021-12-01,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000053.
18,michigan,desert-financial-arena,VEN-000056,Desert Financial Arena,,Tempe,AZ,arena,,,unknown,2,1990-12-28,1990-12-29,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000056.
19,michigan,donald-l-tucker-civic-center,VEN-000058,Donald L. Tucker Civic Center,,Tallahassee,FL,arena,,,unknown,1,2007-03-15,2007-03-15,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000058.
20,michigan,freedom-hall,VEN-000069,Freedom Hall,,Louisville,KY,arena,,,unknown,2,1976-03-18,1976-03-20,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000069.
21,michigan,gainbridge-fieldhouse,VEN-000070,Gainbridge Fieldhouse,,Indianapolis,IN,fieldhouse,,,unknown,30,2002-03-07,2025-03-16,,,,,,Owner-authorized Big Ten section of Conference_Tournament_Site_Reference(6).xlsm; Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000070.
22,michigan,georgia-dome,VEN-000073,Georgia Dome,,Atlanta,GA,stadium,,,unknown,4,1998-03-13,2013-04-08,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000073.
23,michigan,greensboro-coliseum,VEN-000076,Greensboro Coliseum,,Greensboro,NC,arena,,,unknown,1,2024-11-10,2024-11-10,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000076.
24,michigan,hec-edmundson-pavilion,VEN-000078,Hec Edmundson Pavilion,,Seattle,WA,arena,,,unknown,2,1994-12-29,1994-12-30,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000078.
25,michigan,honda-center,VEN-000082,Honda Center,,Anaheim,CA,arena,,,unknown,1,2019-03-28,2019-03-28,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000082.
26,michigan,hubert-h-humphrey-metrodome,VEN-000085,Hubert H. Humphrey Metrodome,,Minneapolis,MN,stadium,,,unknown,4,1986-03-14,1992-04-06,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000085.
27,michigan,imperial-arena,VEN-000088,Imperial Arena,,Nassau,BS,arena,,,unknown,9,2015-11-25,2023-11-24,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000088.
28,michigan,intrust-bank-arena,VEN-000090,INTRUST Bank Arena,,Wichita,KS,arena,,,unknown,2,2018-03-15,2018-03-17,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000090.
29,michigan,iowa-field-house,VEN-000091,Iowa Field House,,Iowa City,IA,fieldhouse,,,unknown,2,1966-03-11,1966-03-12,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000091.
30,michigan,jma-wireless-dome,VEN-000096,JMA Wireless Dome,,Syracuse,NY,stadium,,,unknown,1,1981-03-19,1981-03-19,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000096.
31,michigan,jon-m-huntsman-center,VEN-000097,Jon M. Huntsman Center,,Salt Lake City,UT,arena,,,unknown,4,1988-03-17,1988-12-29,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000097.
32,michigan,joyce-center,VEN-000098,Joyce Center,,South Bend,IN,arena,,,unknown,2,1997-03-20,2000-03-15,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000098.
33,michigan,keybank-center,VEN-000103,KeyBank Center,,Buffalo,NY,arena,,,unknown,2,2026-03-19,2026-03-21,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000103.
34,michigan,kfc-yum-center,VEN-000104,KFC Yum! Center,,Louisville,KY,arena,,,unknown,1,2019-12-03,2019-12-03,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000104.
35,michigan,kingdome,VEN-000105,Kingdome,,Seattle,WA,stadium,,,unknown,5,1988-03-25,1993-03-28,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000105.
36,michigan,lahaina-civic-center,VEN-000108,Lahaina Civic Center,,Lahaina,HI,arena,,,unknown,17,1985-11-22,2017-11-22,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000108.
37,michigan,legacy-arena,VEN-000109,Legacy Arena,,Birmingham,AL,arena,,,unknown,3,1977-12-14,1986-12-30,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000109.
38,michigan,lenovo-center,VEN-000110,Lenovo Center,,Raleigh,NC,arena,,,unknown,2,2006-11-27,2015-12-01,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000110.
39,michigan,little-caesars-arena,VEN-000113,Little Caesars Arena,,Detroit,MI,arena,,,unknown,2,2022-11-11,2025-11-11,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000113.
40,michigan,long-beach-arena,VEN-000117,Long Beach Arena,,Long Beach,CA,arena,,,unknown,2,1990-03-16,1990-03-18,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000117.
41,michigan,los-angeles-memorial-sports-arena,VEN-000118,Los Angeles Memorial Sports Arena,,Los Angeles,CA,arena,,,unknown,7,1959-12-29,1981-12-28,,,,,,Michigan 2026 record book season/game site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000118.
42,michigan,lucas-oil-stadium,VEN-000120,Lucas Oil Stadium,,Indianapolis,IN,stadium,,,unknown,9,2014-03-28,2026-04-06,,,,,,Owner-authorized Big Ten section of Conference_Tournament_Site_Reference(6).xlsm; Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000120.
43,michigan,mackey-arena,VEN-000122,Mackey Arena,,West Lafayette,IN,arena,,,unknown,1,2021-03-20,2021-03-20,,,,,,Michigan 2026 record book NCAA Tournament game/site footnotes; existing global physical venue registry at research_base_sha.,Reuses existing physical venue identity from research-base global registry. Integration rebase resolved final global venue ID VEN-000122.
