index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,minnesota,Air Force*,air-force,Air Force,Yes,1,1977-1978,1977-1978,RESOLVED,Inherited established project identity,,
1,minnesota,Akron,akron,Akron,Yes,1,1991-1992,1991-1992,RESOLVED,Inherited established project identity,,
2,minnesota,Akron 20/- Big Ten Network,akron,Akron,Yes,1,2010-2011,2010-2011,RESOLVED,Inherited established project identity,,
3,minnesota,Alabama,alabama,Alabama,Yes,1,1997-1998,1997-1998,RESOLVED,Inherited established project identity,,
4,minnesota,Alabama#,alabama,Alabama,Yes,1,1972-1973,1972-1973,RESOLVED,Inherited established project identity,,
5,minnesota,at Alabama,alabama,Alabama,Yes,1,1996-1997,1996-1997,RESOLVED,Inherited established project identity,,
6,minnesota,vs. Alabama 14/25 Stadium,alabama,Alabama,Yes,1,2017-2018,2017-2018,RESOLVED,Inherited established project identity,,
7,minnesota,vs. Alabama ^,alabama,Alabama,Yes,1,2004-2005,2004-2005,RESOLVED,Inherited established project identity,,
8,minnesota,Alabama A&M,alabama-a-m,Alabama A&M,Yes,1,2017-2018,2017-2018,RESOLVED,Inherited established project identity,,
9,minnesota,Alabama State,alabama-state,Alabama State,Yes,1,1996-1997,1996-1997,RESOLVED,Inherited established project identity,,
10,minnesota,Alcorn State,alcorn-state,Alcorn State,Yes,2,1985-1986,2025-2026,RESOLVED,Inherited established project identity,,
11,minnesota,All-Stars,all-stars,All-Stars,No,1,1906-1907,1906-1907,RESOLVED,Inherited established project identity,,
12,minnesota,Alumni,alumni,Alumni,No,3,1900-1901,1904-1905,RESOLVED,Deterministic historical/local identity,,
13,minnesota,American BTN.com,american-university,American,Yes,1,2012-2013,2012-2013,RESOLVED,Matched exact program registry identity,,
14,minnesota,at Anoka H.S.,anoka-h-s,Anoka H.S.,No,1,1902-1903,1902-1903,RESOLVED,Inherited established project identity,,
15,minnesota,Appalachian State,app-state,Appalachian State,Yes,2,1998-1999,2011-2012,RESOLVED,Inherited established project identity,,
16,minnesota,Arizona,arizona,Arizona,Yes,1,1981-1982,1981-1982,RESOLVED,Inherited established project identity,,
17,minnesota,Arizona#,arizona,Arizona,Yes,1,1951-1952,1951-1952,RESOLVED,Inherited established project identity,,
18,minnesota,Arizona*,arizona,Arizona,Yes,1,1994-1995,1994-1995,RESOLVED,Inherited established project identity,,
19,minnesota,at Arizona,arizona,Arizona,Yes,1,1984-1985,1984-1985,RESOLVED,Inherited established project identity,,
20,minnesota,Arizona State,arizona-state,Arizona State,Yes,2,1961-1962,2006-2007,RESOLVED,Inherited established project identity,,
21,minnesota,Arizona State*,arizona-state,Arizona State,Yes,1,1991-1992,1991-1992,RESOLVED,Inherited established project identity,,
22,minnesota,at Arizona State,arizona-state,Arizona State,Yes,2,1962-1963,2005-2006,RESOLVED,Inherited established project identity,,
23,minnesota,Arkansas,arkansas,Arkansas,Yes,2,1985-1986,2016-2017,RESOLVED,Inherited established project identity,,
24,minnesota,Arkansas*,arkansas,Arkansas,Yes,1,1991-1992,1991-1992,RESOLVED,Inherited established project identity,,
25,minnesota,at Arkansas,arkansas,Arkansas,Yes,1,1984-1985,1984-1985,RESOLVED,Inherited established project identity,,
26,minnesota,at Arkansas 14/- SECN,arkansas,Arkansas,Yes,1,2017-2018,2017-2018,RESOLVED,Inherited established project identity,,
27,minnesota,vs. Arkansas @,arkansas,Arkansas,Yes,1,2013-2014,2013-2014,RESOLVED,Inherited established project identity,,
28,minnesota,Arkansas State,arkansas-state,Arkansas State,Yes,2,2016-2017,2018-2019,RESOLVED,Inherited established project identity,,
29,minnesota,Army,army,Army,Yes,2,1981-1982,2007-2008,RESOLVED,Inherited established project identity,,
30,minnesota,Augsburg,augsburg,Augsburg,No,1,1907-1908,1907-1908,RESOLVED,Inherited established project identity,,
31,minnesota,Augusta,augusta,Augusta,No,1,1990-1991,1990-1991,RESOLVED,Inherited established project identity,,
32,minnesota,Austin Peay,austin-peay,Austin Peay,Yes,1,1986-1987,1986-1987,RESOLVED,Inherited established project identity,,
33,minnesota,Aviation Cubs,aviation-cubs,Aviation Cubs,No,1,1918-1919,1918-1919,RESOLVED,Inherited established project identity,,
34,minnesota,at Ball State,ball-state,Ball State,Yes,1,1987-1988,1987-1988,RESOLVED,Inherited established project identity,,
35,minnesota,Ball State,ball-state,Ball State,Yes,1,1988-1989,1988-1989,RESOLVED,Inherited established project identity,,
36,minnesota,Ball State B1G +,ball-state-b1g,Ball State B1G +,No,1,2023-2024,2023-2024,RESOLVED,Inherited established project identity,,
37,minnesota,Baylor,baylor,Baylor,Yes,1,2025-2026,2025-2026,RESOLVED,Inherited established project identity,,
38,minnesota,Beloit,beloit,Beloit,No,1,1930-1931,1930-1931,RESOLVED,Inherited established project identity,,
39,minnesota,Bethune Cookman B1G +,bethune-cookman-b1g,Bethune Cookman B1G +,No,1,2023-2024,2023-2024,RESOLVED,Inherited established project identity,,
40,minnesota,Bethune Cookman,bethune-cookman,Bethune-Cookman,Yes,1,2002-2003,2002-2003,RESOLVED,Inherited established project identity,,
41,minnesota,Bethune-Cookman,bethune-cookman,Bethune-Cookman,Yes,5,1987-1988,2024-2025,RESOLVED,Inherited established project identity,,
42,minnesota,at Boston College #,boston-college,Boston College,Yes,1,2018-2019,2018-2019,RESOLVED,Inherited established project identity,,
43,minnesota,Boston College #,boston-college,Boston College,Yes,1,2020-2021,2020-2021,RESOLVED,Inherited established project identity,,
44,minnesota,Bowling Green @ BigTenNetwork.com,bowling-green,Bowling Green,Yes,1,2008-2009,2008-2009,RESOLVED,Inherited established project identity,,
45,minnesota,Bowling Green#,bowling-green,Bowling Green,Yes,1,1979-1980,1979-1980,RESOLVED,Inherited established project identity,,
46,minnesota,Bowling Green*,bowling-green,Bowling Green,Yes,1,1969-1970,1969-1970,RESOLVED,Inherited established project identity,,
47,minnesota,at Bradley,bradley,Bradley,Yes,4,1952-1953,1971-1972,RESOLVED,Inherited established project identity,,
48,minnesota,Bradley,bradley,Bradley,Yes,4,1951-1952,1970-1971,RESOLVED,Inherited established project identity,,
49,minnesota,Bradley*,bradley,Bradley,Yes,1,1973-1974,1973-1974,RESOLVED,Inherited established project identity,,
50,minnesota,Brown BigTenNetwork.com,brown,Brown,Yes,1,2009-2010,2009-2010,RESOLVED,Inherited established project identity,,
51,minnesota,Bucknell BTN.com,bucknell,Bucknell,Yes,1,2011-2012,2011-2012,RESOLVED,Inherited established project identity,,
52,minnesota,at Butler,butler,Butler,Yes,2,1973-1974,2023-2024,RESOLVED,Inherited established project identity,,
53,minnesota,at Butler %,butler,Butler,Yes,1,2019-2020,2019-2020,RESOLVED,Inherited established project identity,,
54,minnesota,Butler,butler,Butler,Yes,1,1971-1972,1971-1972,RESOLVED,Inherited established project identity,,
55,minnesota,vs. Butler ^,butler,Butler,Yes,1,2009-2010,2009-2010,RESOLVED,Inherited established project identity,,
56,minnesota,Brigham Young*,byu,BYU,Yes,1,1994-1995,1994-1995,RESOLVED,Inherited established project identity,,
57,minnesota,BYU-Hawaii*,byu-hawaii,BYU-Hawaii,No,1,1985-1986,1985-1986,RESOLVED,Inherited established project identity,,
58,minnesota,vs. California Baptist #,california-baptist,Cal Baptist,Yes,1,2022-2023,2022-2023,RESOLVED,Inherited established project identity,,
59,minnesota,at California,california,California,Yes,3,1947-1948,1994-1995,RESOLVED,Inherited established project identity,,
60,minnesota,California,california,California,Yes,1,1995-1996,1995-1996,RESOLVED,Inherited established project identity,,
61,minnesota,California*,california,California,Yes,2,1949-1950,1960-1961,RESOLVED,Inherited established project identity,,
62,minnesota,at Camp Grant,camp-grant,Camp Grant,No,1,1943-1944,1943-1944,RESOLVED,Inherited established project identity,,
63,minnesota,Campbell,campbell,Campbell,Yes,2,1997-1998,2025-2026,RESOLVED,Inherited established project identity,,
64,minnesota,Canisius*,canisius,Canisius,Yes,1,1956-1957,1956-1957,RESOLVED,Inherited established project identity,,
65,minnesota,Carleton,carleton,Carleton,No,16,1900-1901,1942-1943,RESOLVED,Inherited established project identity,,
66,minnesota,Carroll,carroll,Carroll,No,1,1935-1936,1935-1936,RESOLVED,Inherited established project identity,,
67,minnesota,Centenary,centenary,Centenary,No,1,2000-2001,2000-2001,RESOLVED,Inherited established project identity,,
68,minnesota,Central Connecticut State,central-connecticut-state,Central Connecticut State,No,1,1994-1995,1994-1995,RESOLVED,Inherited established project identity,,
69,minnesota,Central H.S.,central-h-s,Central H.S.,No,5,1899-1900,1902-1903,RESOLVED,Inherited established project identity,,
70,minnesota,Central High,central-high,Central High,No,1,1905-1906,1905-1906,RESOLVED,Inherited established project identity,,
71,minnesota,Central Michigan,central-michigan,Central Michigan,Yes,6,2004-2005,2024-2025,RESOLVED,Inherited established project identity,,
72,minnesota,vs. Chaminade @,chaminade,Chaminade,No,1,2013-2014,2013-2014,RESOLVED,Inherited established project identity,,
73,minnesota,Chapman College,chapman-college,Chapman College,No,1,1986-1987,1986-1987,RESOLVED,Inherited established project identity,,
74,minnesota,Charleston Southern,charleston-southern,Charleston Southern,Yes,1,1995-1996,1995-1996,RESOLVED,Inherited established project identity,,
75,minnesota,Tenn.-Chattanooga#,chattanooga,Chattanooga,Yes,1,1981-1982,1981-1982,RESOLVED,Inherited established project identity,,
76,minnesota,UT-Chattanooga,chattanooga,Chattanooga,Yes,1,2005-2006,2005-2006,RESOLVED,Mapped historical source alias to current program registry,,
77,minnesota,at Chicago,chicago,Chicago,No,30,1904-1905,1945-1946,RESOLVED,Inherited established project identity,,
78,minnesota,Chicago,chicago,Chicago,No,35,1904-1905,1945-1946,RESOLVED,Inherited established project identity,,
79,minnesota,Chicago State,chicago-state,Chicago State,Yes,5,1989-1990,2025-2026,RESOLVED,Inherited established project identity,,
80,minnesota,at Cincinnati,cincinnati,Cincinnati,Yes,5,1983-1984,2005-2006,RESOLVED,Inherited established project identity,,
81,minnesota,Cincinnati,cincinnati,Cincinnati,Yes,4,1982-1983,1998-1999,RESOLVED,Inherited established project identity,,
82,minnesota,at Clemson,clemson,Clemson,Yes,1,1995-1996,1995-1996,RESOLVED,Inherited established project identity,,
83,minnesota,Clemson,clemson,Clemson,Yes,1,1993-1994,1993-1994,RESOLVED,Inherited established project identity,,
84,minnesota,Clemson #,clemson,Clemson,Yes,3,2006-2007,2019-2020,RESOLVED,Inherited established project identity,,
85,minnesota,Clemson##,clemson,Clemson,Yes,1,1996-1997,1996-1997,RESOLVED,Inherited established project identity,,
86,minnesota,Clemson*,clemson,Clemson,Yes,1,1974-1975,1974-1975,RESOLVED,Inherited established project identity,,
87,minnesota,Clemson**,clemson,Clemson,Yes,1,1996-1997,1996-1997,RESOLVED,Inherited established project identity,,
88,minnesota,Cleveland State,cleveland-state,Cleveland State,Yes,2,2019-2020,2024-2025,RESOLVED,Inherited established project identity,,
89,minnesota,at Co. E Schenectady,co-e-schenectady,Co. E Schenectady,No,1,1904-1905,1904-1905,RESOLVED,Inherited established project identity,,
90,minnesota,Coastal Carolina,coastal-carolina,Coastal Carolina,Yes,1,2005-2006,2005-2006,RESOLVED,Inherited established project identity,,
91,minnesota,Coastal Carolina BTDN,coastal-carolina,Coastal Carolina,Yes,1,2013-2014,2013-2014,RESOLVED,Inherited established project identity,,
92,minnesota,Colgate,colgate,Colgate,Yes,1,1948-1949,1948-1949,RESOLVED,Inherited established project identity,,
93,minnesota,Colorado,colorado,Colorado,Yes,1,1953-1954,1953-1954,RESOLVED,Inherited established project identity,,
94,minnesota,Colorado*,colorado,Colorado,Yes,1,1950-1951,1950-1951,RESOLVED,Inherited established project identity,,
95,minnesota,at Colorado State,colorado-state,Colorado State,Yes,1,1987-1988,1987-1988,RESOLVED,Inherited established project identity,,
96,minnesota,at Colorado State The Mountain,colorado-state,Colorado State,Yes,1,2008-2009,2008-2009,RESOLVED,Inherited established project identity,,
97,minnesota,Colorado State,colorado-state,Colorado State,Yes,2,1985-1986,2007-2008,RESOLVED,Inherited established project identity,,
98,minnesota,Colorado State#,colorado-state,Colorado State,Yes,1,1997-1998,1997-1998,RESOLVED,Inherited established project identity,,
99,minnesota,at Columbia,columbia,Columbia,Yes,1,1904-1905,1904-1905,RESOLVED,Inherited established project identity,,
100,minnesota,Columbia,columbia,Columbia,Yes,2,1907-1908,1907-1908,RESOLVED,Inherited established project identity,,
101,minnesota,Company A,company-a,Company A,No,2,1895-1896,1895-1896,RESOLVED,Inherited established project identity,,
102,minnesota,Concordia-St. Paul @ BigTenNetwork.com,concordia-st-paul,Concordia-St. Paul,No,1,2008-2009,2008-2009,RESOLVED,Official Minnesota identity; removed TV-column leakage,,TV/presentation text was not part of opponent identity.
103,minnesota,at Connecticut#,uconn,Connecticut,Yes,1,1980-1981,1980-1981,RESOLVED,Inherited established project identity,,
104,minnesota,Connecticut,uconn,Connecticut,Yes,2,1984-1985,1985-1986,RESOLVED,Inherited established project identity,,
105,minnesota,Coppin State,coppin-state,Coppin State,Yes,1,2004-2005,2004-2005,RESOLVED,Inherited established project identity,,
106,minnesota,at Cornell,cornell,Cornell,Yes,1,1903-1904,1903-1904,RESOLVED,Inherited established project identity,,
107,minnesota,Cornell,cornell,Cornell,Yes,6,1926-1927,1935-1936,RESOLVED,Inherited established project identity,,
108,minnesota,Cornell 13/- Big Ten Network,cornell,Cornell,Yes,1,2010-2011,2010-2011,RESOLVED,Inherited established project identity,,
109,minnesota,Cornell*,cornell,Cornell,Yes,3,1963-1964,1976-1977,RESOLVED,Inherited established project identity,,
110,minnesota,Cornell (Iowa),cornell-iowa,Cornell (Iowa),No,1,1931-1932,1931-1932,RESOLVED,Inherited established project identity,,
111,minnesota,vs. Cornell ESPN360,cornell,Cornell,Yes,1,2008-2009,2008-2009,RESOLVED,Current D1 registry identity; removed TV-column leakage,,TV/presentation text was not part of opponent identity.
112,minnesota,Corpus Christi,corpus-christi,Corpus Christi,No,1,1972-1973,1972-1973,RESOLVED,Inherited established project identity,,
113,minnesota,at Crawfordsville (Ind.) H.S.,crawfordsville-ind-h-s,Crawfordsville (Ind.) H.S.,No,1,1903-1904,1903-1904,RESOLVED,Inherited established project identity,,
