index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,MINRAW-00001,minnesota,historical_media_guide,1897-1898,1898,,Faculty,Faculty,faculty,No,14,6,W,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,W 14-6 Faculty,resolved,,,,,
1,MINRAW-00002,minnesota,historical_media_guide,1907-1908,1908,,Purdue,Purdue,purdue,Yes,,,W,0,FORFEIT,Minnesota source records the result without an on-court score.,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,W — Purdue (forfeit),resolved,,,,,
2,MINRAW-00003,minnesota,historical_media_guide,1897-1898,1898,,at U of M Ag. School,U of M Ag. School,u-of-m-ag-school,No,3,22,L,0,,,AWAY,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,L 3-22 at U of M Ag. School,resolved,,,,,
3,MINRAW-00004,minnesota,historical_media_guide,1895-1896,1896,1896-01-13,Company A,Company A,company-a,No,5,4,W,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,1/13 W 5-4 Company A,resolved,,,,,
4,MINRAW-00005,minnesota,historical_media_guide,1895-1896,1896,1896-01-18,Minneapolis YMCA,Minneapolis YMCA,minneapolis-ymca,No,3,4,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,1/18 L 3-4 Minneapolis YMCA,resolved,,,,,
5,MINRAW-00006,minnesota,historical_media_guide,1895-1896,1896,1896-01-23,U of M Ag. School,U of M Ag. School,u-of-m-ag-school,No,3,5,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,1/23 L 3-5 U of M Ag. School,resolved,,,,,
6,MINRAW-00007,minnesota,historical_media_guide,1895-1896,1896,1896-01-27,Macalester,Macalester,macalester,No,,,W,0,,Minnesota source records the result without an on-court score.,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,1/27 W Macalester,resolved,,,,,
7,MINRAW-00008,minnesota,historical_media_guide,1895-1896,1896,1896-02-07,Minneapolis YMCA,Minneapolis YMCA,minneapolis-ymca,No,,,L,0,,Minnesota source records the result without an on-court score.,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,2/7 L Minneapolis YMCA,resolved,,,,,
8,MINRAW-00009,minnesota,historical_media_guide,1895-1896,1896,1896-02-10,U of M Ag. School,U of M Ag. School,u-of-m-ag-school,No,1,3,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,2/10 L 1-3 U of M Ag. School,resolved,,,,,
9,MINRAW-00010,minnesota,historical_media_guide,1895-1896,1896,1896-02-17,Macelester,Macelester,macelester,No,,,W,0,,Minnesota source records the result without an on-court score.,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,2/17 W Macelester,resolved,,,,,
10,MINRAW-00011,minnesota,historical_media_guide,1895-1896,1896,1896-02-26,Company A,Company A,company-a,No,,,L,0,,Minnesota source records the result without an on-court score.,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,2/26 L Company A,resolved,,,,,
11,MINRAW-00012,minnesota,historical_media_guide,1896-1897,1897,1897-02-06,at U of M Ag. School,U of M Ag. School,u-of-m-ag-school,No,1,25,L,0,,,AWAY,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,2/6 L 1-25 at U of M Ag. School,resolved,,,,,
12,MINRAW-00013,minnesota,historical_media_guide,1896-1897,1897,1897-03-06,YMCA Triangles,YMCA Triangles,ymca-triangles,No,6,18,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,3/6 L 6-18 YMCA Triangles,resolved,,,,,
13,MINRAW-00014,minnesota,historical_media_guide,1896-1897,1897,1897-03-10,U of M Ag. School,U of M Ag. School,u-of-m-ag-school,No,3,19,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,3/10 L 3-19 U of M Ag. School,resolved,,,,,
14,MINRAW-00015,minnesota,historical_media_guide,1896-1897,1897,1897-03-13,YMCA Triangles,YMCA Triangles,ymca-triangles,No,11,5,W,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,3/13 W 11-5 YMCA Triangles,resolved,,,,,
15,MINRAW-00016,minnesota,historical_media_guide,1896-1897,1897,1897-03-17,YMCA Alphas,YMCA Alphas,ymca-alphas,No,6,23,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,3/17 L 6-23 YMCA Alphas,resolved,,,,,
16,MINRAW-00017,minnesota,historical_media_guide,1896-1897,1897,1897-03-23,YMCA Goalites,YMCA Goalites,ymca-goalites,No,11,7,W,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,3/23 W 11-7 YMCA Goalites,resolved,,,,,
17,MINRAW-00018,minnesota,historical_media_guide,1896-1897,1897,1897-03-27,YMCA Picked Team,YMCA Picked Team,ymca-picked-team,No,5,5,T,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,3/27 T 5-5 YMCA Picked Team,resolved,,,,,
18,MINRAW-00019,minnesota,historical_media_guide,1896-1897,1897,1897-04-03,YMCA Alphas,YMCA Alphas,ymca-alphas,No,6,13,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,4/3 L 6-13 YMCA Alphas,resolved,,,,,
19,MINRAW-00020,minnesota,historical_media_guide,1896-1897,1897,1897-04-17,Macalester,Macalester,macalester,No,11,9,W,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,4/17 W 11-9 Macalester,resolved,,,,,
20,MINRAW-00021,minnesota,historical_media_guide,1896-1897,1897,1897-04-24,YMCA Basketites,YMCA Basketites,ymca-basketites,No,5,15,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,4/24 L 5-15 YMCA Basketites,resolved,,,,,
21,MINRAW-00022,minnesota,historical_media_guide,1897-1898,1898,1898-01-15,Macalester,Macalester,macalester,No,12,2,W,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,1/15 W 12-2 Macalester,resolved,,,,,
22,MINRAW-00023,minnesota,historical_media_guide,1897-1898,1898,1898-01-24,at Minneapolis YMCA,Minneapolis YMCA,minneapolis-ymca,No,2,9,L,0,,,AWAY,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,1/24 L 2-9 at Minneapolis YMCA,resolved,,,,,
23,MINRAW-00024,minnesota,historical_media_guide,1897-1898,1898,1898-01-29,Macalester,Macalester,macalester,No,5,13,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,1/29 L 5-13 Macalester,resolved,,,,,
24,MINRAW-00025,minnesota,historical_media_guide,1897-1898,1898,1898-02-02,Minneapolis YMCA,Minneapolis YMCA,minneapolis-ymca,No,13,14,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,2/2 L 13-14 Minneapolis YMCA,resolved,,,,,
25,MINRAW-00026,minnesota,historical_media_guide,1898-1899,1899,1899-01-31,St. Paul YMCA,St. Paul YMCA,st-paul-ymca,No,28,5,W,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,1/31 W 28-5 St. Paul YMCA,resolved,,,,,
26,MINRAW-00027,minnesota,historical_media_guide,1898-1899,1899,1899-02-01,Macalester*,Macalester,macalester,No,7,9,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,2/1 L 7-9 Macalester*,resolved,,,,,
27,MINRAW-00028,minnesota,historical_media_guide,1898-1899,1899,1899-02-17,at Minneapolis YMCA,Minneapolis YMCA,minneapolis-ymca,No,2,12,L,0,,,AWAY,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,2/17 L 2-12 at Minneapolis YMCA,resolved,,,,,
28,MINRAW-00029,minnesota,historical_media_guide,1898-1899,1899,1899-02-23,Macalester,Macalester,macalester,No,8,9,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,2/23 L 8-9 Macalester,resolved,,,,,
29,MINRAW-00030,minnesota,historical_media_guide,1898-1899,1899,1899-03-04,U of M Ag. School,U of M Ag. School,u-of-m-ag-school,No,7,10,L,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,3/4 L 7-10 U of M Ag. School,resolved,,,,,
30,MINRAW-00031,minnesota,historical_media_guide,1898-1899,1899,1899-03-07,St. Paul YMCA,St. Paul YMCA,st-paul-ymca,No,23,9,W,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,3/7 W 23-9 St. Paul YMCA,resolved,,,,,
31,MINRAW-00032,minnesota,historical_media_guide,1898-1899,1899,1899-03-11,U of M Ag. School,U of M Ag. School,u-of-m-ag-school,No,20,9,W,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,3/11 W 20-9 U of M Ag. School,resolved,,,,,
32,MINRAW-00033,minnesota,historical_media_guide,1898-1899,1899,1899-03-17,Minneapolis YMCA,Minneapolis YMCA,minneapolis-ymca,No,2,0,W,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,3/17 W 2-0 Minneapolis YMCA,resolved,,,,,
33,MINRAW-00034,minnesota,historical_media_guide,1898-1899,1899,1899-04-01,Faculty,Faculty,faculty,No,26,6,W,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,4/1 W 26-6 Faculty,resolved,,,,,
34,MINRAW-00035,minnesota,historical_media_guide,1899-1900,1900,1900-01-13,Central H.S.,Central H.S.,central-h-s,No,14,8,W,0,,,HOME_OR_SPECIAL,SOURCE_PROGRAM_HOME,,University Armory,Minneapolis,MN,,,REGULAR_SEASON,,2025-26 Minnesota Men's Basketball Media Guide — Year-by-Year Scores,1/13 W 14-8 Central H.S.,resolved,,,,,
