index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,mississippi-state,Akron,akron,Akron,Yes,3,2005-2006,2022-2023,RESOLVED,Source-label normalization / researched project identity,,
1,mississippi-state,Alabama,alabama,Alabama,Yes,217,1912-1913,2025-2026,RESOLVED,Source-label normalization / researched project identity,,
2,mississippi-state,Alabama A&M,alabama-a-m,Alabama A&M,Yes,5,1999-2000,2012-2013,RESOLVED,Source-label normalization / researched project identity,,
3,mississippi-state,Alabama State,alabama-state,Alabama State,Yes,5,2006-2007,2025-2026,RESOLVED,Source-label normalization / researched project identity,,
4,mississippi-state,Alaska Fairbanks,alaska-fairbanks,Alaska Fairbanks,No,1,1997-1998,1997-1998,RESOLVED,Source-label normalization / researched project identity,,
5,mississippi-state,Albany YMCA,albany-ymca,Albany YMCA,No,1,1924-1925,1924-1925,RESOLVED,Source-label normalization / researched project identity,,
6,mississippi-state,Alcorn State,alcorn-state,Alcorn State,Yes,6,1978-1979,2018-2019,RESOLVED,Source-label normalization / researched project identity,,
7,mississippi-state,Amory Independents,amory-independents,Amory Independents,No,1,1934-1935,1934-1935,RESOLVED,Source-label normalization / researched project identity,,
8,mississippi-state,Appalachian State,app-state,Appalachian State,Yes,1,2010-2011,2010-2011,RESOLVED,Source-label normalization / researched project identity,,
9,mississippi-state,Arizona,arizona,Arizona,Yes,4,1970-1971,2011-2012,RESOLVED,Source-label normalization / researched project identity,,
10,mississippi-state,Arizona State,arizona-state,Arizona State,Yes,3,1987-1988,2023-2024,RESOLVED,Source-label normalization / researched project identity,,
11,mississippi-state,Arkansas,arkansas,Arkansas,Yes,71,1951-1952,2025-2026,RESOLVED,Source-label normalization / researched project identity,,
12,mississippi-state,Arkansas State,arkansas-state,Arkansas State,Yes,12,1950-1951,2014-2015,RESOLVED,Source-label normalization / researched project identity,,
13,mississippi-state,Arkansas • Monticello,arkansas-monticello,Arkansas-Monticello,No,1,1962-1963,1962-1963,RESOLVED,Source-label normalization / researched project identity,,
14,mississippi-state,Arkansas • Pine Bluff,arkansas-pine-bluff,UAPB,Yes,3,1998-1999,2022-2023,RESOLVED,Source-label normalization / researched project identity,,
15,mississippi-state,Atlanta Athletic Club,atlanta-athletic-club,Atlanta Athletic Club,No,2,1923-1924,1924-1925,RESOLVED,Source-label normalization / researched project identity,,
16,mississippi-state,Auburn,auburn,Auburn,Yes,157,1914-1915,2025-2026,RESOLVED,Source-label normalization / researched project identity,,
17,mississippi-state,Auburn • Montgomery,auburn-montgomery,Auburn Montgomery,No,2,1978-1979,1981-1982,RESOLVED,Source-label normalization / researched project identity,,
18,mississippi-state,Austin Peay,austin-peay,Austin Peay,Yes,3,1991-1992,2018-2019,RESOLVED,Source-label normalization / researched project identity,,
19,mississippi-state,Ball State,ball-state,Ball State,Yes,2,1990-1991,1991-1992,RESOLVED,Source-label normalization / researched project identity,,
20,mississippi-state,Baylor,baylor,Baylor,Yes,5,1959-1960,2024-2025,RESOLVED,Source-label normalization / researched project identity,,
21,mississippi-state,Baylor Medical School,baylor-medical-school,Baylor Medical School,No,3,1921-1922,1924-1925,RESOLVED,Source-label normalization / researched project identity,,
22,mississippi-state,Belmont,belmont,Belmont,Yes,1,1998-1999,1998-1999,RESOLVED,Source-label normalization / researched project identity,,
23,mississippi-state,Bethune Cookman,bethune-cookman,Bethune-Cookman,Yes,3,2009-2010,2024-2025,RESOLVED,Source-label normalization / researched project identity,,
24,mississippi-state,Birmingham Athletic Club,birmingham-athletic-club,Birmingham Athletic Club,No,8,1919-1920,1926-1927,RESOLVED,Source-label normalization / researched project identity,,
