index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id,site_research_status,site_research_basis
0,MSURAW-00001,mississippi-state,2025-26_record_book,1908-1909,1909,1909-01-01,Columbus Athletic Club,Columbus Athletic Club,columbus-athletic-club,No,35,6,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/01 Columbus Athletic Club  W  35-6 1-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
1,MSURAW-00002,mississippi-state,2025-26_record_book,1908-1909,1909,1909-01-22,Brownsville Athletic Club,Brownsville Athletic Club,brownsville-athletic-club,No,75,0,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/22 Brownsville Athletic Club  W  75-0 2-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
2,MSURAW-00003,mississippi-state,2025-26_record_book,1908-1909,1909,1909-01-24,Columbus Athletic Club,Columbus Athletic Club,columbus-athletic-club,No,61,1,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 313,01/24 at Columbus Athletic Club  W  61-1 3-0,resolved,,,,,,,
3,MSURAW-00004,mississippi-state,2025-26_record_book,1908-1909,1909,1909-01-29,College of Memphis,College of Memphis,college-of-memphis,No,27,14,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/29 College of Memphis  W  27-14 4-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
4,MSURAW-00005,mississippi-state,2025-26_record_book,1908-1909,1909,1909-01-30,College of Memphis,College of Memphis,college-of-memphis,No,25,8,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/30 College of Memphis  W  25-8 5-0,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
5,MSURAW-00006,mississippi-state,2025-26_record_book,1908-1909,1909,1909-02-05,Mississippi College,Mississippi College,mississippi-college,No,22,26,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 313,02/05 at Mississippi College   L 26-22 5-1,resolved,,,,,,,
6,MSURAW-00007,mississippi-state,2025-26_record_book,1908-1909,1909,1909-02-06,LSU,LSU,lsu,Yes,12,18,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 313,02/06 at LSU   L 18-12 5-2,resolved,,,,,,,
7,MSURAW-00008,mississippi-state,2025-26_record_book,1908-1909,1909,1909-02-08,LSU,LSU,lsu,Yes,10,14,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 313,02/08 at LSU   L 14-10 5-3,resolved,,,,,,,
8,MSURAW-00009,mississippi-state,2025-26_record_book,1908-1909,1909,1909-02-09,Tulane,Tulane,tulane,Yes,16,19,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 313,02/09 at Tulane   L 19-16 5-4,resolved,,,,,,,
9,MSURAW-00010,mississippi-state,2025-26_record_book,1908-1909,1909,1909-02-10,New Orleans YMCA,New Orleans YMCA,new-orleans-ymca,No,20,22,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 313,02/10 at New Orleans YMCA   L 22-20 5-5,resolved,,,,,,,
10,MSURAW-00011,mississippi-state,2025-26_record_book,1910-1911,1911,1911-01-27,Mississippi College,Mississippi College,mississippi-college,No,15,23,L,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/27  Mississippi College   L 23-15 0-1,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
11,MSURAW-00012,mississippi-state,2025-26_record_book,1910-1911,1911,1911-01-28,Mississippi College,Mississippi College,mississippi-college,No,10,25,L,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,01/28  Mississippi College   L 25-10 0-2,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
12,MSURAW-00013,mississippi-state,2025-26_record_book,1910-1911,1911,1911-02-07,LSU,LSU,lsu,Yes,17,33,L,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/07  LSU   L 33-17 0-3,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
13,MSURAW-00014,mississippi-state,2025-26_record_book,1910-1911,1911,1911-02-08,LSU,LSU,lsu,Yes,12,42,L,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/08  LSU   L 42-12 0-4,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
14,MSURAW-00015,mississippi-state,2025-26_record_book,1910-1911,1911,1911-02-16,Union,Union,union,No,66,18,W,0,,,H,SOURCE_PROGRAM_HOME,,,Starkville,MS,,,REGULAR_SEASON,,PDF p. 313,02/16  Union  W   66-18 1-4,resolved,[RESEARCHED_UNRESOLVED_HOME_VENUE],,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Mississippi State official record book and institutional basketball/facility history, known home-venue chronology, reciprocal published evidence, and available archival material were reviewed. Mississippi State establishes Starkville, MS HOME context; its history says the program had no indoor basketball court/training facility until 1920 and identifies the later Tin Gym as the first permanent gymnasium. The surviving record does not safely identify the exact physical home venue for this pre-Tin game."
