source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
missouri,$ - Army,army,Army,Yes,1,2006-2007,2006-2007,RESOLVED,Exact D1 registry match,,
missouri,$ - Fairfield,fairfield,Fairfield,Yes,1,2008-2009,2008-2009,RESOLVED,Corrected obvious bad fuzzy proposal,Fairleigh Dickinson,"Your ACCEPT PROPOSAL choice was preserved in intent, but the first-pass proposal itself was wrong."
missouri,$ - N. Carolina A&T,north-carolina-a-t,North Carolina A&T,Yes,1,2006-2007,2006-2007,RESOLVED,User accepted proposal,North Carolina A&T,
missouri,$ - Stetson,stetson,Stetson,Yes,1,2006-2007,2006-2007,RESOLVED,Exact D1 registry match,,
missouri,$ - USC,usc,USC,Yes,1,2008-2009,2008-2009,RESOLVED,Exact D1 registry match,,
missouri,$ - Xavier,xavier,Xavier,Yes,1,2008-2009,2008-2009,RESOLVED,Exact D1 registry match,,
missouri,$ Central Michigan,central-michigan,Central Michigan,Yes,1,2007-2008,2007-2008,RESOLVED,Exact D1 registry match,,
missouri,$ Fordham,fordham,Fordham,Yes,1,2007-2008,2007-2008,RESOLVED,Exact D1 registry match,,
missouri,$Creighton,creighton,Creighton,Yes,1,1988-1989,1988-1989,RESOLVED,Exact D1 registry match,,
missouri,$Evansville,evansville,Evansville,Yes,1,1989-1990,1989-1990,RESOLVED,Exact D1 registry match,,
missouri,$Iowa State,iowa-state,Iowa State,Yes,1,2001-2002,2001-2002,RESOLVED,Exact D1 registry match,,
missouri,$Kansas,kansas,Kansas,Yes,1,2002-2003,2002-2003,RESOLVED,Exact D1 registry match,,
missouri,$Louisville,louisville,Louisville,Yes,1,1989-1990,1989-1990,RESOLVED,Exact D1 registry match,,
missouri,$Nebraska,nebraska,Nebraska,Yes,2,2002-2003,2004-2005,RESOLVED,Exact D1 registry match,,
missouri,$North Carolina,north-carolina,North Carolina,Yes,1,1989-1990,1989-1990,RESOLVED,Exact D1 registry match,,
missouri,$Okla. State,oklahoma-state,Oklahoma State,Yes,1,2002-2003,2002-2003,RESOLVED,Strong current-D1 alias,,
missouri,$Oklahoma,oklahoma,Oklahoma,Yes,2,2002-2003,2004-2005,RESOLVED,Exact D1 registry match,,
missouri,$Texas,texas,Texas,Yes,2,1988-1989,2001-2002,RESOLVED,Exact D1 registry match,,
missouri,- at Oregon,oregon,Oregon,Yes,1,2010-2011,2010-2011,RESOLVED,User accepted proposal,Oregon,
missouri,- California,california,California,Yes,1,2008-2009,2008-2009,RESOLVED,Exact D1 registry match,,
missouri,- Chattanooga,chattanooga,Chattanooga,Yes,1,2008-2009,2008-2009,RESOLVED,Exact D1 registry match,,
missouri,- Cincinnati,cincinnati,Cincinnati,Yes,1,2010-2011,2010-2011,RESOLVED,Exact D1 registry match,,
missouri,- Clemson,clemson,Clemson,Yes,1,2009-2010,2009-2010,RESOLVED,Exact D1 registry match,,
missouri,- Connecticut,uconn,UConn,Yes,1,2008-2009,2008-2009,RESOLVED,Exact D1 registry match,,
missouri,- Cornell,cornell,Cornell,Yes,1,2008-2009,2008-2009,RESOLVED,Exact D1 registry match,,
missouri,- Davidson,davidson,Davidson,Yes,1,2013-2014,2013-2014,RESOLVED,Exact D1 registry match,,
missouri,- Illinois,illinois,Illinois,Yes,4,2006-2007,2010-2011,RESOLVED,Exact D1 registry match,,
missouri,- La Salle,la-salle,La Salle,Yes,1,2010-2011,2010-2011,RESOLVED,Exact D1 registry match,,
missouri,- Louisville,louisville,Louisville,Yes,1,2012-2013,2012-2013,RESOLVED,Exact D1 registry match,,
missouri,- Marquette,marquette,Marquette,Yes,1,2008-2009,2008-2009,RESOLVED,Exact D1 registry match,,
missouri,- Memphis,memphis,Memphis,Yes,1,2008-2009,2008-2009,RESOLVED,Exact D1 registry match,,
missouri,- Nebraska,nebraska,Nebraska,Yes,1,2009-2010,2009-2010,RESOLVED,Exact D1 registry match,,
missouri,- Old Dominion,old-dominion,Old Dominion,Yes,1,2009-2010,2009-2010,RESOLVED,Exact D1 registry match,,
missouri,- Oregon,oregon,Oregon,Yes,1,2009-2010,2009-2010,RESOLVED,Exact D1 registry match,,
missouri,- Richmond,richmond,Richmond,Yes,1,2009-2010,2009-2010,RESOLVED,Exact D1 registry match,,
missouri,- Southern Miss,southern-miss,Southern Miss,Yes,1,2013-2014,2013-2014,RESOLVED,Exact D1 registry match,,
missouri,- Texas A&M,texas-a-m,Texas A&M,Yes,1,2010-2011,2010-2011,RESOLVED,Exact D1 registry match,,
missouri,- Texas Tech,texas-tech,Texas Tech,Yes,1,2010-2011,2010-2011,RESOLVED,Exact D1 registry match,,
missouri,- UMES,maryland-eastern-shore,Maryland Eastern Shore,Yes,1,2015-2016,2015-2016,RESOLVED,Exact D1 registry match,,
missouri,- VCU,vcu,VCU,Yes,1,2012-2013,2012-2013,RESOLVED,Exact D1 registry match,,
missouri,- West Virginia,west-virginia,West Virginia,Yes,2,2009-2010,2013-2014,RESOLVED,Exact D1 registry match,,
missouri,- Wofford,wofford,Wofford,Yes,1,2015-2016,2015-2016,RESOLVED,Exact D1 registry match,,
missouri,- Wyoming,wyoming,Wyoming,Yes,1,2010-2011,2010-2011,RESOLVED,Exact D1 registry match,,
missouri,10 *Alabama,alabama,Alabama,Yes,1,2012-2013,2012-2013,RESOLVED,User accepted proposal,Alabama,
missouri,22 *South Carolina,south-carolina,South Carolina,Yes,1,2012-2013,2012-2013,RESOLVED,User accepted proposal,South Carolina,
missouri,61st Troop Carrier,61st-troop-center,61st Troop Center,No,1,1943-1944,1943-1944,RESOLVED,User identified historical/non-D1 opponent,61st Troop Center,
missouri,7 at UCLA,ucla,UCLA,Yes,1,2012-2013,2012-2013,RESOLVED,User identified alias of current D1,UCLA,
missouri,=E. Washington,eastern-washington,Eastern Washington,Yes,1,1988-1989,1988-1989,RESOLVED,User identified alias of current D1,Eastern Washington,Google Sheets interpreted the source label as a formula (#ERROR!); matched back to source example '=E. Washington'.
missouri,=Lamar,lamar,Lamar,Yes,1,1980-1981,1980-1981,RESOLVED,Exact D1 registry match,,
missouri,=Ohio,ohio,Ohio,Yes,1,1988-1989,1988-1989,RESOLVED,Exact D1 registry match,,
missouri,Air Force,air-force,Air Force,Yes,3,1963-1964,2001-2002,RESOLVED,Exact D1 registry match,,
missouri,Alabama,alabama,Alabama,Yes,22,1977-1978,2025-2026,RESOLVED,Exact D1 registry match,,
