source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes
MIZ-HIST-00001,missouri,historical_media_guide,1906-1907,1907,1907-01-12,Central Methodist,Central Methodist,central-methodist,No,65,5,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 12 Central Methodist W 65-5,opponent_resolved_site_pending,
MIZ-HIST-00002,missouri,historical_media_guide,1906-1907,1907,1907-01-18,Washington (Mo.),Washington University of St. Louis,washington-university-of-st-louis,No,24,28,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 18 Washington (Mo.) L 24-28,opponent_resolved_site_pending,
MIZ-HIST-00003,missouri,historical_media_guide,1906-1907,1907,1907-02-02,K.C. Athletic Club,K.C. Athletic Club,k-c-athletic-club,No,34,35,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 2 @ K.C. Athletic Club L 34-35,opponent_resolved_site_pending,
MIZ-HIST-00004,missouri,historical_media_guide,1906-1907,1907,1907-02-04,Baker,Baker,baker,No,28,43,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 4 @ Baker L 28-43,opponent_resolved_site_pending,
MIZ-HIST-00005,missouri,historical_media_guide,1906-1907,1907,1907-02-05,Emporia State,Emporia State,emporia-state,No,40,26,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 5 @ Emporia State W 40-26,opponent_resolved_site_pending,
MIZ-HIST-00006,missouri,historical_media_guide,1906-1907,1907,1907-02-06,Fort Riley,Fort Riley,fort-riley,No,66,6,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 6 @ Fort Riley W 66-6,opponent_resolved_site_pending,
MIZ-HIST-00007,missouri,historical_media_guide,1906-1907,1907,1907-02-07,Kansas State,Kansas State,kansas-state,Yes,19,34,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 7 @ Kansas State L 19-34,opponent_resolved_site_pending,
MIZ-HIST-00008,missouri,historical_media_guide,1906-1907,1907,1907-02-08,Haskell Institute,Haskell,haskell,No,40,47,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 8 @ Haskell Institute L 40-47,opponent_resolved_site_pending,
MIZ-HIST-00009,missouri,historical_media_guide,1906-1907,1907,1907-02-09,Central Missouri,Central Missouri,central-missouri,No,43,18,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 9 @ Central Missouri W 43-18,opponent_resolved_site_pending,
MIZ-HIST-00010,missouri,historical_media_guide,1906-1907,1907,1907-02-14,Mo. Athletic Club,Missouri Athletic Club,missouri-athletic-club,No,35,29,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 14 @ Mo. Athletic Club W 35-29,opponent_resolved_site_pending,
MIZ-HIST-00011,missouri,historical_media_guide,1906-1907,1907,1907-02-15,Washington (Mo.),Washington University of St. Louis,washington-university-of-st-louis,No,37,30,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 15 @ Washington (Mo.) W 37-30,opponent_resolved_site_pending,
MIZ-HIST-00012,missouri,historical_media_guide,1906-1907,1907,1907-03-02,K.C. Athletic Club,K.C. Athletic Club,k-c-athletic-club,No,46,26,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Mar. 2 K.C. Athletic Club W 46-26,opponent_resolved_site_pending,
MIZ-HIST-00013,missouri,historical_media_guide,1906-1907,1907,1907-03-11,Kansas,Kansas,kansas,Yes,34,31,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Mar. 11 Kansas W 34-31,opponent_resolved_site_pending,
MIZ-HIST-00014,missouri,historical_media_guide,1906-1907,1907,1907-03-12,Kansas,Kansas,kansas,Yes,34,12,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Mar. 12 Kansas W 34-12,opponent_resolved_site_pending,
MIZ-HIST-00015,missouri,historical_media_guide,1906-1907,1907,1907-03-19,Haskell Institute,Haskell,haskell,No,30,21,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Mar. 19 Haskell Institute W 30-21,opponent_resolved_site_pending,
MIZ-HIST-00016,missouri,historical_media_guide,1906-1907,1907,1907-03-23,Mo. Athletic Club,Missouri Athletic Club,missouri-athletic-club,No,22,32,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Mar. 23 Mo. Athletic Club L 22-32,opponent_resolved_site_pending,
MIZ-HIST-00017,missouri,historical_media_guide,1907-1908,1908,1907-12-12,Joplin YMCA,Joplin YMCA,joplin-ymca,No,42,21,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Dec. 12 Joplin YMCA W 42-21,opponent_resolved_site_pending,
MIZ-HIST-00018,missouri,historical_media_guide,1907-1908,1908,1907-12-13,Missouri-Rolla,Missouri Rolla,missouri-rolla,No,39,18,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Dec. 13 Missouri-Rolla W 39-18,opponent_resolved_site_pending,
MIZ-HIST-00019,missouri,historical_media_guide,1907-1908,1908,1907-12-14,Missouri-Rolla,Missouri Rolla,missouri-rolla,No,75,11,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Dec. 14 Missouri-Rolla W 75-11,opponent_resolved_site_pending,
