source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
missouri,hilton-coliseum,VEN-000079,Hilton Coliseum,,Ames,IA,arena,,,unknown,2,2018-11-10,2022-01-29,,,,,,User-supplied modern Missouri season table,Exact venue supplied in modern Missouri season table.
missouri,stegeman-coliseum,VEN-000198,Stegeman Coliseum,,Athens,GA,arena,,,unknown,5,2017-01-07,2025-02-15,,,,,,User-supplied modern Missouri season table,Exact venue supplied in modern Missouri season table.
missouri,neville-arena,VEN-000150,Neville Arena,Auburn Arena,Auburn,AL,arena,,,unknown,5,2017-03-04,2025-01-04,,,,,,User-supplied modern Missouri season table,Exact venue supplied in modern Missouri season table.
missouri,moody-center,VEN-000140,Moody Center,,Austin,TX,arena,,,unknown,1,2025-01-21,2025-01-21,,,,,,User-supplied modern Missouri season table,Exact venue supplied in modern Missouri season table.
missouri,pete-maravich-assembly-center,VEN-000163,Pete Maravich Assembly Center,,Baton Rouge,LA,arena,,,unknown,6,2018-02-17,2026-01-17,,,,,,User-supplied modern Missouri season table,Exact venue supplied in modern Missouri season table.
missouri,cintas-center,VEN-000045,Cintas Center,,Cincinnati,OH,arena,,,unknown,1,2019-11-12,2019-11-12,,,,,,User-supplied modern Missouri season table,Exact venue supplied in modern Missouri season table.
missouri,reed-arena,VEN-000171,Reed Arena,,College Station,TX,arena,,,unknown,9,2017-02-08,2026-02-11,,,,,,User-supplied modern Missouri season table,Exact venue supplied in modern Missouri season table.
missouri,brewer-fieldhouse,VEN-000030,Brewer Fieldhouse,,Columbia,MO,arena,January 1930,1972,month/season,417,1930-02-08,1972-03-11,primary_home,January 1930,1971-1972 season,month start / season end,A Missouri game played here during this range is Missouri home unless the individual game is explicitly classified neutral.,User-provided Missouri arena history,Missouri primary home venue from January 1930 through 1971-72; exact January 1930 transition day unknown. Exact January 1930 transition day remains unknown.
missouri,colonial-life-arena,VEN-000049,Colonial Life Arena,,Columbia,SC,arena,,,unknown,7,2018-01-03,2026-02-07,,,,,,User-supplied modern Missouri season table,Exact venue supplied in modern Missouri season table.
missouri,hearnes-center,VEN-000077,Hearnes Center,,Columbia,MO,arena,1972-73 season,,season,489,1972-11-25,2004-03-07,primary_home,1972-1973 season,2003-2004 season,season,A Missouri game played here during this range is Missouri home unless the individual game is explicitly classified neutral.,User-provided Missouri arena history / user Show-Me Classic confirmation,Missouri primary home venue 1972-73 through 2003-04. Show-Me Classic games count as Missouri home here. Game-level classification remains authoritative.
