index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,nebraska,Abilene Christian,abilene-christian,Abilene Christian,Yes,1,2015-2016,2015-2016,RESOLVED,Current D1 registry / established institutional lineage,,
1,nebraska,Air Force,air-force,Air Force,Yes,5,1959-1960,1981-1982,RESOLVED,Current D1 registry / established institutional lineage,,
2,nebraska,Alabama,alabama,Alabama,Yes,2,1954-1955,1985-1986,RESOLVED,Current D1 registry / established institutional lineage,,
3,nebraska,Alabama A M,alabama-a-m,Alabama A&M,Yes,3,2005-2006,2007-2008,RESOLVED,Current D1 registry / established institutional lineage,,Historical/source label normalized to established institutional/program lineage where applicable.
4,nebraska,Alabama State,alabama-state,Alabama State,Yes,1,2008-2009,2008-2009,RESOLVED,Current D1 registry / established institutional lineage,,
5,nebraska,Alabama-Birmingham,uab,UAB,Yes,1,1978-1979,1978-1979,RESOLVED,Current D1 registry / established institutional lineage,,Historical/source label normalized to established institutional/program lineage where applicable.
6,nebraska,Alaska-Fairbanks,alaska-fairbanks,Alaska-Fairbanks,No,2,2000-2001,2002-2003,RESOLVED,Nebraska media guide / historical non-current identity normalization,,
7,nebraska,Alcorn State,alcorn-state,Alcorn State,Yes,3,2007-2008,2011-2012,RESOLVED,Current D1 registry / established institutional lineage,,
8,nebraska,Angelo State,angelo-state,Angelo State,No,1,1979-1980,1979-1980,RESOLVED,Nebraska media guide / historical non-current identity normalization,,
9,nebraska,Appalachian St,app-state,Appalachian State,Yes,2,1992-1993,1994-1995,RESOLVED,Current D1 registry / established institutional lineage,,Historical/source label normalized to established institutional/program lineage where applicable.
10,nebraska,Appalachian State,app-state,Appalachian State,Yes,1,1993-1994,1993-1994,RESOLVED,Current D1 registry / established institutional lineage,,Historical/source label normalized to established institutional/program lineage where applicable.
11,nebraska,Arizona,arizona,Arizona,Yes,4,1960-1961,1999-2000,RESOLVED,Current D1 registry / established institutional lineage,,
12,nebraska,Arizona State,arizona-state,Arizona State,Yes,8,1968-1969,2024-2025,RESOLVED,Current D1 registry / established institutional lineage,,
13,nebraska,Arkansas,arkansas,Arkansas,Yes,8,1932-1933,1997-1998,RESOLVED,Current D1 registry / established institutional lineage,,
14,nebraska,Arkansas State,arkansas-state,Arkansas State,Yes,2,1988-1989,2013-2014,RESOLVED,Current D1 registry / established institutional lineage,,
15,nebraska,Arkansas Tech,arkansas-tech,Arkansas Tech,No,1,1978-1979,1978-1979,RESOLVED,Nebraska media guide / historical non-current identity normalization,,
16,nebraska,Arkansas-Little Rock,little-rock,Little Rock,Yes,1,1986-1987,1986-1987,RESOLVED,Current D1 registry / established institutional lineage,,Historical/source label normalized to established institutional/program lineage where applicable.
17,nebraska,Arkansas-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,6,2004-2005,2022-2023,RESOLVED,Current D1 registry / established institutional lineage,,
18,nebraska,Auburn,auburn,Auburn,Yes,1,2021-2022,2021-2022,RESOLVED,Current D1 registry / established institutional lineage,,
