index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,NEBRAW-00001,nebraska,2025-26_media_guide_year_by_year,1896-1897,1897,1897-02-02,Lincoln YMCA,Lincoln YMCA,lincoln-ymca,No,11,8,W,0,,,H,SOURCE_PROGRAM_HOME,,Grant Memorial Hall,Lincoln,NE,,,REGULAR_SEASON,,PDF p. 187,H 2/2 Lincoln YMCA ................. W 11 8,resolved,Venue supplied from Nebraska primary-home chronology after independent home classification.,,,,
1,NEBRAW-00002,nebraska,2025-26_media_guide_year_by_year,1896-1897,1897,1897-02-23,Lincoln YMCA,Lincoln YMCA,lincoln-ymca,No,23,14,W,0,,,H,SOURCE_PROGRAM_HOME,,Grant Memorial Hall,Lincoln,NE,,,REGULAR_SEASON,,PDF p. 187,H 2/23 Lincoln YMCA ................. W 23 14,resolved,Venue supplied from Nebraska primary-home chronology after independent home classification.,,,,
2,NEBRAW-00003,nebraska,2025-26_media_guide_year_by_year,1897-1898,1898,1898-01-08,Lincoln YMCA,Lincoln YMCA,lincoln-ymca,No,9,15,L,0,,,H,SOURCE_PROGRAM_HOME,,Grant Memorial Hall,Lincoln,NE,,,REGULAR_SEASON,,PDF p. 187,H 1/8 Lincoln YMCA ................. L 9 15,resolved,Venue supplied from Nebraska primary-home chronology after independent home classification.,,,,
3,NEBRAW-00004,nebraska,2025-26_media_guide_year_by_year,1897-1898,1898,1898-01-15,Omaha YMCA,Omaha YMCA,omaha-ymca,No,12,16,L,0,,,H,SOURCE_PROGRAM_HOME,,Grant Memorial Hall,Lincoln,NE,,,REGULAR_SEASON,,PDF p. 187,H 1/15 Omaha YMCA ................. L 12 16,resolved,Venue supplied from Nebraska primary-home chronology after independent home classification.,,,,
4,NEBRAW-00005,nebraska,2025-26_media_guide_year_by_year,1897-1898,1898,1898-02-01,Lincoln YMCA,Lincoln YMCA,lincoln-ymca,No,13,20,L,0,,,H,SOURCE_PROGRAM_HOME,,Grant Memorial Hall,Lincoln,NE,,,REGULAR_SEASON,,PDF p. 187,H 2/1 Lincoln YMCA ................. L 13 20,resolved,Venue supplied from Nebraska primary-home chronology after independent home classification.,,,,
5,NEBRAW-00006,nebraska,2025-26_media_guide_year_by_year,1897-1898,1898,1898-02-22,Omaha YMCA,Omaha YMCA,omaha-ymca,No,10,9,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 187,A 2/22 Omaha YMCA ................. W 10 9,resolved,,,,,
6,NEBRAW-00007,nebraska,2025-26_media_guide_year_by_year,1898-1899,1899,1898-12-13,Nebraska Wesleyan,Nebraska Wesleyan,nebraska-wesleyan,No,37,5,W,0,,,H,SOURCE_PROGRAM_HOME,,Grant Memorial Hall,Lincoln,NE,,,REGULAR_SEASON,,PDF p. 187,H 12/13 Nebraska Wesleyan ........ W 37 5,resolved,Venue supplied from Nebraska primary-home chronology after independent home classification.,,,,
7,NEBRAW-00008,nebraska,2025-26_media_guide_year_by_year,1898-1899,1899,1899-01-17,Doane,Doane,doane,No,52,7,W,0,,,H,SOURCE_PROGRAM_HOME,,Grant Memorial Hall,Lincoln,NE,,,REGULAR_SEASON,,PDF p. 187,H 1/17 Doane ............................. W 52 7,resolved,Venue supplied from Nebraska primary-home chronology after independent home classification.,,,,
8,NEBRAW-00009,nebraska,2025-26_media_guide_year_by_year,1898-1899,1899,1899-01-20,Omaha YMCA,Omaha YMCA,omaha-ymca,No,21,14,W,0,,,H,SOURCE_PROGRAM_HOME,,Grant Memorial Hall,Lincoln,NE,,,REGULAR_SEASON,,PDF p. 187,H 1/20 Omaha YMCA ................. W 21 14,resolved,Venue supplied from Nebraska primary-home chronology after independent home classification.,,,,
9,NEBRAW-00010,nebraska,2025-26_media_guide_year_by_year,1898-1899,1899,1899-02-02,Nebraska Wesleyan,Nebraska Wesleyan,nebraska-wesleyan,No,57,3,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 187,A 2/2 Nebraska Wesleyan ........ W 57 3,resolved,,,,,
