index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,nebraska,ahearn-field-house,VEN-000001,Ahearn Field House,,Manhattan,KS,arena,,,,1,1979-02-28,1979-02-28,,,,,,Current project global venue registry.,
1,nebraska,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,arena,,,,2,1977-02-26,1985-03-05,,,,,,Current project global venue registry.,
2,nebraska,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,arena,,,,5,2003-03-13,2006-03-11,,,,,,Current project global venue registry; owner-authorized conference tournament reference.,
3,nebraska,simon-skjodt-assembly-hall,VEN-000186,Assembly Hall,Simon Skjodt Assembly Hall,Bloomington,IN,arena,,,,1,2026-01-10,2026-01-10,,,,,,Current project global venue registry; Nebraska official 2025-26 schedule.,
4,nebraska,bob-devaney-sports-center,VEN-000023,Bob Devaney Sports Center,NU Sports Complex;Devaney Center,Lincoln,NE,arena,,,,596,1976-11-27,2013-03-06,home,1976-11-27,2013-03-06,exact,A Nebraska game must already be independently classified home before home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Current project global venue registry plus Nebraska home-court history.,
5,nebraska,capital-one-arena,VEN-000036,Capital One Arena,Verizon Center;MCI Center,Washington,DC,arena,,,,1,2017-03-08,2017-03-08,,,,,,Current project global venue registry; owner-authorized conference tournament reference.,
6,nebraska,carver-hawkeye-arena,VEN-000037,Carver-Hawkeye Arena,,Iowa City,IA,arena,,,,1,2026-02-17,2026-02-17,,,,,,Current project global venue registry; Nebraska official 2025-26 schedule.,
7,nebraska,charlotte-coliseum-1955,VEN-000040,Charlotte Coliseum,,Charlotte,NC,arena,1955,,YEAR,1,1986-03-14,1986-03-14,,,,,,Current project global venue registry; NCAA site research.,Original 1955 Independence Boulevard building; distinct from 1988 Charlotte Coliseum.
8,nebraska,crisler-center,VEN-000261,Crisler Center,Crisler Arena,Ann Arbor,MI,arena,,,,1,2026-01-27,2026-01-27,,,,,,Current project global venue registry; Nebraska official 2025-26 schedule.,
9,nebraska,extramile-arena,VEN-000061,ExtraMile Arena,BSU Pavilion;Taco Bell Arena,Boise,ID,arena,,,,1,1998-03-12,1998-03-12,,,,,,Current project global venue registry; NCAA site research.,
10,nebraska,fedexforum,VEN-000062,FedExForum,,Memphis,TN,arena,,,,1,2024-03-22,2024-03-22,,,,,,Current project global venue registry; Nebraska 2024 NCAA official recap.,
11,nebraska,frost-bank-center,VEN-000295,Frost Bank Center,AT&T Center;SBC Center,San Antonio,TX,arena,,,,1,2014-03-21,2014-03-21,,,,,,2014 NCAA official/Baylor box-score evidence identifies AT&T Center; current physical building is Frost Bank Center.,Integration rebase: reused current global VEN-000295 for the Frost Bank Center / AT&T Center / SBC Center physical venue.
12,nebraska,gainbridge-fieldhouse,VEN-000070,Gainbridge Fieldhouse,Conseco Fieldhouse;Bankers Life Fieldhouse,Indianapolis,IN,arena,,,,7,2012-03-08,2022-03-09,,,,,,Current project global venue registry; owner-authorized conference tournament reference.,
13,nebraska,galen-center,VEN-000071,Galen Center,,Los Angeles,CA,arena,,,,1,2026-02-28,2026-02-28,,,,,,Current project global venue registry; Nebraska official 2025-26 schedule.,
14,nebraska,grant-memorial-hall-nebraska,VEN-000310,Grant Memorial Hall,Grant Hall,Lincoln,NE,gymnasium,,,,171,1897-02-02,1926-01-23,home,1897-02-02,1926-01-23,exact,A Nebraska game must already be independently classified home before home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Nebraska 2025-26 media guide home-court history.,Integration rebase: allocated VEN-000310 against current main for this Nebraska historical home venue.
15,nebraska,hubert-h-humphrey-metrodome,VEN-000085,Hubert H. Humphrey Metrodome,Metrodome,Minneapolis,MN,stadium,,,,1,1991-03-14,1991-03-14,,,,,,Current project global venue registry; NCAA site research.,
16,nebraska,jma-wireless-dome,VEN-000096,JMA Wireless Dome,Carrier Dome,Syracuse,NY,stadium,,,,1,1993-03-19,1993-03-19,,,,,,Current project global venue registry; NCAA site research.,
17,nebraska,jersey-mikes-arena,VEN-000095,Jersey Mike's Arena,Rutgers Athletic Center;RAC,Piscataway,NJ,arena,,,,1,2026-02-07,2026-02-07,,,,,,Current project global venue registry; Nebraska official 2025-26 schedule.,
18,nebraska,kemper-arena,VEN-000099,Kemper Arena,Hy-Vee Arena,Kansas City,MO,arena,,,,29,1978-03-03,2005-03-10,,,,,,Current project global venue registry; owner-authorized conference tournament reference.,
19,nebraska,lucas-oil-stadium,VEN-000120,Lucas Oil Stadium,,Indianapolis,IN,stadium,,,,1,2021-03-10,2021-03-10,,,,,,Current project global venue registry; owner-authorized conference tournament reference.,
20,nebraska,madison-square-garden-1968,VEN-000124,Madison Square Garden,,New York,NY,arena,1968-02-11,,EXACT_START,6,1983-03-28,2018-03-02,,,,,,Current project global venue registry; owner-authorized conference tournament reference.,
21,nebraska,madison-square-garden-1925,VEN-000123,Madison Square Garden (1925),Madison Square Garden III,New York,NY,arena,1925,1968,YEAR,1,1967-03-13,1967-03-13,,,,,,Current project global venue registry.,
22,nebraska,nassau-coliseum,VEN-000147,Nassau Coliseum,Nassau Veterans Memorial Coliseum,Uniondale,NY,arena,,,,1,1994-03-17,1994-03-17,,,,,,Current project global venue registry; NCAA site research.,
23,nebraska,nebraska-coliseum,VEN-000312,Nebraska Coliseum,NU Coliseum,Lincoln,NE,arena,1926-02-06,,EXACT_START,510,1926-02-06,1976-03-06,home,1926-02-06,1976-03-06,exact,A Nebraska game must already be independently classified home before home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Nebraska 2025-26 media guide home-court history.,Integration rebase: allocated VEN-000312 against current main for this Nebraska historical home venue.
24,nebraska,pauley-pavilion,VEN-000161,Pauley Pavilion,,Los Angeles,CA,arena,,,,1,2026-03-03,2026-03-03,,,,,,Current project global venue registry; Nebraska official 2025-26 schedule.,
25,nebraska,paycom-center,VEN-000162,Paycom Center,Ford Center;Chesapeake Energy Arena,Oklahoma City,OK,arena,,,,4,2007-03-08,2026-03-21,,,,,,Current project global venue registry; owner-authorized conference tournament reference / official 2025-26 schedule.,
26,nebraska,pinnacle-bank-arena,VEN-000165,Pinnacle Bank Arena,,Lincoln,NE,arena,2013,,YEAR,219,2013-11-08,2026-03-08,home,2013-11-08,,exact,A Nebraska game must already be independently classified home before home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Current project global venue registry plus Nebraska media guide.,
27,nebraska,riverfront-coliseum,VEN-000176,Riverfront Coliseum,Cincinnati Coliseum,Cincinnati,OH,arena,,,,1,1992-03-19,1992-03-19,,,,,,Current project global venue registry; NCAA site research.,
28,nebraska,sanford-pentagon,VEN-000251,Sanford Pentagon,,Sioux Falls,SD,arena,,,,1,2025-11-15,2025-11-15,,,,,,Current project global venue registry; Nebraska official 2025-26 schedule.,
29,nebraska,nebraska-state-fairgrounds-coliseum,VEN-000311,State Fairgrounds Coliseum,Nebraska State Fairgrounds Coliseum,Lincoln,NE,arena,,,,19,1921-01-14,1922-03-03,home,1921-01-14,1922-03-03,exact,A Nebraska game must already be independently classified home before home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Nebraska 2025-26 media guide home-court history.,Integration rebase: allocated VEN-000311 against current main for this Nebraska historical home venue.
30,nebraska,state-farm-center,VEN-000196,State Farm Center,Assembly Hall (Illinois),Champaign,IL,arena,,,,1,2025-12-13,2025-12-13,,,,,,Current project global venue registry; Nebraska official 2025-26 schedule.,
31,nebraska,t-mobile-center,VEN-000202,T-Mobile Center,Sprint Center,Kansas City,MO,arena,,,,7,2008-03-13,2025-11-21,,,,,,Current project global venue registry; owner-authorized conference tournament reference / official 2025-26 schedule.,
32,nebraska,target-center,VEN-000260,Target Center,,Minneapolis,MN,arena,,,,2,2024-03-15,2024-03-16,,,,,,Current project global venue registry; owner-authorized conference tournament reference.,
33,nebraska,toyota-center,VEN-000213,Toyota Center,,Houston,TX,arena,,,,1,2026-03-26,2026-03-26,,,,,,Current project global venue registry; Nebraska official 2025-26 schedule.,
34,nebraska,united-center,VEN-000217,United Center,,Chicago,IL,arena,,,,8,2013-03-14,2026-03-13,,,,,,Current project global venue registry; owner-authorized conference tournament reference / official 2025-26 schedule.,
35,nebraska,value-city-arena,VEN-000225,Value City Arena,,Columbus,OH,arena,,,,1,2026-01-05,2026-01-05,,,,,,Current project global venue registry; Nebraska official 2025-26 schedule.,
36,nebraska,welsh-ryan-arena,VEN-000229,Welsh-Ryan Arena,,Evanston,IL,arena,,,,1,2026-01-17,2026-01-17,,,,,,Current project global venue registry; Nebraska official 2025-26 schedule.,
37,nebraska,williams-arena,VEN-000230,Williams Arena,,Minneapolis,MN,arena,,,,1,2026-01-24,2026-01-24,,,,,,Current project global venue registry; Nebraska official 2025-26 schedule.,
