source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
north-carolina,Air Force,air-force,Air Force,Yes,1,2003-2004,2003-2004,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Akron,akron,Akron,Yes,1,2003-2004,2003-2004,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Akron Goodyear,akron-goodyear,Akron Goodyear,No,1,1941-1942,1941-1942,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,
north-carolina,Alabama,alabama,Alabama,Yes,9,1921-1922,1991-1992,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Alabama (-/13),alabama,Alabama,Yes,1,1954-1955,1954-1955,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Alabama (1/18),alabama,Alabama,Yes,1,2022-2023,2022-2023,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Alabama (16/5),alabama,Alabama,Yes,1,1955-1956,1955-1956,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Alabama (20/10),alabama,Alabama,Yes,1,2024-2025,2024-2025,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Alabama (5/19),alabama,Alabama,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Alabama (6/-),alabama,Alabama,Yes,1,2019-2020,2019-2020,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Alaska-Anchorage,alaska-anchorage,Alaska-Anchorage,No,1,1980-1981,1980-1981,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,
north-carolina,Albany,ualbany,Albany,Yes,1,2009-2010,2009-2010,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,American (10/-),american-university,American University,Yes,1,2024-2025,2024-2025,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Appalachian St. (11/-),app-state,Appalachian State,Yes,1,2015-2016,2015-2016,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
