source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
UNC-R-1910-001,north-carolina,unc_all_time_scores_2014_15,1910-1911,1911,1911-01-27,Virginia Christian (Lynchburg),Lynchburg,lynchburg,No,42,21,W,0,,,H,SOURCE_PROGRAM_HOME,,Bynum Gym,Chapel Hill,NC,,,REGULAR_SEASON,,All-Time Scores pp.154-157,J27 Virginia Christian (Lynchburg) H W 42-21,resolved,,,,,,,
UNC-R-1910-002,north-carolina,unc_all_time_scores_2014_15,1910-1911,1911,1911-02-01,Durham YMCA,Durham YMCA,durham-ymca,No,60,18,W,0,,,H,SOURCE_PROGRAM_HOME,,Bynum Gym,Chapel Hill,NC,,,REGULAR_SEASON,,All-Time Scores pp.154-157,F1 Durham YMCA H W 60-18,resolved,,,,,,,
UNC-R-1910-003,north-carolina,unc_all_time_scores_2014_15,1910-1911,1911,1911-02-03,Wake Forest,Wake Forest,wake-forest,Yes,31,28,W,0,,,H,SOURCE_PROGRAM_HOME,,Bynum Gym,Chapel Hill,NC,,,REGULAR_SEASON,,All-Time Scores pp.154-157,F3 Wake Forest H W 31-28,resolved,,,,,,,
UNC-R-1910-004,north-carolina,unc_all_time_scores_2014_15,1910-1911,1911,1911-02-08,Davidson,Davidson,davidson,Yes,27,25,W,0,,,H,SOURCE_PROGRAM_HOME,,Bynum Gym,Chapel Hill,NC,,,REGULAR_SEASON,,All-Time Scores pp.154-157,F8 Davidson H W 27-25,resolved,,,,,,,
UNC-R-1910-005,north-carolina,unc_all_time_scores_2014_15,1910-1911,1911,1911-02-15,Charlotte YMCA,Charlotte YMCA,charlotte-ymca,No,42,28,W,0,,,H,SOURCE_PROGRAM_HOME,,Bynum Gym,Chapel Hill,NC,,,REGULAR_SEASON,,All-Time Scores pp.154-157,F15 Charlotte YMCA H W 42-28,resolved,,,,,,,
UNC-R-1910-006,north-carolina,unc_all_time_scores_2014_15,1910-1911,1911,1911-02-18,Wake Forest,Wake Forest,wake-forest,Yes,16,38,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Scores pp.154-157,F18 Wake Forest A L 16-38,resolved,,,,,,,
UNC-R-1910-007,north-carolina,unc_all_time_scores_2014_15,1910-1911,1911,1911-02-21,Tennessee,Tennessee,tennessee,Yes,40,21,W,0,,,H,SOURCE_PROGRAM_HOME,,Bynum Gym,Chapel Hill,NC,,,REGULAR_SEASON,,All-Time Scores pp.154-157,F21 Tennessee H W 40-21,resolved,,,,,,,
UNC-R-1910-008,north-carolina,unc_all_time_scores_2014_15,1910-1911,1911,1911-02-24,Virginia,Virginia,virginia,Yes,15,18,L,0,,,H,SOURCE_PROGRAM_HOME,,Bynum Gym,Chapel Hill,NC,,,REGULAR_SEASON,,All-Time Scores pp.154-157,F24 Virginia H L 15-18,resolved,,,,,,,
UNC-R-1910-009,north-carolina,unc_all_time_scores_2014_15,1910-1911,1911,1911-02-27,Virginia Christian (Lynchburg),Lynchburg,lynchburg,No,31,33,L,1,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Scores pp.154-157,F27 Virginia Christian (Lynchburg) A L* 31-33,resolved,,,,,,,
UNC-R-1910-010,north-carolina,unc_all_time_scores_2014_15,1910-1911,1911,1911-02-28,Woodberry Forest,Woodberry Forest,woodberry-forest,No,23,11,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Scores pp.154-157,F28 Woodberry Forest A W 23-11,resolved,,,,,,,
