source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
north-carolina,alamodome,VEN-000002,Alamodome,Alamaodome,San Antonio,TX,arena,,,unknown,2,1998-03-28,2008-04-05,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000002.
north-carolina,alumni-hall-navy,VEN-000525,Alumni Hall,,Annapolis,MD,arena,,,unknown,1,2015-11-13,2015-11-13,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-time new physical venue candidate. Provisional VEN-99xxxx ID is transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate/reuse the authoritative global ID. Integration rebase resolved final global venue ID VEN-000525.
north-carolina,amalie-arena,VEN-000008,Benchmark International Arena,,Tampa,FL,arena,,,unknown,3,2007-03-09,2007-03-11,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000008.
north-carolina,amerant-bank-arena,VEN-000009,Amerant Bank Arena,,Sunrise,FL,arena,,,unknown,1,1999-12-18,1999-12-18,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000009.
north-carolina,amica-mutual-pavilion,VEN-000011,Amica Mutual Pavilion,Providence Civic Center,Providence,RI,arena,,,unknown,2,1975-03-20,1975-03-22,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000011.
north-carolina,aoyama-gakuin-hall,VEN-000526,Aoyama Gakuin Hall,,Tokyo,Japan,arena,,,unknown,1,1984-12-23,1984-12-23,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-time new physical venue candidate. Provisional VEN-99xxxx ID is transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate/reuse the authoritative global ID. Integration rebase resolved final global venue ID VEN-000526.
north-carolina,at-t-stadium,VEN-000015,AT&T Stadium,,Arlington,TX,stadium,,,unknown,1,2009-12-19,2009-12-19,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000015.
north-carolina,atlanta-municipal-auditorium,VEN-000274,Atlanta Municipal Auditorium,Municipal Auditorium,Atlanta,GA,arena,,,unknown,33,1922-02-24,1932-03-01,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000274.
north-carolina,ball-arena,VEN-000018,Ball Arena,Pepsi Center,Denver,CO,arena,,,unknown,2,2004-03-18,2004-03-20,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000018.
north-carolina,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,unknown,9,2015-12-19,2022-03-11,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000020.
north-carolina,bartow-arena,VEN-000527,Bartow Arena,,Birmingham,AL,arena,,,unknown,1,2010-03-23,2010-03-23,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-time new physical venue candidate. Provisional VEN-99xxxx ID is transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate/reuse the authoritative global ID. Integration rebase resolved final global venue ID VEN-000527.
north-carolina,bon-secours-wellness-arena,VEN-000025,Bon Secours Wellness Arena,,Greenville,SC,arena,,,unknown,3,2017-03-17,2026-03-19,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000025.
north-carolina,boston-garden,VEN-000313,Boston Garden,,Boston,MA,arena,,,unknown,2,1956-12-21,1956-12-22,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000313.
north-carolina,brendan-byrne-arena,VEN-000028,Brendan Byrne Arena,Meadowlands,East Rutherford,NJ,arena,,,unknown,15,1981-12-26,2007-03-25,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000028.
north-carolina,buckner-fieldhouse,VEN-000528,Buckner Fieldhouse,,Anchorage,AK,gymnasium,,,unknown,2,1980-11-29,1980-11-30,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-time new physical venue candidate. Provisional VEN-99xxxx ID is transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate/reuse the authoritative global ID. Integration rebase resolved final global venue ID VEN-000528.
north-carolina,bynum-gym,VEN-000529,Bynum Gym,Bynum Gymnasium,Chapel Hill,NC,gymnasium,,,unknown,78,1911-01-27,1923-02-24,home,1911-01-27,1923-02-24,EXACT_ASSIGNED_RANGE,A North Carolina game must already be independently classified SOURCE_PROGRAM_HOME before home-facility chronology supplies physical venue/location; venue never establishes H/A/N.,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-time new physical venue candidate. Provisional VEN-99xxxx ID is transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate/reuse the authoritative global ID. Integration rebase resolved final global venue ID VEN-000529.
north-carolina,caesars-superdome,VEN-000034,Caesars Superdome,Superdome,New Orleans,LA,stadium,,,unknown,9,1982-03-27,2022-04-04,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000034.
north-carolina,camelia-bowl-lafayette,VEN-000530,Camelia Bowl,,Lafayette,LA,arena,,,unknown,1,1948-12-28,1948-12-28,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-time new physical venue candidate. Provisional VEN-99xxxx ID is transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate/reuse the authoritative global ID. Integration rebase resolved final global venue ID VEN-000530.
north-carolina,cameron-indoor-stadium,VEN-000035,Cameron Indoor Stadium,,Durham,NC,stadium,,,unknown,9,1943-01-30,1950-03-02,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000035.
north-carolina,capital-centre,VEN-000259,Capital Centre,US Air Arena,Landover,MD,arena,,,unknown,10,1976-03-05,1994-03-20,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000259.
north-carolina,capital-one-arena,VEN-000036,Capital One Arena,,Washington,DC,arena,,,unknown,8,2005-03-11,2024-03-16,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000036.
north-carolina,carmichael-arena,VEN-000531,Carmichael Arena,Carmichael Auditorium,Chapel Hill,NC,arena,,,unknown,191,1965-12-04,2019-12-15,home,1965-12-04,2019-12-15,EXACT_ASSIGNED_RANGE,A North Carolina game must already be independently classified SOURCE_PROGRAM_HOME before home-facility chronology supplies physical venue/location; venue never establishes H/A/N.,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-time new physical venue candidate. Provisional VEN-99xxxx ID is transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate/reuse the authoritative global ID. Integration rebase resolved final global venue ID VEN-000531.
north-carolina,cassell-coliseum,VEN-000329,Cassell Coliseum,,Blacksburg,VA,arena,,,unknown,2,1964-12-18,1964-12-19,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000329.
north-carolina,central-high-charlotte,VEN-000532,Central High,,Charlotte,NC,arena,,,unknown,2,1934-01-06,1937-01-09,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-time new physical venue candidate. Provisional VEN-99xxxx ID is transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate/reuse the authoritative global ID. Integration rebase resolved final global venue ID VEN-000532.
north-carolina,charlotte-armory-auditorium,VEN-000533,Armory Auditorium,,Charlotte,NC,arena,,,unknown,7,1940-01-06,1949-02-22,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-time new physical venue candidate. Provisional VEN-99xxxx ID is transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate/reuse the authoritative global ID. Integration rebase resolved final global venue ID VEN-000533.
north-carolina,charlotte-city-auditorium,VEN-000534,City Auditorium,,Charlotte,NC,arena,,,unknown,1,1924-01-19,1924-01-19,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-time new physical venue candidate. Provisional VEN-99xxxx ID is transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate/reuse the authoritative global ID. Integration rebase resolved final global venue ID VEN-000534.
north-carolina,charlotte-coliseum-1988,VEN-000041,Charlotte Coliseum,Charlotte Coliseum I; Charlotte Coliseum II,Charlotte,NC,arena,,,unknown,146,1955-12-09,2005-03-20,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000041.
north-carolina,chicago-stadium,VEN-000044,Chicago Stadium,,Chicago,IL,stadium,,,unknown,1,1958-02-15,1958-02-15,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000044.
north-carolina,cole-field-house,VEN-000047,Cole Field House,,College Park,MD,arena,,,unknown,6,1967-03-17,1977-03-19,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000047.
north-carolina,crypto-com-arena,VEN-000051,Crypto.com Arena,STAPLES Center,Los Angeles,CA,arena,,,unknown,2,2015-03-26,2024-03-28,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000051.
north-carolina,curtis-hixon-hall,VEN-000535,Curtis Hixon Hall,,Tampa,FL,arena,,,unknown,2,1966-12-19,1966-12-20,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-time new physical venue candidate. Provisional VEN-99xxxx ID is transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate/reuse the authoritative global ID. Integration rebase resolved final global venue ID VEN-000535.
north-carolina,dean-smith-center,VEN-000053,Dean Smith Center,Dean E. Smith Student Activities Center; Smith Center,Chapel Hill,NC,arena,,,unknown,597,1986-01-18,2026-03-03,home,1986-01-18,2026-03-03,EXACT_ASSIGNED_RANGE,A North Carolina game must already be independently classified SOURCE_PROGRAM_HOME before home-facility chronology supplies physical venue/location; venue never establishes H/A/N.,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000053.
north-carolina,dee-events-center,VEN-000054,Dee Events Center,,Ogden,UT,arena,,,unknown,2,1986-03-13,1986-03-15,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000054.
north-carolina,desert-financial-arena,VEN-000056,Desert Financial Arena,Univ. Activities Center,Tempe,AZ,arena,,,unknown,1,1978-03-11,1978-03-11,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000056.
north-carolina,dickies-arena,VEN-000057,Dickies Arena,,Fort Worth,TX,arena,,,unknown,2,2022-03-17,2022-03-19,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000057.
north-carolina,don-haskins-center,VEN-000325,Don Haskins Center,Special Events Center,El Paso,TX,arena,,,unknown,1,1981-03-15,1981-03-15,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000325.
north-carolina,donald-l-tucker-civic-center,VEN-000058,Donald L. Tucker Civic Center,Leon County CC,Tallahassee,FL,arena,,,unknown,2,1995-03-17,1995-03-19,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000058.
north-carolina,elkin-high-school,VEN-000536,Elkin High School,,Elkin,NC,arena,,,unknown,1,1943-12-16,1943-12-16,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-time new physical venue candidate. Provisional VEN-99xxxx ID is transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate/reuse the authoritative global ID. Integration rebase resolved final global venue ID VEN-000536.
north-carolina,fedexforum,VEN-000062,FedExForum,,Memphis,TN,arena,,,unknown,4,2009-03-27,2017-03-26,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000062.
north-carolina,fiserv-forum,VEN-000063,Fiserv Forum,,Milwaukee,WI,arena,,,unknown,1,2025-03-21,2025-03-21,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000063.
north-carolina,ford-field,VEN-000066,Ford Field,,Detroit,MI,arena,,,unknown,3,2008-12-03,2009-04-06,,,,,,Accepted North Carolina Stage 3A/3B game-level site research; see source-notes.md and durable Stage 3 checkpoints.,Research-base physical venue reuse; numeric/global identity already established at research_base_sha. Integration rebase resolved final global venue ID VEN-000066.
