source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
northwestern,Akron,akron,Akron,Yes,1,2011-2012,2011-2012,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Alabama,alabama,Alabama,Yes,1,1930-1931,1930-1931,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Alcorn State,alcorn-state,Alcorn State,Yes,1,1994-1995,1994-1995,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Amer. Coll. of PE,amer-coll-of-pe,Amer. Coll. of PE,,1,1919-1920,1919-1920,resolved,New historical/non-current identity using source label,,
northwestern,American,american,American,,2,2010-2011,2018-2019,resolved,Exact canonical-name match among inherited aliases,,
northwestern,Angelo State,angelo-state,Angelo State,,1,1982-1983,1982-1983,resolved,New historical/non-current identity using source label,,
northwestern,Arizona,arizona,Arizona,Yes,2,1976-1977,1978-1979,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Arizona State,arizona-state,Arizona State,Yes,6,1969-1970,2004-2005,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Arizona State s,arizona-state,Arizona State,Yes,1,2023-2024,2023-2024,resolved,Audit correction: stripped Northwestern media-guide event marker / normalized clear current-program alias.,,
northwestern,Arkansas State,arkansas-state,Arkansas State,Yes,1,2007-2008,2007-2008,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Arkansas-Little Rock,little-rock,Little Rock,Yes,1,2000-2001,2000-2001,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Arkansas-Pine Bluff,uapb,UAPB,,2,2010-2011,2020-2021,resolved,Clear/user-confirmed alias,,
northwestern,Armour,armour,Armour,,5,1912-1913,1921-1922,resolved,New historical/non-current identity using source label,,
northwestern,Army,army,Army,Yes,1,1995-1996,1995-1996,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Auburn F,auburn,Auburn,Yes,1,2022-2023,2022-2023,resolved,Audit correction: stripped Northwestern media-guide event marker / normalized clear current-program alias.,,
northwestern,BYU,byu,BYU,Yes,1,1989-1990,1989-1990,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Ball State,ball-state,Ball State,Yes,2,1966-1967,1988-1989,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Baylor,baylor,Baylor,Yes,2,2011-2012,2012-2013,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Beloit,beloit,Beloit,,3,1904-1905,1920-1921,resolved,New historical/non-current identity using source label,,
northwestern,Benedictine,benedictine,Benedictine,,1,2007-2008,2007-2008,resolved,New historical/non-current identity using source label,,
northwestern,Binghamton,binghamton,Binghamton,Yes,2,2018-2019,2023-2024,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Boise State,boise-state,Boise State,Yes,1,2022-2023,2022-2023,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Boston College,boston-college,Boston College,,6,1968-1969,2019-2020,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Boston University,boston-university,Boston University,Yes,2,1959-1960,2025-2026,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Bowling Green,bowling-green,Bowling Green,Yes,3,1979-1980,2003-2004,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Bradley,bradley,Bradley,Yes,9,1930-1931,1985-1986,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,BradleyF,bradley,Bradley,Yes,1,2019-2020,2019-2020,resolved,Audit correction: stripped Northwestern media-guide event marker / normalized clear current-program alias.,,
northwestern,Brigham Young,byu,BYU,Yes,1,1945-1946,1945-1946,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Brown,brown,Brown,Yes,11,1961-1962,2022-2023,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Bryant,bryant,Bryant,,1,2016-2017,2016-2017,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Buckeye Paints,buckeye-paints,Buckeye Paints,,1,1915-1916,1915-1916,resolved,New historical/non-current identity using source label,,
northwestern,Bucknell,bucknell,Bucknell,Yes,1,2003-2004,2003-2004,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Buffalo,buffalo,Buffalo,Yes,3,2000-2001,2002-2003,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Butler,butler,Butler,Yes,28,1934-1935,2025-2026,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Butler F,butler,Butler,Yes,1,2024-2025,2024-2025,resolved,Audit correction: stripped Northwestern media-guide event marker / normalized clear current-program alias.,,
northwestern,Cal State-LA,cal-state-la,Cal State-LA,,1,1985-1986,1985-1986,resolved,New historical/non-current identity using source label,,
northwestern,California,california,California,Yes,3,1935-1936,1960-1961,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Camp Grant,camp-grant,Camp Grant,No,1,1943-1944,1943-1944,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Carleton,carleton,Carleton,No,7,1930-1931,1939-1940,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Central Arkansas,central-arkansas,Central Arkansas,Yes,1,2008-2009,2008-2009,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Central Conn. State,central-connecticut,Central Connecticut,,2,2009-2010,2011-2012,resolved,Clear/user-confirmed alias,,
northwestern,Central Michigan,central-michigan,Central Michigan,Yes,4,1994-1995,2014-2015,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Central Park,central-park,Central Park,,1,1913-1914,1913-1914,resolved,New historical/non-current identity using source label,,
northwestern,Charlotte,charlotte,Charlotte,Yes,1,2005-2006,2005-2006,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Chicago,chicago,Chicago,No,58,1904-1905,1993-1994,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Chicago State,chicago-state,Chicago State,Yes,16,1981-1982,2023-2024,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Chicago YMCA,chicago-ymca,Chicago YMCA,,1,1915-1916,1915-1916,resolved,New historical/non-current identity using source label,,
northwestern,Clemson,clemson,Clemson,Yes,1,2000-2001,2000-2001,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Cleveland State,cleveland-state,Cleveland State,Yes,3,1983-1984,2025-2026,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Colorado,colorado,Colorado,Yes,9,1949-1950,2004-2005,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Colorado State,colorado-state,Colorado State,Yes,3,1962-1963,1982-1983,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Columbia,columbia,Columbia,Yes,4,1969-1970,2018-2019,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Cornell,cornell,Cornell,Yes,3,1980-1981,2006-2007,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Cornell (Iowa),cornell-iowa,Cornell (Iowa),,1,1929-1930,1929-1930,resolved,New historical/non-current identity using source label,,
northwestern,Cornell Athletic Club,cornell-athletic-club,Cornell Athletic Club,,1,1913-1914,1913-1914,resolved,New historical/non-current identity using source label,,
northwestern,Creighton,creighton,Creighton,Yes,6,1961-1962,2017-2018,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Dartmouth,dartmouth,Dartmouth,Yes,4,1948-1949,1990-1991,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Dayton,dayton,Dayton,Yes,5,1972-1973,2024-2025,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Daytons,dayton,Dayton,Yes,1,2016-2017,2016-2017,resolved,Audit correction: stripped Northwestern media-guide event marker / normalized clear current-program alias.,,
northwestern,DePaul,depaul,DePaul,Yes,38,1911-1912,2025-2026,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,DePauw,depauw,DePauw,No,5,1921-1922,2005-2006,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Delaware State,delaware-state,Delaware State,Yes,3,2004-2005,2012-2013,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Denver,denver,Denver,Yes,1,1983-1984,1983-1984,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Depaul,depaul,DePaul,Yes,1,2019-2020,2019-2020,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Detroit,detroit-mercy,Detroit Mercy,Yes,1,1956-1957,1956-1957,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Detroit Mercy,detroit-mercy,Detroit Mercy,Yes,1,2023-2024,2023-2024,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Detroit YMCA,detroit-ymca,Detroit YMCA,,1,1915-1916,1915-1916,resolved,New historical/non-current identity using source label,,
northwestern,Drake,drake,Drake,Yes,2,1926-1927,1964-1965,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Duke,duke,Duke,Yes,7,1970-1971,1989-1990,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Duquesne,duquesne,Duquesne,Yes,2,1957-1958,1975-1976,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,E. Tennessee St.,east-tennessee-state,East Tennessee State,Yes,1,1978-1979,1978-1979,resolved,Clear/user-confirmed alias,,
northwestern,East Carolina,east-carolina,East Carolina,Yes,1,2001-2002,2001-2002,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Eastern Illinois,eastern-illinois,Eastern Illinois,Yes,4,2011-2012,2024-2025,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Eastern Washington,eastern-washington,Eastern Washington,Yes,1,2016-2017,2016-2017,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Eckhart Park,eckhart-park,Eckhart Park,,1,1913-1914,1913-1914,resolved,New historical/non-current identity using source label,,
northwestern,Elon,elon,Elon,Yes,2,2002-2003,2014-2015,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Evanston Academy,evanston-academy,Evanston Academy,,1,1912-1913,1912-1913,resolved,New historical/non-current identity using source label,,
northwestern,Evanston Reds,evanston-reds,Evanston Reds,No,3,1910-1911,1912-1913,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Evanston YMCA,evanston-ymca,Evanston YMCA,,8,1906-1907,1912-1913,resolved,New historical/non-current identity using source label,,
northwestern,Evansville,evansville,Evansville,Yes,3,1964-1965,2000-2001,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Fairfield,fairfield,Fairfield,Yes,2,1976-1977,2015-2016,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Fairleigh Dickinson,fairleigh-dickinson,Fairleigh Dickinson,Yes,2,2012-2013,2021-2022,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,First Nat’l Bank,first-nat-l-bank,First Nat’l Bank,,1,1914-1915,1914-1915,resolved,New historical/non-current identity using source label,,
northwestern,Flint Mich. Veh.,flint-mich-veh,Flint Mich. Veh.,,1,1915-1916,1915-1916,resolved,New historical/non-current identity using source label,,
northwestern,Florida,florida,Florida,Yes,3,1968-1969,1970-1971,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Florida A&M,florida-a-and-m,Florida A&M,,1,2001-2002,2001-2002,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Florida Atlantic,fau,FAU,,2,2005-2006,2023-2024,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Florida Int’l,fiu,FIU,,1,1990-1991,1990-1991,resolved,Clear/user-confirmed alias,,
northwestern,Florida Southern,florida-southern,Florida Southern,,2,1982-1983,1986-1987,resolved,New historical/non-current identity using source label,,
northwestern,Florida State,florida-state,Florida State,Yes,5,1972-1973,2008-2009,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Fordham,fordham,Fordham,Yes,2,2001-2002,2002-2003,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Fresno State s,fresno-state,Fresno State,Yes,1,2018-2019,2018-2019,resolved,Audit correction: stripped Northwestern media-guide event marker / normalized clear current-program alias.,,
northwestern,Furman,furman,Furman,Yes,2,1982-1983,1998-1999,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Gardner-Webb,gardner-webb,Gardner-Webb,Yes,1,2013-2014,2013-2014,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Garrett Bible Inst.,garrett-bible-inst,Garrett Bible Inst.,,1,1911-1912,1911-1912,resolved,New historical/non-current identity using source label,,
northwestern,George Mason,george-mason,George Mason,,1,1983-1984,1983-1984,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,George Washington,george-washington,George Washington,Yes,1,1969-1970,1969-1970,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Georgetown,georgetown,Georgetown,Yes,1,2022-2023,2022-2023,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Georgia F,georgia,Georgia,Yes,1,2021-2022,2021-2022,resolved,Audit correction: stripped Northwestern media-guide event marker / normalized clear current-program alias.,,
northwestern,Georgia Tech,georgia-tech,Georgia Tech,Yes,5,2010-2011,2018-2019,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Georgia Tech s,georgia-tech,Georgia Tech,Yes,1,2024-2025,2024-2025,resolved,Audit correction: stripped Northwestern media-guide event marker / normalized clear current-program alias.,,
northwestern,Gonzaga,gonzaga,Gonzaga,Yes,1,2016-2017,2016-2017,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Great Lakes,great-lakes-nts,Great Lakes NTS,No,11,1917-1918,1945-1946,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Hartford,hartford,Hartford,No,1,2019-2020,2019-2020,resolved,New historical/non-current identity using source label,,
northwestern,Haskell,haskell,Haskell,No,1,1906-1907,1906-1907,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Hawaii,hawai-i,Hawai'i,Yes,3,1967-1968,1996-1997,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,High Point,high-point,High Point,Yes,1,2021-2022,2021-2022,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Holy Cross,holy-cross,Holy Cross,Yes,2,1992-1993,1993-1994,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Houston Baptist,houston-christian,Houston Christian,Yes,2,2014-2015,2016-2017,resolved,Clear/user-confirmed alias,,
northwestern,Howard,howard,Howard,Yes,2,2007-2008,2025-2026,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Hull House,hull-house,Hull House,,1,1910-1911,1910-1911,resolved,New historical/non-current identity using source label,,
northwestern,IPFW,purdue-fort-wayne,Purdue Fort Wayne,Yes,1,2005-2006,2005-2006,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,IUPUI,iu-indy,IU Indy,Yes,3,2002-2003,2016-2017,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Idaho State,idaho-state,Idaho State,Yes,1,1991-1992,1991-1992,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Illinois,illinois,Illinois,Yes,191,1907-1908,2025-2026,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Illinois (B.S.),illinois,Illinois,Yes,1,1968-1969,1968-1969,resolved,Clear/user-confirmed alias,,
northwestern,Illinois Ath. Club,illinois-ath-club,Illinois Ath. Club,,1,1914-1915,1914-1915,resolved,New historical/non-current identity using source label,,
northwestern,Illinois Athletic Club,illinois-athletic-club,Illinois Athletic Club,,1,1914-1915,1914-1915,resolved,New historical/non-current identity using source label,,
northwestern,Illinois St.,illinois-state,Illinois State,Yes,1,2012-2013,2012-2013,resolved,Trailing guide marker F removed,,
northwestern,Illinois State,illinois-state,Illinois State,Yes,4,1993-1994,2013-2014,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Illinois Wesleyan,illinois-wesleyan,Illinois Wesleyan,No,9,1979-1980,1991-1992,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Illinois-Chicago,uic,UIC,Yes,6,1980-1981,2005-2006,resolved,Clear/user-confirmed alias,,
northwestern,Illinois-Springfield,illinois-springfield,Illinois-Springfield,,1,2021-2022,2021-2022,resolved,New historical/non-current identity using source label,,
northwestern,Indiana,indiana,Indiana,Yes,179,1907-1908,2025-2026,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Indiana (B.S.),indiana,Indiana,Yes,1,1968-1969,1968-1969,resolved,Clear/user-confirmed alias,,
northwestern,Iona,iona,Iona,Yes,1,2000-2001,2000-2001,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Iowa,iowa,Iowa,Yes,188,1904-1905,2025-2026,resolved,Inherited Missouri/Illinois/current-D1 registry,,
northwestern,Iowa Pre-Flight,iowa-pre-flight,Iowa Pre-Flight,No,1,1943-1944,1943-1944,resolved,Inherited Missouri/Illinois/current-D1 registry,,
