source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes
NWRAW-00001,northwestern,historical_media_guide,1904-1905,1905,1905-02-24,Chicago,Chicago,chicago,No,19,34,L,0,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,38,L	 19-34 at Chicago,resolved,
NWRAW-00002,northwestern,historical_media_guide,1904-1905,1905,1905-03-08,Beloit,Beloit,beloit,,38,31,W,0,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,38,W	 38-31 at Beloit,resolved,
NWRAW-00003,northwestern,historical_media_guide,1904-1905,1905,1905-03-11,Iowa,Iowa,iowa,Yes,24,23,W,0,Northwestern Home,SOURCE_PROGRAM_HOME,,Old Patton Gymnasium,Evanston,IL,,,REGULAR_SEASON,,38,W	 24-23 Iowa,resolved,
NWRAW-00004,northwestern,historical_media_guide,1904-1905,1905,1905-03-18,Chicago,Chicago,chicago,No,23,25,L,0,Northwestern Home,SOURCE_PROGRAM_HOME,,Old Patton Gymnasium,Evanston,IL,,,REGULAR_SEASON,,38,L	 23-25 Chicago,resolved,
NWRAW-00005,northwestern,historical_media_guide,1906-1907,1907,1907-01-11,Lake Forest,Lake Forest,lake-forest,,10,16,L,0,Northwestern Home,SOURCE_PROGRAM_HOME,,Old Patton Gymnasium,Evanston,IL,,,REGULAR_SEASON,,38,L	 10-16 Lake Forest,resolved,
NWRAW-00006,northwestern,historical_media_guide,1906-1907,1907,1907-01-18,Chicago,Chicago,chicago,No,5,26,L,0,Northwestern Home,SOURCE_PROGRAM_HOME,,Old Patton Gymnasium,Evanston,IL,,,REGULAR_SEASON,,38,L	 5-26 Chicago,resolved,
NWRAW-00007,northwestern,historical_media_guide,1906-1907,1907,1907-01-26,Naperville,Naperville,naperville,,9,21,L,0,Northwestern Home,SOURCE_PROGRAM_HOME,,Old Patton Gymnasium,Evanston,IL,,,REGULAR_SEASON,,38,L	 9-21 Naperville,resolved,
NWRAW-00008,northwestern,historical_media_guide,1906-1907,1907,1907-01-31,Evanston YMCA,Evanston YMCA,evanston-ymca,,16,14,W,0,Northwestern Home,SOURCE_PROGRAM_HOME,,Old Patton Gymnasium,Evanston,IL,,,REGULAR_SEASON,,38,W	 16-14 Evanston YMCA,resolved,
NWRAW-00009,northwestern,historical_media_guide,1906-1907,1907,1907-02-20,Chicago,Chicago,chicago,No,6,34,L,0,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,38,L	 6-34 at Chicago,resolved,
NWRAW-00010,northwestern,historical_media_guide,1906-1907,1907,1907-02-28,Haskell,Haskell,haskell,No,21,38,L,0,Northwestern Home,SOURCE_PROGRAM_HOME,,Old Patton Gymnasium,Evanston,IL,,,REGULAR_SEASON,,38,L	 21-38 Haskell,resolved,
