index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,ohio-state,Air Force,air-force,Air Force,,1,2015-2016,2015-2016,RESOLVED,Ohio State media guide / official schedule identity normalization,,
1,ohio-state,Akron,akron,Akron,,9,1905-1906,2021-2022,RESOLVED,Ohio State media guide / official schedule identity normalization,,
2,ohio-state,Alabama,alabama,Alabama,,7,1969-1970,2023-2024,RESOLVED,Ohio State media guide / official schedule identity normalization,,
3,ohio-state,Alabama A&M,alabama-a-and-m,Alabama A&M,,1,2022-2023,2022-2023,RESOLVED,Ohio State media guide / official schedule identity normalization,,
4,ohio-state,Alabama State,alabama-state,Alabama State,,1,1996-1997,1996-1997,RESOLVED,Ohio State media guide / official schedule identity normalization,,
5,ohio-state,Alabama-Birmingham,uab,UAB,,1,1998-1999,1998-1999,RESOLVED,Ohio State media guide / official schedule identity normalization,,
6,ohio-state,Albany,albany,Albany,,2,2001-2002,2012-2013,RESOLVED,Ohio State media guide / official schedule identity normalization,,
7,ohio-state,Alcorn State,alcorn-state,Alcorn State,,1,2009-2010,2009-2010,RESOLVED,Ohio State media guide / official schedule identity normalization,,
8,ohio-state,Alleghany,alleghany,Alleghany,,2,1909-1910,1910-1911,RESOLVED,Ohio State media guide / official schedule identity normalization,,
9,ohio-state,American,american,American,,5,1989-1990,2013-2014,RESOLVED,Ohio State media guide / official schedule identity normalization,,
10,ohio-state,Appalachian St.,app-state,Appalachian State,,1,1999-2000,1999-2000,RESOLVED,Ohio State media guide / official schedule identity normalization,,
11,ohio-state,Appalachian State,app-state,Appalachian State,,2,2017-2018,2025-2026,RESOLVED,Ohio State media guide / official schedule identity normalization,,
12,ohio-state,Arizona,arizona,Arizona,,3,1971-1972,2014-2015,RESOLVED,Ohio State media guide / official schedule identity normalization,,
13,ohio-state,Arizona State,arizona-state,Arizona State,,3,1979-1980,1982-1983,RESOLVED,Ohio State media guide / official schedule identity normalization,,
