index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,OSURAW-00001,ohio-state,2025-26_record_book_year_by_year,1898-1899,1899,1898-12-02,East High,East High,east-high,,25,4,W,0,,,H,SOURCE_PROGRAM_HOME,,Armory,Columbus,OH,,,REGULAR_SEASON,,PDF p. 134,12/2 W East High ............................... 25-4,resolved,Ohio State Archives chronology; applied only after source establishes HOME.,,,,
1,OSURAW-00002,ohio-state,2025-26_record_book_year_by_year,1898-1899,1899,1898-12-09,East High,East High,east-high,,16,0,W,0,,,H,SOURCE_PROGRAM_HOME,,Armory,Columbus,OH,,,REGULAR_SEASON,,PDF p. 134,12/9 W East High ................................16-0,resolved,Ohio State Archives chronology; applied only after source establishes HOME.,,,,
2,OSURAW-00003,ohio-state,2025-26_record_book_year_by_year,1898-1899,1899,1898-12-10,East High,East High,east-high,,34,8,W,0,,,H,SOURCE_PROGRAM_HOME,,Armory,Columbus,OH,,,REGULAR_SEASON,,PDF p. 134,12/10 W East High ............................... 34-8,resolved,Ohio State Archives chronology; applied only after source establishes HOME.,,,,
3,OSURAW-00004,ohio-state,2025-26_record_book_year_by_year,1898-1899,1899,1898-12-15,Piqua,Piqua,piqua,,7,9,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,12/15 L @Piqua ......................................7-9,resolved,,,,,
4,OSURAW-00005,ohio-state,2025-26_record_book_year_by_year,1898-1899,1899,1898-12-29,Urbana,Urbana,urbana,,8,12,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,12/29 L @Urbana .................................8-12,resolved,,,,,
5,OSURAW-00006,ohio-state,2025-26_record_book_year_by_year,1898-1899,1899,1899-01-07,Otterbein,Otterbein,otterbein,,25,2,W,0,,,H,SOURCE_PROGRAM_HOME,,Armory,Columbus,OH,,,REGULAR_SEASON,,PDF p. 134,1/7 W Otterbein ...............................25-2,resolved,Ohio State Archives chronology; applied only after source establishes HOME.,,,,
6,OSURAW-00007,ohio-state,2025-26_record_book_year_by_year,1898-1899,1899,1899-01-14,Kenyon,Kenyon,kenyon,,18,2,W,0,,,H,SOURCE_PROGRAM_HOME,,Armory,Columbus,OH,,,REGULAR_SEASON,,PDF p. 134,1/14 W Kenyon ....................................18-2,resolved,Ohio State Archives chronology; applied only after source establishes HOME.,,,,
7,OSURAW-00008,ohio-state,2025-26_record_book_year_by_year,1898-1899,1899,1899-01-21,Urbana,Urbana,urbana,,6,10,L,0,,,H,SOURCE_PROGRAM_HOME,,Armory,Columbus,OH,,,REGULAR_SEASON,,PDF p. 134,1/21 L Urbana ....................................6-10,resolved,Ohio State Archives chronology; applied only after source establishes HOME.,,,,
8,OSURAW-00009,ohio-state,2025-26_record_book_year_by_year,1898-1899,1899,1899-01-28,Kenton,Kenton,kenton,,17,8,W,0,,,H,SOURCE_PROGRAM_HOME,,Armory,Columbus,OH,,,REGULAR_SEASON,,PDF p. 134,1/28 W Kenton .................................... 17-8,resolved,Ohio State Archives chronology; applied only after source establishes HOME.,,,,
9,OSURAW-00010,ohio-state,2025-26_record_book_year_by_year,1898-1899,1899,1899-02-04,Springfield YMCA,Springfield YMCA,springfield-ymca,,16,4,W,0,,,H,SOURCE_PROGRAM_HOME,,Armory,Columbus,OH,,,REGULAR_SEASON,,PDF p. 134,2/4 W Springfield YMCA ...................16-4,resolved,Ohio State Archives chronology; applied only after source establishes HOME.,,,,
