index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,ohio-state,alamodome,VEN-000002,Alamodome,,San Antonio,TX,dome,,,unknown,2,2007-03-22,2007-03-24,,,,,,Ohio State record book / dedicated postseason or official schedule evidence; established project physical venue registry.,Integration rebase resolved final global venue ID VEN-000002.
1,ohio-state,ohio-state-armory,VEN-000284,Armory,,Columbus,OH,armory,,,unknown,160,1898-12-02,1918-03-05,primary_home,1898-1899,1918-1919,SEASON,SOURCE_PROGRAM_HOME,Ohio State University Archives: Armory used for men's basketball from 1898 until 1919.,PROVISIONAL global numeric ID. Integration rebase resolved final global venue ID VEN-000284.
2,ohio-state,bok-center,VEN-000024,BOK Center,,Tulsa,OK,arena,,,unknown,2,2019-03-22,2019-03-24,,,,,,Ohio State record book / dedicated postseason or official schedule evidence; established project physical venue registry.,Integration rebase resolved final global venue ID VEN-000024.
3,ohio-state,bon-secours-wellness-arena,VEN-000025,Bon Secours Wellness Arena,,Greenville,SC,arena,,,unknown,1,2026-03-19,2026-03-19,,,,,,Ohio State record book / dedicated postseason or official schedule evidence; established project physical venue registry.,Integration rebase resolved final global venue ID VEN-000025.
4,ohio-state,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,unknown,2,2010-03-19,2010-03-21,,,,,,Ohio State record book / dedicated postseason or official schedule evidence; established project physical venue registry.,Integration rebase resolved final global venue ID VEN-000026.
5,ohio-state,bridgestone-arena,VEN-000031,Bridgestone Arena,Gaylord Entertainment Center,Nashville,TN,arena,,,unknown,2,2000-03-17,2000-03-19,,,,,,Ohio State record book / dedicated postseason or official schedule evidence; established project physical venue registry.,Integration rebase resolved final global venue ID VEN-000031.
6,ohio-state,caesars-superdome,VEN-000034,Caesars Superdome,Louisiana Superdome,New Orleans,LA,dome,,,unknown,1,2012-03-31,2012-03-31,,,,,,Ohio State record book / dedicated postseason or official schedule evidence; established project physical venue registry.,Integration rebase resolved final global venue ID VEN-000034.
7,ohio-state,capital-one-arena,VEN-000036,Capital One Arena,Verizon Center,Washington,DC,arena,,,unknown,1,2017-03-08,2017-03-08,,,,,,Ohio State record book / dedicated postseason or official schedule evidence; established project physical venue registry.,Integration rebase resolved final global venue ID VEN-000036.
8,ohio-state,charlotte-coliseum-1955,VEN-000040,Charlotte Coliseum,,Charlotte,NC,arena,,,unknown,1,1982-03-11,1982-03-11,,,,,,Ohio State record book / dedicated postseason or official schedule evidence; established project physical venue registry.,Integration rebase resolved final global venue ID VEN-000040.
9,ohio-state,cincinnati-gardens,VEN-000285,Cincinnati Gardens,,Cincinnati,OH,arena,,,unknown,3,1984-03-15,1992-03-21,,,,,,Ohio State record book / dedicated postseason or official schedule evidence; established project physical venue registry.,PROVISIONAL global numeric ID; current-main rebase required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000285.
