index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,oklahoma-state,A&M-Corpus Christi,texas-a-m-corpus-christi,TAMUCC,Yes,13,1972-1973,2025-2026,RESOLVED,Institutional lineage to current D1,,Official Oklahoma State opponent history treats the 1972-73 game and modern TAMUCC games as one series; current program registry | 1972-73 source row predates current D1 era; identity lineage does not alter scope rules.
1,oklahoma-state,Abilene Christian,abilene-christian,Abilene Christian,Yes,5,1961-1962,2023-2024,RESOLVED,Current-D1 registry exact/normalized match,,research_base_sha current program registry; Oklahoma State series heading/raw label
2,oklahoma-state,Air Force,air-force,Air Force,Yes,2,1959-1960,1960-1961,RESOLVED,Current-D1 registry exact/normalized match,,research_base_sha current program registry; Oklahoma State series heading/raw label
3,oklahoma-state,Akron,akron,Akron,Yes,1,2012-2013,2012-2013,RESOLVED,Current-D1 registry exact/normalized match,,research_base_sha current program registry; Oklahoma State series heading/raw label
4,oklahoma-state,Alabama,alabama,Alabama,Yes,7,1948-1949,2011-2012,RESOLVED,Current-D1 registry exact/normalized match,,research_base_sha current program registry; Oklahoma State series heading/raw label
5,oklahoma-state,Alas. Anchorage,alaska-anchorage,Alaska Anchorage,No,2,1994-1995,2002-2003,RESOLVED,Historical/non-current identity research,,OSU series heading normalizes abbreviation; historical/non-current program
6,oklahoma-state,Alcorn,alcorn-state,Alcorn State,Yes,3,1980-1981,1999-2000,RESOLVED,Current-D1 alias normalization,,research_base_sha current program registry; Oklahoma State series heading/raw label
7,oklahoma-state,Angelo St.,angelo-state,Angelo State,No,1,1985-1986,1985-1986,RESOLVED,Historical/non-current identity research,,OSU series heading/official season schedule
8,oklahoma-state,App State,app-state,Appalachian State,Yes,2,1994-1995,1999-2000,RESOLVED,Current-D1 registry exact/normalized match,,research_base_sha current program registry; Oklahoma State series heading/raw label
9,oklahoma-state,Arizona,arizona,Arizona,Yes,5,1993-1994,2025-2026,RESOLVED,Current-D1 registry exact/normalized match,,research_base_sha current program registry; Oklahoma State series heading/raw label
10,oklahoma-state,Arizona St.,arizona-state,Arizona State,Yes,9,1965-1966,2024-2025,RESOLVED,Current-D1 registry exact/normalized match,,research_base_sha current program registry; Oklahoma State series heading/raw label
11,oklahoma-state,Arizona State,arizona-state,Arizona State,Yes,1,2025-2026,2025-2026,RESOLVED,Current-D1 registry exact/normalized match,,research_base_sha current program registry; Oklahoma State series heading/raw label
12,oklahoma-state,Ark.-Monticello,arkansas-monticello,Arkansas-Monticello,No,1,1981-1982,1981-1982,RESOLVED,Historical/non-current identity research,,OSU series heading normalizes abbreviation
13,oklahoma-state,Ark.-Pine Bluff,arkansas-pine-bluff,UAPB,Yes,5,2009-2010,2016-2017,RESOLVED,Current-D1 alias normalization,,research_base_sha current program registry; Oklahoma State series heading/raw label
