index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,OKSTRAW-00001,oklahoma-state,2025-26_media_guide_game_by_game,1907-1908,1908,1907-12-06,Oklahoma City,Oklahoma City,oklahoma-city,No,17,5,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,Dec. 6 at Oklahoma City W 17-5,resolved,,,,,,,
1,OKSTRAW-00002,oklahoma-state,2025-26_media_guide_game_by_game,1907-1908,1908,1907-12-07,Oklahoma,Oklahoma,oklahoma,Yes,19,37,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,Dec. 7 at Oklahoma L 19-37,resolved,,,,,,,
2,OKSTRAW-00003,oklahoma-state,2025-26_media_guide_game_by_game,1907-1908,1908,,Tulsa,Tulsa,tulsa,Yes,24,31,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,? at Tulsa L 24-31,resolved,,,,,,,
3,OKSTRAW-00004,oklahoma-state,2025-26_media_guide_game_by_game,1907-1908,1908,,Tulsa,Tulsa,tulsa,Yes,37,22,W,0,,,,SOURCE_PROGRAM_HOME,,Oklahoma A&M Original Armory,Stillwater,OK,,,REGULAR_SEASON,,PDF p. 151,? Tulsa W 37-22,resolved,,,,,,,
4,OKSTRAW-00005,oklahoma-state,2025-26_media_guide_game_by_game,1907-1908,1908,1908-03-28,Oklahoma,Oklahoma,oklahoma,Yes,9,41,L,0,,,,SOURCE_PROGRAM_HOME,,Oklahoma A&M Original Armory,Stillwater,OK,,,REGULAR_SEASON,,PDF p. 151,Mar. 28 Oklahoma L 9-41,resolved,,,,,,,
5,OKSTRAW-00006,oklahoma-state,2025-26_media_guide_game_by_game,1908-1909,1909,1909-01-25,Emporia St.,Emporia State,emporia-state,No,13,50,L,0,,,,SOURCE_PROGRAM_HOME,,Oklahoma A&M Original Armory,Stillwater,OK,,,REGULAR_SEASON,,PDF p. 151,Jan. 25 Emporia St. L 13-50,resolved,,,,,,,
6,OKSTRAW-00007,oklahoma-state,2025-26_media_guide_game_by_game,1908-1909,1909,1909-02-20,Tulsa,Tulsa,tulsa,Yes,19,25,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,Feb. 20 at Tulsa L 19-25,resolved,,,,,,,
7,OKSTRAW-00008,oklahoma-state,2025-26_media_guide_game_by_game,1908-1909,1909,1909-03-05,Tulsa,Tulsa,tulsa,Yes,32,22,W,0,,,,SOURCE_PROGRAM_HOME,,Oklahoma A&M Original Armory,Stillwater,OK,,,REGULAR_SEASON,,PDF p. 151,Mar. 5 Tulsa W 32-22,resolved,,,,,,,
8,OKSTRAW-00009,oklahoma-state,2025-26_media_guide_game_by_game,1909-1910,1910,1910-01-14,Central Okla.,Central Oklahoma,central-oklahoma,No,55,6,W,0,,,,SOURCE_PROGRAM_HOME,,Oklahoma A&M Original Armory,Stillwater,OK,,,REGULAR_SEASON,,PDF p. 151,Jan. 14 Central Okla. W 55-6,resolved,,,,,,,
9,OKSTRAW-00010,oklahoma-state,2025-26_media_guide_game_by_game,1909-1910,1910,1910-01-22,Shawnee Athletic Club,Shawnee Athletic Club,shawnee-athletic-club,No,37,25,W,0,,,,SOURCE_PROGRAM_HOME,,Oklahoma A&M Original Armory,Stillwater,OK,,,REGULAR_SEASON,,PDF p. 151,Jan. 22 Shawnee Athletic Club W 37-25,resolved,,,,,,,
10,OKSTRAW-00011,oklahoma-state,2025-26_media_guide_game_by_game,1909-1910,1910,1910-02-02,Oklahoma,Oklahoma,oklahoma,Yes,15,46,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,Feb. 2 at Oklahoma L 15-46,resolved,,,,,,,
11,OKSTRAW-00012,oklahoma-state,2025-26_media_guide_game_by_game,1909-1910,1910,1910-01-29,Shawnee Athletic Club,Shawnee Athletic Club,shawnee-athletic-club,No,37,24,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,Jan. 29 at Shawnee Athletic Club W 37-24,resolved,,,,,,,
12,OKSTRAW-00013,oklahoma-state,2025-26_media_guide_game_by_game,1909-1910,1910,1910-02-10,Chilocco,Chilocco,chilocco,No,19,25,L,0,,,,SOURCE_PROGRAM_HOME,,Oklahoma A&M Original Armory,Stillwater,OK,,,REGULAR_SEASON,,PDF p. 151,Feb. 10 Chilocco L 19-25,resolved,,,,,,,
13,OKSTRAW-00014,oklahoma-state,2025-26_media_guide_game_by_game,1909-1910,1910,1910-02-19,Oklahoma,Oklahoma,oklahoma,Yes,24,41,L,0,,,,SOURCE_PROGRAM_HOME,,Oklahoma A&M Original Armory,Stillwater,OK,,,REGULAR_SEASON,,PDF p. 151,Feb. 19 Oklahoma L 24-41,resolved,,,,,,,
14,OKSTRAW-00015,oklahoma-state,2025-26_media_guide_game_by_game,1911-1912,1912,1912-01-13,Chilocco,Chilocco,chilocco,No,15,24,L,0,,,,SOURCE_PROGRAM_HOME,,Oklahoma A&M Original Armory,Stillwater,OK,,,REGULAR_SEASON,,PDF p. 151,Jan. 13 Chilocco L 15-24,resolved,,,,,,,
15,OKSTRAW-00016,oklahoma-state,2025-26_media_guide_game_by_game,1911-1912,1912,1912-01-19,Oklahoma,Oklahoma,oklahoma,Yes,17,59,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,Jan. 19 at Oklahoma L 17-59,resolved,,,,,,,
16,OKSTRAW-00017,oklahoma-state,2025-26_media_guide_game_by_game,1911-1912,1912,1912-01-20,Okla. Baptist,Oklahoma Baptist,oklahoma-baptist,No,30,19,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,Jan. 20 at Okla. Baptist W 30-19,resolved,,,,,,,
17,OKSTRAW-00018,oklahoma-state,2025-26_media_guide_game_by_game,1911-1912,1912,1912-02-01,Blackwell Baptist,Oklahoma Baptist College (Blackwell),oklahoma-baptist-college-blackwell,No,31,19,W,0,,,,SOURCE_PROGRAM_HOME,,Oklahoma A&M Original Armory,Stillwater,OK,,,REGULAR_SEASON,,PDF p. 151,Feb. 1 Blackwell Baptist W 31-19,resolved,,,,,,,
18,OKSTRAW-00019,oklahoma-state,2025-26_media_guide_game_by_game,1911-1912,1912,1912-02-09,Blackwell Baptist,Oklahoma Baptist College (Blackwell),oklahoma-baptist-college-blackwell,No,15,30,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,Feb. 9 at Blackwell Baptist L 15-30,resolved,,,,,,,
19,OKSTRAW-00020,oklahoma-state,2025-26_media_guide_game_by_game,1911-1912,1912,1912-02-10,Tonkawa,Northern Oklahoma College,northern-oklahoma-college,No,11,17,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,Feb. 10 at Tonkawa L 11-17,resolved,,,,,,,
20,OKSTRAW-00021,oklahoma-state,2025-26_media_guide_game_by_game,1911-1912,1912,1912-02-17,Chilocco,Chilocco,chilocco,No,16,36,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,Feb. 17 at Chilocco L 16-36,resolved,,,,,,,
21,OKSTRAW-00022,oklahoma-state,2025-26_media_guide_game_by_game,1911-1912,1912,1912-02-27,Oklahoma,Oklahoma,oklahoma,Yes,24,30,L,0,,,,SOURCE_PROGRAM_HOME,,Oklahoma A&M Original Armory,Stillwater,OK,,,REGULAR_SEASON,,PDF p. 151,Feb. 27 Oklahoma L 24-30,resolved,,,,,,,
22,OKSTRAW-00023,oklahoma-state,2025-26_media_guide_game_by_game,1912-1913,1913,1913-01-15,Chilocco,Chilocco,chilocco,No,22,26,L,0,,,,SOURCE_PROGRAM_HOME,,Oklahoma A&M Original Armory,Stillwater,OK,,,REGULAR_SEASON,,PDF p. 151,Jan. 15 Chilocco L 22-26,resolved,,,,,,,
23,OKSTRAW-00024,oklahoma-state,2025-26_media_guide_game_by_game,1912-1913,1913,1913-01-30,Central Okla.,Central Oklahoma,central-oklahoma,No,35,12,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,Jan. 30 at Central Okla. W 35-12,resolved,,,,,,,
24,OKSTRAW-00025,oklahoma-state,2025-26_media_guide_game_by_game,1912-1913,1913,1913-01-31,Oklahoma,Oklahoma,oklahoma,Yes,16,46,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 151,Jan. 31 at Oklahoma L 16-46,resolved,,,,,,,
