index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,oklahoma,Abilene Christian,abilene-christian,Abilene Christian,Yes,3,1969-1970,2016-2017,RESOLVED,Current D1 registry / established institutional lineage,,
1,oklahoma,Ada Teachers,east-central,East Central,No,1,1932-1933,1932-1933,RESOLVED,Historical source identity / institutional alias research,,
2,oklahoma,Air Force,air-force,Air Force,Yes,1,1958-1959,1958-1959,RESOLVED,Current D1 registry / established institutional lineage,,
3,oklahoma,Alabama,alabama,Alabama,Yes,12,1970-1971,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
4,oklahoma,Alabama State,alabama-state,Alabama State,No,1,1994-1995,1994-1995,RESOLVED,Historical source identity / institutional alias research,,
5,oklahoma,Alaska-Anchorage,alaska-anchorage,Alaska-Anchorage,No,2,1989-1990,1992-1993,RESOLVED,Historical source identity / institutional alias research,,
6,oklahoma,Albany,ualbany,UAlbany,Yes,1,2014-2015,2014-2015,RESOLVED,Historical source identity / institutional alias research,,
7,oklahoma,Alcorn State,alcorn-state,Alcorn State,Yes,5,2000-2001,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
8,oklahoma,Alva Teachers,northwestern-oklahoma-state,Northwestern Oklahoma State,No,2,1915-1916,1915-1916,RESOLVED,Historical source identity / institutional alias research,,
9,oklahoma,American,american-university,American University,Yes,1,2008-2009,2008-2009,RESOLVED,Current D1 registry / established institutional lineage,,
10,oklahoma,American-P.R,american-puerto-rico,American-Puerto Rico,No,1,1998-1999,1998-1999,RESOLVED,Historical source identity / institutional alias research,,
11,oklahoma,Angelo State,angelo-state,Angelo State,No,2,1989-1990,1990-1991,RESOLVED,Historical source identity / institutional alias research,,
12,oklahoma,Arizona,arizona,Arizona,Yes,8,1987-1988,2024-2025,RESOLVED,Current D1 registry / established institutional lineage,,
13,oklahoma,Arizona State,arizona-state,Arizona State,Yes,3,1963-1964,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
14,oklahoma,Ark.-Little Rock,little-rock,Little Rock,Yes,1,1983-1984,1983-1984,RESOLVED,Current D1 registry / established institutional lineage,,
15,oklahoma,Arkansas,arkansas,Arkansas,Yes,34,1938-1939,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
16,oklahoma,Arkansas - Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,1,2022-2023,2022-2023,RESOLVED,Current D1 registry / established institutional lineage,,
17,oklahoma,Arkansas State,arkansas-state,Arkansas State,Yes,5,1970-1971,1999-2000,RESOLVED,Current D1 registry / established institutional lineage,,
18,oklahoma,Arkansas-Little Rock,little-rock,Little Rock,Yes,4,1984-1985,1999-2000,RESOLVED,Current D1 registry / established institutional lineage,,
19,oklahoma,Arkansas-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,3,1997-1998,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
20,oklahoma,Army,army,Army,Yes,1,1980-1981,1980-1981,RESOLVED,Current D1 registry / established institutional lineage,,
21,oklahoma,Auburn,auburn,Auburn,Yes,6,1978-1979,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
22,oklahoma,Auburn-Montgomery,auburn-montgomery,Auburn-Montgomery,No,1,1982-1983,1982-1983,RESOLVED,Historical source identity / institutional alias research,,
23,oklahoma,Austin Peay,austin-peay,Austin Peay,Yes,2,1985-1986,1987-1988,RESOLVED,Current D1 registry / established institutional lineage,,
24,oklahoma,Ball State,ball-state,Ball State,Yes,1,2017-2018,2017-2018,RESOLVED,Current D1 registry / established institutional lineage,,
25,oklahoma,Baptist College,charleston-southern,Charleston Southern,Yes,1,1982-1983,1982-1983,RESOLVED,Current D1 registry / established institutional lineage,,
26,oklahoma,Baylor,baylor,Baylor,Yes,72,1916-1917,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
27,oklahoma,Belmont,belmont,Belmont,Yes,1,2005-2006,2005-2006,RESOLVED,Current D1 registry / established institutional lineage,,
28,oklahoma,Bethany,bethany,Bethany,No,4,1912-1913,1914-1915,RESOLVED,Historical source identity / institutional alias research,,
29,oklahoma,Bethany College,bethany-college,Bethany College,No,2,1929-1930,1930-1931,RESOLVED,Historical source identity / institutional alias research,,
30,oklahoma,Bethune-Cookman,bethune-cookman,Bethune-Cookman,Yes,1,2001-2002,2001-2002,RESOLVED,Current D1 registry / established institutional lineage,,
31,oklahoma,Binghamton,binghamton,Binghamton,Yes,1,2005-2006,2005-2006,RESOLVED,Current D1 registry / established institutional lineage,,
32,oklahoma,Blackwell Baptist,blackwell-baptist,Blackwell Baptist,No,6,1908-1909,1912-1913,RESOLVED,Historical source identity / institutional alias research,,
33,oklahoma,Boston,boston-university,Boston University,No,1,1994-1995,1994-1995,RESOLVED,Historical source identity / institutional alias research,,
34,oklahoma,Bradley,bradley,Bradley,Yes,11,1940-1941,1981-1982,RESOLVED,Current D1 registry / established institutional lineage,,
35,oklahoma,Bradley Tech,bradley-tech,Bradley Tech,No,1,1945-1946,1945-1946,RESOLVED,Historical source identity / institutional alias research,,
36,oklahoma,Butler,butler,Butler,Yes,6,1965-1966,2021-2022,RESOLVED,Current D1 registry / established institutional lineage,,
37,oklahoma,BYU,byu,BYU,Yes,5,1960-1961,2023-2024,RESOLVED,Current D1 registry / established institutional lineage,,
38,oklahoma,Cal State Northridge,cal-state-northridge,CSUN,No,1,2004-2005,2004-2005,RESOLVED,Historical source identity / institutional alias research,,
39,oklahoma,Cal. State-Bakersfield,cal-state-bakersfield,Cal State Bakersfield,Yes,1,1978-1979,1978-1979,RESOLVED,Current D1 registry / established institutional lineage,,
40,oklahoma,California,california,California,Yes,4,1965-1966,2002-2003,RESOLVED,Current D1 registry / established institutional lineage,,
41,oklahoma,Camp Grant,camp-grant,Camp Grant,No,1,1942-1943,1942-1943,RESOLVED,Historical source identity / institutional alias research,,
42,oklahoma,CCNY,ccny,CCNY,No,5,1945-1946,1950-1951,RESOLVED,Historical source identity / institutional alias research,,
43,oklahoma,Cent. Connecticut,central-connecticut,Central Connecticut,No,1,2001-2002,2001-2002,RESOLVED,Historical source identity / institutional alias research,,
44,oklahoma,Centenary,centenary,Centenary,No,5,1967-1968,2009-2010,RESOLVED,Historical source identity / institutional alias research,,Integration technical normalization: canonical display aligned to existing project-stable historical opponent key centenary; literal Oklahoma source label remains preserved in source-games.csv.
45,oklahoma,Central (Mo.) Teachers,central-missouri,Central Missouri,No,1,1915-1916,1915-1916,RESOLVED,Historical source identity / institutional alias research,,
46,oklahoma,Central Arkansas,central-arkansas,Central Arkansas,Yes,5,2010-2011,2024-2025,RESOLVED,Current D1 registry / established institutional lineage,,
47,oklahoma,Central Michigan,central-michigan,Central Michigan,Yes,2,2001-2002,2023-2024,RESOLVED,Current D1 registry / established institutional lineage,,
