index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,OKLRAW-00001,oklahoma,2024-25_media_guide_year_by_year,1907-1908,1908,,Epworth College,Epworth College,epworth-college,No,32,12,W,0,,,vs.,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 130,vs. Epworth College #...............W.......32-12,resolved,,,,,
1,OKLRAW-00002,oklahoma,2024-25_media_guide_year_by_year,1907-1908,1908,,Oklahoma A&M,Oklahoma State,oklahoma-state,Yes,37,19,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 130,at Oklahoma A&M....................W.......37-19,resolved,,,,,
2,OKLRAW-00003,oklahoma,2024-25_media_guide_year_by_year,1907-1908,1908,,Tonkawa Prep,Tonkawa Prep,tonkawa-prep,No,21,38,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 130,at Tonkawa Prep........................L........21-38,resolved,,,,,
3,OKLRAW-00004,oklahoma,2024-25_media_guide_year_by_year,1907-1908,1908,,Tonkawa Prep,Tonkawa Prep,tonkawa-prep,No,16,32,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 130,at Tonkawa Prep........................L........16-32,resolved,,,,,
4,OKLRAW-00005,oklahoma,2024-25_media_guide_year_by_year,1907-1908,1908,,Tonkawa Prep,Tonkawa Prep,tonkawa-prep,No,34,50,L,0,,,,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 130,Tonkawa Prep...........................L........34-50,resolved,,,,,
5,OKLRAW-00006,oklahoma,2024-25_media_guide_year_by_year,1907-1908,1908,,Tonkawa Prep,Tonkawa Prep,tonkawa-prep,No,37,21,W,0,,,,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 130,Tonkawa Prep..........................W.......37-21,resolved,,,,,
6,OKLRAW-00007,oklahoma,2024-25_media_guide_year_by_year,1907-1908,1908,,Oklahoma A&M,Oklahoma State,oklahoma-state,Yes,41,9,W,0,,,,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 130,Oklahoma A&M........................W.........41-9,resolved,,,,,
7,OKLRAW-00008,oklahoma,2024-25_media_guide_year_by_year,1908-1909,1909,,Edmond Teachers,Central Oklahoma,central-oklahoma,No,93,7,W,0,,,,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 130,Edmond Teachers.....................W.........93-7,resolved,,,,,
8,OKLRAW-00009,oklahoma,2024-25_media_guide_year_by_year,1908-1909,1909,,Emporia Normal,Emporia Normal,emporia-normal,No,33,37,L,0,,,,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 130,Emporia Normal........................L........33-37,resolved,,,,,
9,OKLRAW-00010,oklahoma,2024-25_media_guide_year_by_year,1908-1909,1909,,Chilocco,Chilocco,chilocco,No,20,27,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 130,at Chilocco................................L........20-27,resolved,,,,,
