index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,oklahoma,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,arena,,,,8,2002-03-15,2006-03-10,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000010.
1,oklahoma,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,,2,1999-03-12,1999-03-14,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000026.
2,oklahoma,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,arena,,,,5,2025-03-12,2026-03-13,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000031.
3,oklahoma,bud-walton-arena,VEN-000032,Bud Walton Arena,,Fayetteville,AR,arena,,,,1,2025-01-25,2025-01-25,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000032.
4,oklahoma,california-coliseum,VEN-000332,California Coliseum,,San Francisco,CA,arena,,,,2,1939-03-20,1939-03-21,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000332.
5,oklahoma,capital-one-arena,VEN-000036,Capital One Arena,MCI Center,Washington,DC,arena,,,,1,1998-03-12,1998-03-12,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000036.
6,oklahoma,coleman-coliseum,VEN-000048,Coleman Coliseum,,Tuscaloosa,AL,arena,,,,1,2025-01-04,2025-01-04,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000048.
7,oklahoma,colonial-life-arena,VEN-000049,Colonial Life Arena,,Columbia,SC,arena,,,,3,2019-03-22,2026-01-20,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000049.
8,oklahoma,credit-union-1-arena,VEN-000339,Credit Union 1 Arena,,Chicago,IL,arena,,,,1,2025-11-28,2025-11-28,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000339.
9,oklahoma,desert-financial-arena,VEN-000056,Desert Financial Arena,ASU Activity Center,Tempe,AZ,arena,,,,1,1992-03-20,1992-03-20,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000056.
10,oklahoma,enterprise-center,VEN-000060,Enterprise Center,Kiel Center,St. Louis,MO,arena,,,,1,1999-03-19,1999-03-19,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000060.
11,oklahoma,fedexforum,VEN-000062,FedExForum,,Memphis,TN,arena,,,,2,2009-03-27,2009-03-29,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000062.
12,oklahoma,frank-erwin-center,VEN-000068,Frank Erwin Center,,Austin,TX,arena,,,,3,1990-03-15,2016-02-27,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000068.
13,oklahoma,georgia-dome,VEN-000073,Georgia Dome,,Atlanta,GA,arena,,,,1,2002-03-30,2002-03-30,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000073.
14,oklahoma,greensboro-coliseum,VEN-000076,Greensboro Coliseum,,Greensboro,NC,arena,,,,2,1986-03-13,1986-03-15,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000076.
15,oklahoma,honda-center,VEN-000082,Honda Center,,Anaheim,CA,arena,,,,2,2016-03-24,2016-03-26,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000082.
16,oklahoma,humphrey-coliseum,VEN-000087,Humphrey Coliseum,,Starkville,MS,arena,,,,1,2026-01-07,2026-01-07,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000087.
17,oklahoma,imperial-arena,VEN-000088,Imperial Arena,,Nassau,BS,arena,,,,3,2024-11-27,2024-11-29,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000088.
18,oklahoma,jma-wireless-dome,VEN-000096,JMA Wireless Dome,Carrier Dome,Syracuse,NY,arena,,,,1,2015-03-27,2015-03-27,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000096.
19,oklahoma,jon-m-huntsman-center,VEN-000097,Jon M. Huntsman Center,Special Events Center,Salt Lake City,UT,arena,,,,1,1984-03-17,1984-03-17,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000097.
20,oklahoma,kemper-arena,VEN-000099,Kemper Arena,,Kansas City,MO,arena,,,,50,1977-03-03,2005-03-12,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000099.
21,oklahoma,kingdome,VEN-000105,Kingdome,,Seattle,WA,arena,,,,1,1987-03-20,1987-03-20,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000105.
22,oklahoma,ljvm-coliseum,VEN-000115,Lawrence Joel Veterans Memorial Coliseum,,Winston-Salem,NC,arena,,,,1,2025-12-02,2025-12-02,,,,,,Oklahoma media guide / official schedules / authorized conference-tournament site reference / NCAA tournament site research.,Research-time venue_id is provisional and must be rebased against current main during serialized Implementation. Integration rebase resolved final global venue ID VEN-000115.
