index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,ole-miss,%#24 Iowa State,iowa-state,Iowa State,Yes,1,2018-2019,2018-2019,RESOLVED,Current D1 registry / Ole Miss alias normalization,,Research-resolved during Ole Miss package construction.
1,ole-miss,% #5 Baylor,baylor,Baylor,Yes,1,2016-2017,2016-2017,RESOLVED,Current D1 registry / Ole Miss alias normalization,,Research-resolved during Ole Miss package construction.
2,ole-miss,Abilene Christian,abilene-christian,Abilene Christian,Yes,1,1993-1994,1993-1994,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/arkansas/opponents.csv; schools/kansas/opponents.csv; schools/kentucky/opponents.csv
3,ole-miss,Air Force,air-force,Air Force,Yes,1,2004-2005,2004-2005,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/florida/opponents.csv; schools/illinois/opponents.csv; schools/kansas/opponents.csv; schools/kentucky/opponents.csv; schools/minnesota/opponents.csv; schools/missouri/opponents.csv; schools/vanderbilt/opponents.csv
4,ole-miss,#11 Alabama,alabama,Alabama,Yes,2,1975-1976,1975-1976,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/florida/opponents.csv; schools/illinois/opponents.csv; schools/kentucky/opponents.csv; schools/minnesota/opponents.csv; schools/missouri/opponents.csv; schools/northwestern/opponents.csv; schools/tennessee/opponents.csv; schools/vanderbilt/opponents.csv
5,ole-miss,#12 Alabama,alabama,Alabama,Yes,2,1973-1974,1986-1987,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/florida/opponents.csv; schools/illinois/opponents.csv; schools/kentucky/opponents.csv; schools/minnesota/opponents.csv; schools/missouri/opponents.csv; schools/northwestern/opponents.csv; schools/tennessee/opponents.csv; schools/vanderbilt/opponents.csv
6,ole-miss,#13 Alabama,alabama,Alabama,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/florida/opponents.csv; schools/illinois/opponents.csv; schools/kentucky/opponents.csv; schools/minnesota/opponents.csv; schools/missouri/opponents.csv; schools/northwestern/opponents.csv; schools/tennessee/opponents.csv; schools/vanderbilt/opponents.csv
7,ole-miss,#15 Alabama,alabama,Alabama,Yes,4,1986-1987,2002-2003,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/florida/opponents.csv; schools/illinois/opponents.csv; schools/kentucky/opponents.csv; schools/minnesota/opponents.csv; schools/missouri/opponents.csv; schools/northwestern/opponents.csv; schools/tennessee/opponents.csv; schools/vanderbilt/opponents.csv
8,ole-miss,#16 Alabama,alabama,Alabama,Yes,2,1978-1979,1981-1982,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/florida/opponents.csv; schools/illinois/opponents.csv; schools/kentucky/opponents.csv; schools/minnesota/opponents.csv; schools/missouri/opponents.csv; schools/northwestern/opponents.csv; schools/tennessee/opponents.csv; schools/vanderbilt/opponents.csv
9,ole-miss,#17 Alabama,alabama,Alabama,Yes,2,1955-1956,2004-2005,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/florida/opponents.csv; schools/illinois/opponents.csv; schools/kentucky/opponents.csv; schools/minnesota/opponents.csv; schools/missouri/opponents.csv; schools/northwestern/opponents.csv; schools/tennessee/opponents.csv; schools/vanderbilt/opponents.csv
