index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,OMRAW-00001,ole-miss,2025-26_media_guide,1908-1909,1909,1909-01-28,Memphis Physicians,Memphis Physicians,memphis-physicians,No,11,12,L,0,,,H,SOURCE_PROGRAM_HOME,Outdoor court behind the Lyceum,,Oxford,MS,,,REGULAR_SEASON,,PDF p. 134,J-28 Memphis Physicians ...........H 11-12 L,resolved,,,,,
1,OMRAW-00002,ole-miss,2025-26_media_guide,1908-1909,1909,1909-02-05,Memphis Physicians,Memphis Physicians,memphis-physicians,No,15,26,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-5 Memphis Physicians ...........A 15-26 L,resolved,,,,,
2,OMRAW-00003,ole-miss,2025-26_media_guide,1908-1909,1909,1909-02-06,Memphis YMCA,Memphis Y.M.C.A,memphis-y-m-c-a,No,11,29,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-6 Memphis YMCA...................A 11-29 L,resolved,,,,,
3,OMRAW-00004,ole-miss,2025-26_media_guide,1908-1909,1909,1909-02-16,Miss. College,Mississippi College,mississippi-college,No,17,19,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-16 Miss. College ......................A 17-19 L,resolved,,,,,
4,OMRAW-00005,ole-miss,2025-26_media_guide,1908-1909,1909,1909-02-17,Miss. College,Mississippi College,mississippi-college,No,28,11,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-17 Miss. College ......................A 28-11 W,resolved,,,,,
5,OMRAW-00006,ole-miss,2025-26_media_guide,1909-1910,1910,1910-01-27,Jonesboro YMCA,Jonesboro YMCA,jonesboro-ymca,No,3,31,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-27 Jonesboro YMCA ................A 3-31 L,resolved,,,,,
6,OMRAW-00007,ole-miss,2025-26_media_guide,1909-1910,1910,1910-01-28,Memphis YMCA,Memphis Y.M.C.A,memphis-y-m-c-a,No,7,36,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-28 Memphis YMCA...................A 7-36 L,resolved,,,,,
7,OMRAW-00008,ole-miss,2025-26_media_guide,1909-1910,1910,1910-01-28,Univ. of Memphis,Memphis Physicians,memphis-physicians,No,11,23,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-28 Univ. of Memphis ...............A 11-23 L,resolved,,,,,
8,OMRAW-00009,ole-miss,2025-26_media_guide,1909-1910,1910,1910-02-04,LSU,LSU,lsu,Yes,14,39,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-4 LSU .....................................A 14-39 L,resolved,,,,,
9,OMRAW-00010,ole-miss,2025-26_media_guide,1909-1910,1910,1910-02-05,LSU,LSU,lsu,Yes,4,25,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-5 LSU .....................................A 4-25 L,resolved,,,,,
10,OMRAW-00011,ole-miss,2025-26_media_guide,1909-1910,1910,1910-02-07,Miss. College,Mississippi College,mississippi-college,No,10,16,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-7 Miss. College ......................A 10-16 L,resolved,,,,,
11,OMRAW-00012,ole-miss,2025-26_media_guide,1909-1910,1910,1910-02-08,Miss. College,Mississippi College,mississippi-college,No,15,16,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-8 Miss. College ......................A 15-16 L,resolved,,,,,
12,OMRAW-00013,ole-miss,2025-26_media_guide,1910-1911,1911,1911-02-03,Laurel YMCA,Laurel YMCA,laurel-ymca,No,27,26,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-3 Laurel YMCA .......................A 27-26 W,resolved,,,,,
13,OMRAW-00014,ole-miss,2025-26_media_guide,1910-1911,1911,1911-02-04,Laurel YMCA,Laurel YMCA,laurel-ymca,No,22,25,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-4 Laurel YMCA .......................A 22-25 L,resolved,,,,,
14,OMRAW-00015,ole-miss,2025-26_media_guide,1910-1911,1911,1911-02-06,Summerland,Summerland,summerland,No,20,10,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-6 Summerland .......................A 20-10 W,resolved,,,,,
15,OMRAW-00016,ole-miss,2025-26_media_guide,1910-1911,1911,1911-02-07,Summerland,Summerland,summerland,No,39,15,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-7 Summerland .......................A 39-15 W,resolved,,,,,
16,OMRAW-00017,ole-miss,2025-26_media_guide,1910-1911,1911,1911-02-08,Clark Memorial,Clarke Memorial,clarke-memorial,No,39,9,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-8 Clark Memorial ...................A 39-9 W,resolved,,,,,
17,OMRAW-00018,ole-miss,2025-26_media_guide,1910-1911,1911,1911-02-09,Clark Memorial,Clarke Memorial,clarke-memorial,No,53,7,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-9 Clark Memorial ...................A 53-7 W,resolved,,,,,
18,OMRAW-00019,ole-miss,2025-26_media_guide,1910-1911,1911,1911-02-10,Louisiana I.I,Louisiana Tech,louisiana-tech,Yes,19,25,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-10 Louisiana I.I .......................A 19-25 L,resolved,,,,,
19,OMRAW-00020,ole-miss,2025-26_media_guide,1910-1911,1911,1911-02-11,Louisiana I.I,Louisiana Tech,louisiana-tech,Yes,13,15,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-11 Louisiana I.I. ......................A 13-15 L,resolved,,,,,
20,OMRAW-00021,ole-miss,2025-26_media_guide,1910-1911,1911,1911-02-13,Miss. College,Mississippi College,mississippi-college,No,29,15,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-13 Miss. College ......................A 29-15 W,resolved,,,,,
21,OMRAW-00022,ole-miss,2025-26_media_guide,1910-1911,1911,1911-02-14,Miss. College,Mississippi College,mississippi-college,No,31,13,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-14 Miss. College ......................A 31-13 W,resolved,,,,,
22,OMRAW-00023,ole-miss,2025-26_media_guide,1910-1911,1911,1911-02-24,Union,Union College (Ky.),union-college-ky,No,37,25,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-24 Union ..................................A 37-25 W,resolved,,,,,
23,OMRAW-00024,ole-miss,2025-26_media_guide,1910-1911,1911,1911-02-25,Union,Union College (Ky.),union-college-ky,No,37,31,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-25 Union ..................................A 37-31 W,resolved,,,,,
24,OMRAW-00025,ole-miss,2025-26_media_guide,1911-1912,1912,1912-01-12,Millsaps,Millsaps,millsaps,No,30,0,W,0,,,A,OPPONENT_HOME,,,Jackson,MS,,,REGULAR_SEASON,,PDF p. 134,J-12 Millsaps ..............................A 30-0 W,resolved,"Jackson, MS established from Ole Miss opponent/location evidence; opponent-home status is preserved for a Jackson-based Mississippi opponent under owner convention (2026-08-20).",,,,
25,OMRAW-00026,ole-miss,2025-26_media_guide,1911-1912,1912,1912-01-13,Millsaps,Millsaps,millsaps,No,39,7,W,0,,,A,OPPONENT_HOME,,,Jackson,MS,,,REGULAR_SEASON,,PDF p. 134,J-13 Millsaps ..............................A 39-7 W,resolved,"Jackson, MS established from Ole Miss opponent/location evidence; opponent-home status is preserved for a Jackson-based Mississippi opponent under owner convention (2026-08-20).",,,,
26,OMRAW-00027,ole-miss,2025-26_media_guide,1911-1912,1912,1912-01-14,LSU,LSU,lsu,Yes,15,27,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-14 LSU .....................................A 15-27 L,resolved,,,,,
27,OMRAW-00028,ole-miss,2025-26_media_guide,1911-1912,1912,1912-01-15,LSU,LSU,lsu,Yes,11,33,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-15 LSU .....................................A 11-33 L,resolved,,,,,
28,OMRAW-00029,ole-miss,2025-26_media_guide,1911-1912,1912,1912-01-19,Miss. College,Mississippi College,mississippi-college,No,20,16,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-19 Miss. College ......................A 20-16 W,resolved,,,,,
29,OMRAW-00030,ole-miss,2025-26_media_guide,1911-1912,1912,1912-01-20,Miss. College,Mississippi College,mississippi-college,No,29,25,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-20 Miss. College ......................A 29-25 W,resolved,,,,,
30,OMRAW-00031,ole-miss,2025-26_media_guide,1911-1912,1912,1912-02-02,Union,Union College (Ky.),union-college-ky,No,45,7,W,0,,,H,SOURCE_PROGRAM_HOME,,,Oxford,MS,,,REGULAR_SEASON,,PDF p. 134,F-2 Union ..................................H 45-7 W,resolved,,,,,
31,OMRAW-00032,ole-miss,2025-26_media_guide,1911-1912,1912,1912-02-03,Union,Union College (Ky.),union-college-ky,No,30,27,W,0,,,H,SOURCE_PROGRAM_HOME,,,Oxford,MS,,,REGULAR_SEASON,,PDF p. 134,F-3 Union ..................................H 30-27 W,resolved,,,,,
32,OMRAW-00033,ole-miss,2025-26_media_guide,1911-1912,1912,1912-02-21,Southwestern PU,Rhodes,rhodes,No,43,13,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-21 Southwestern PU ...............A 43-13 W,resolved,,,,,
33,OMRAW-00034,ole-miss,2025-26_media_guide,1911-1912,1912,1912-02-22,Southwestern PU,Rhodes,rhodes,No,43,16,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-22 Southwestern PU ...............A 43-16 W,resolved,,,,,
34,OMRAW-00035,ole-miss,2025-26_media_guide,1911-1912,1912,1912-02-23,Union,Union College (Ky.),union-college-ky,No,57,20,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-23 Union ..................................A 57-20 W,resolved,,,,,
35,OMRAW-00036,ole-miss,2025-26_media_guide,1911-1912,1912,1912-02-24,Union,Union College (Ky.),union-college-ky,No,46,26,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-24 Union ..................................A 46-26 W,resolved,,,,,
36,OMRAW-00037,ole-miss,2025-26_media_guide,1912-1913,1913,1913-01-17,Memphis YMCA,Memphis Y.M.C.A,memphis-y-m-c-a,No,22,41,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-17 Memphis YMCA...................A 22-41 L,resolved,,,,,
37,OMRAW-00038,ole-miss,2025-26_media_guide,1912-1913,1913,1913-01-18,Jonesboro YMCA,Jonesboro YMCA,jonesboro-ymca,No,10,47,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-18 Jonesboro YMCA ................A 10-47 L,resolved,,,,,
38,OMRAW-00039,ole-miss,2025-26_media_guide,1912-1913,1913,1913-01-20,Tupelo YMCA,Tupelo YMCA,tupelo-ymca,No,15,27,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-20 Tupelo YMCA ......................A 15-27 L,resolved,,,,,
39,OMRAW-00040,ole-miss,2025-26_media_guide,1912-1913,1913,1913-01-21,Tupelo YMCA,Tupelo YMCA,tupelo-ymca,No,21,23,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-21 Tupelo YMCA ......................A 21-23 L,resolved,,,,,
40,OMRAW-00041,ole-miss,2025-26_media_guide,1912-1913,1913,1913-01-23,Jackson YMCA,Jackson YMCA,jackson-ymca,No,14,51,L,0,,,A,OPPONENT_HOME,,,Jackson,MS,,,REGULAR_SEASON,,PDF p. 134,J-23 Jackson YMCA ....................A 14-51 L,resolved,"Jackson, MS established from Ole Miss opponent/location evidence; opponent-home status is preserved for a Jackson-based Mississippi opponent under owner convention (2026-08-20).",,,,
41,OMRAW-00042,ole-miss,2025-26_media_guide,1912-1913,1913,1913-01-24,McTeire,McTeire,mcteire,No,10,28,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-24 McTeire ..............................A 10-28 L,resolved,,,,,
42,OMRAW-00043,ole-miss,2025-26_media_guide,1912-1913,1913,1913-01-25,Union,Union College (Ky.),union-college-ky,No,26,77,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,J-25 Union ..................................A 26-77 L,resolved,,,,,
43,OMRAW-00044,ole-miss,2025-26_media_guide,1913-1914,1914,1914-01-17,Millsaps,Millsaps,millsaps,No,29,13,W,0,,,H,SOURCE_PROGRAM_HOME,,,Oxford,MS,,,REGULAR_SEASON,,PDF p. 134,J-17 Millsaps ..............................H 29-13 W,resolved,,,,,
44,OMRAW-00045,ole-miss,2025-26_media_guide,1913-1914,1914,1914-01-23,Jonesboro YMCA,Jonesboro YMCA,jonesboro-ymca,No,28,13,W,0,,,H,SOURCE_PROGRAM_HOME,,,Oxford,MS,,,REGULAR_SEASON,,PDF p. 134,J-23 Jonesboro YMCA ................H 28-13 W,resolved,,,,,
45,OMRAW-00046,ole-miss,2025-26_media_guide,1913-1914,1914,1914-02-02,Union,Union College (Ky.),union-college-ky,No,39,24,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-2 Union ..................................A 39-24 W,resolved,,,,,
46,OMRAW-00047,ole-miss,2025-26_media_guide,1913-1914,1914,1914-02-06,Memphis YMCA,Memphis Y.M.C.A,memphis-y-m-c-a,No,13,32,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-6 Memphis YMCA...................A 13-32 L,resolved,,,,,
47,OMRAW-00048,ole-miss,2025-26_media_guide,1913-1914,1914,1914-02-09,Miss. College,Mississippi College,mississippi-college,No,23,19,W,0,,,H,SOURCE_PROGRAM_HOME,,,Oxford,MS,,,REGULAR_SEASON,,PDF p. 134,F-9 Miss. College ......................H 23-19 W,resolved,,,,,
48,OMRAW-00049,ole-miss,2025-26_media_guide,1913-1914,1914,1914-02-10,Millsaps,Millsaps,millsaps,No,24,18,W,0,,,A,OPPONENT_HOME,,,Jackson,MS,,,REGULAR_SEASON,,PDF p. 134,F-10 Millsaps ..............................A 24-18 W,resolved,"Jackson, MS established from Ole Miss opponent/location evidence; opponent-home status is preserved for a Jackson-based Mississippi opponent under owner convention (2026-08-20).",,,,
49,OMRAW-00050,ole-miss,2025-26_media_guide,1913-1914,1914,1914-02-11,Clark Memorial,Clarke Memorial,clarke-memorial,No,36,18,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-11 Clark Memorial ...................A 36-18 W,resolved,,,,,
50,OMRAW-00051,ole-miss,2025-26_media_guide,1913-1914,1914,1914-02-12,Meridian YMCA,Meridian YMCA,meridian-ymca,No,68,20,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-12 Meridian YMCA ...................A 68-20 W,resolved,,,,,
51,OMRAW-00052,ole-miss,2025-26_media_guide,1913-1914,1914,1914-02-13,Jones County,Jones County,jones-county,No,32,22,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-13 Jones County ......................A 32-22 W,resolved,,,,,
52,OMRAW-00053,ole-miss,2025-26_media_guide,1913-1914,1914,1914-02-14,Jones County,Jones County,jones-county,No,26,13,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-14 Jones County ......................A 26-13 W,resolved,,,,,
53,OMRAW-00054,ole-miss,2025-26_media_guide,1913-1914,1914,1914-02-17,Miss. College,Mississippi College,mississippi-college,No,19,22,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-17 Miss. College ......................A 19-22 L,resolved,,,,,
54,OMRAW-00055,ole-miss,2025-26_media_guide,1913-1914,1914,1914-02-25,Miss. State,Mississippi State,mississippi-state,Yes,15,68,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 134,F-25 Miss. State .........................A 15-68 L,resolved,,,,,
