index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,ole-miss,alamodome,VEN-000002,Alamodome,,San Antonio,TX,arena,,,unknown,1,2001-03-23,2001-03-23,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
1,ole-miss,alumni-memorial-auditorium-gymnasium,VEN-000007,Alumni Gym,Alumni Gymnasium;Alumni Memorial Auditorium-Gymnasium,Knoxville,TN,gymnasium,,,unknown,4,1937-02-26,1940-02-29,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
2,ole-miss,amalie-arena,VEN-000008,Benchmark International Arena,Amalie Arena,Tampa,FL,arena,,,unknown,2,2009-03-12,2022-03-09,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
3,ole-miss,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,unknown,2,1999-03-12,1999-03-14,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
4,ole-miss,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,arena,,,unknown,25,2001-03-09,2026-03-14,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
5,ole-miss,caesars-superdome,VEN-000034,Caesars Superdome,Louisiana Superdome,New Orleans,LA,arena,,,unknown,3,1996-03-07,2003-03-14,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
6,ole-miss,charles-koch-arena,VEN-000039,Charles Koch Arena,Levitt Arena,Wichita,KS,arena,,,unknown,1,1981-03-13,1981-03-13,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
7,ole-miss,colonial-life-arena,VEN-000049,Colonial Life Arena,,Columbia,SC,arena,,,unknown,1,2019-03-22,2019-03-22,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
8,ole-miss,enterprise-center,VEN-000060,Enterprise Center,,St. Louis,MO,arena,,,unknown,1,2018-03-07,2018-03-07,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
9,ole-miss,fiserv-forum,VEN-000063,Fiserv Forum,,Milwaukee,WI,arena,,,unknown,2,2025-03-21,2025-03-23,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
10,ole-miss,georgia-dome,VEN-000073,Georgia Dome,,Atlanta,GA,arena,,,unknown,17,1995-03-09,2014-03-14,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
11,ole-miss,greensboro-coliseum,VEN-000076,Greensboro Coliseum,First Horizon Coliseum,Greensboro,NC,arena,,,unknown,1,2025-12-21,2025-12-21,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
12,ole-miss,humphrey-coliseum,VEN-000087,Humphrey Coliseum,,Starkville,MS,arena,,,unknown,1,2026-01-17,2026-01-17,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
13,ole-miss,kemper-arena,VEN-000099,Kemper Arena,,Kansas City,MO,arena,,,unknown,3,1997-03-14,2001-03-18,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
14,ole-miss,legacy-arena,VEN-000109,Legacy Arena,,Birmingham,AL,arena,,,unknown,9,1979-02-28,1992-03-12,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
15,ole-miss,lloyd-noble-center,VEN-000116,Lloyd Noble Center,,Norman,OK,arena,,,unknown,1,2026-01-03,2026-01-03,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
16,ole-miss,madison-square-garden-1968,VEN-000124,Madison Square Garden,,New York,NY,arena,1968-02-11,,EXACT_START,3,2008-04-01,2025-12-06,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
17,ole-miss,memorial-gymnasium,VEN-000130,Memorial Gymnasium,,Nashville,TN,gymnasium,,,unknown,3,1984-03-07,2026-01-31,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
18,ole-miss,moody-center,VEN-000140,Moody Center,,Austin,TX,arena,,,unknown,1,2026-02-07,2026-02-07,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
19,ole-miss,myriad-convention-center,VEN-000146,Myriad Convention Center,The Myriad,Oklahoma City,OK,arena,,,unknown,1,1998-03-13,1998-03-13,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
20,ole-miss,neville-arena,VEN-000150,Neville Arena,Auburn Arena,Auburn,AL,arena,,,unknown,1,2026-02-28,2026-02-28,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
21,ole-miss,omni-coliseum,VEN-000157,Omni Coliseum,,Atlanta,GA,arena,,,unknown,1,1987-03-06,1987-03-06,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
22,ole-miss,orlando-arena,VEN-000158,Orlando Arena,,Orlando,FL,arena,,,unknown,3,1990-03-08,1990-03-10,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
23,ole-miss,pete-maravich-assembly-center,VEN-000163,Pete Maravich Assembly Center,,Baton Rouge,LA,arena,,,unknown,2,1988-03-10,1988-03-11,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
24,ole-miss,reed-arena,VEN-000171,Reed Arena,,College Station,TX,arena,,,unknown,1,2026-02-18,2026-02-18,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
25,ole-miss,rupp-arena,VEN-000181,Rupp Arena,,Lexington,KY,arena,,,unknown,7,1982-03-04,2026-01-24,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
26,ole-miss,sjb-pavilion,VEN-000187,SJB Pavilion,The Pavilion at Ole Miss;The Sandy and John Black Pavilion at Ole Miss,Oxford,MS,arena,2016-01-07,,exact,177,2016-01-07,2026-03-07,primary_home,2016-01-07,,exact,An Ole Miss game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-supplied Ole Miss venue chronology; Ole Miss 2025-26 media guide.,"Opened for Ole Miss men's basketball Jan. 7, 2016 against Alabama; ongoing primary home venue."
27,ole-miss,smoothie-king-center,VEN-000188,Smoothie King Center,,New Orleans,LA,arena,,,unknown,3,2012-03-08,2012-03-10,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
28,ole-miss,state-farm-arena,VEN-000195,State Farm Arena,,Atlanta,GA,arena,,,unknown,1,2025-03-28,2025-03-28,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
29,ole-miss,stegeman-coliseum,VEN-000198,Stegeman Coliseum,,Athens,GA,arena,,,unknown,1,2026-01-14,2026-01-14,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
30,ole-miss,t-mobile-center,VEN-000202,T-Mobile Center,Sprint Center,Kansas City,MO,arena,,,unknown,2,2013-03-22,2013-03-24,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
31,ole-miss,thompson-boling-arena,VEN-000211,Thompson-Boling Arena,Food City Arena;Food City Center;Thompson-Boling Arena at Food City Center,Knoxville,TN,arena,,,unknown,3,1989-03-09,2026-02-03,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
32,ole-miss,university-of-dayton-arena,VEN-000221,University of Dayton Arena,,Dayton,OH,arena,,,unknown,1,2015-03-17,2015-03-17,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
33,ole-miss,vystar-veterans-memorial-arena,VEN-000227,VyStar Veterans Memorial Arena,Jacksonville Veterans Memorial Arena,Jacksonville,FL,arena,,,unknown,1,2015-03-19,2015-03-19,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
34,ole-miss,ole-miss-original-gym,VEN-000239,Original Gym,,Oxford,MS,gymnasium,1914,,year,98,1916-01-14,1929-02-16,primary_home,1914-1915,1928-1929,season,An Ole Miss game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-supplied Ole Miss venue chronology; Ole Miss Athletics historical facilities research.,Indoor gym built in 1914. The package does not retroactively assign it to the earlier outdoor-court era.
35,ole-miss,tad-smith-coliseum,VEN-000240,Tad Smith Coliseum,,Oxford,MS,arena,1966-02-21,,exact,701,1966-02-21,2025-11-14,primary_home,1966-02-21,2015-12-22,exact,An Ole Miss game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-supplied Ole Miss venue chronology; Ole Miss Athletics arena history.,"Primary men's home from Feb. 21, 1966 through Dec. 22, 2015; later documented throwback home games remain assigned to the same physical venue."
36,ole-miss,mellon-arena,VEN-000241,Mellon Arena,Civic Arena,Pittsburgh,PA,arena,,,unknown,1,2002-03-15,2002-03-15,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
37,ole-miss,acrisure-arena,VEN-000242,Acrisure Arena,,Palm Desert,CA,arena,,,unknown,2,2025-11-25,2025-11-26,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
38,ole-miss,mississippi-coast-coliseum,VEN-000243,Mississippi Coast Coliseum,,Biloxi,MS,arena,,,unknown,1,2025-12-13,2025-12-13,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
39,ole-miss,cadence-bank-arena,VEN-000244,Cadence Bank Arena,,Tupelo,MS,arena,,,unknown,1,2025-12-17,2025-12-17,,,,,,Ole Miss official historical/postseason evidence and/or owner-supplied completed 2025-26 schedule.,Per-game external venue assignment; physical identity reuses the established global venue registry.
