index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,oregon-state,#Arizona State,arizona-state,Arizona State,Yes,1,2022-2023,2022-2023,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
1,oregon-state,#Pepperdine,pepperdine,Pepperdine,Yes,1,2024-2025,2024-2025,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
2,oregon-state,$Charleston,charleston,Charleston,Yes,1,2024-2025,2024-2025,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
3,oregon-state,$Duke(#8),duke,Duke,Yes,1,2022-2023,2022-2023,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
4,oregon-state,$Florida,florida,Florida,Yes,1,2022-2023,2022-2023,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
5,oregon-state,$Nebraska,nebraska,Nebraska,Yes,1,2024-2025,2024-2025,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
6,oregon-state,$Oakland,oakland,Oakland,Yes,1,2024-2025,2024-2025,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
7,oregon-state,$Portland State,portland-state,Portland State,Yes,1,2022-2023,2022-2023,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
8,oregon-state,$vs Nebraska,nebraska,Nebraska,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
9,oregon-state,%UCF,ucf,UCF,Yes,1,2024-2025,2024-2025,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
10,oregon-state,%vs UCLA,ucla,UCLA,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
11,oregon-state,) Houston (#6),houston,Houston,Yes,1,2020-2021,2020-2021,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
12,oregon-state,*Arizona (#5),arizona,Arizona,Yes,1,2022-2023,2022-2023,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
13,oregon-state,*ARIZONA (#9),arizona,Arizona,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
14,oregon-state,*ARIZONA ST.,arizona-state,Arizona State,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_REGISTRY_MATCH,,Historical/spelling/source alias resolved to current protected-main program identity. Source alias/historical name resolved to current-D1 registry identity.
15,oregon-state,*Arizona State,arizona-state,Arizona State,Yes,2,2022-2023,2022-2023,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
16,oregon-state,*Arizona(#9),arizona,Arizona,Yes,1,2022-2023,2022-2023,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
17,oregon-state,*at Arizona St.,arizona-state,Arizona State,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_REGISTRY_MATCH,,Historical/spelling/source alias resolved to current protected-main program identity. Source alias/historical name resolved to current-D1 registry identity.
18,oregon-state,*at California,california,California,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
19,oregon-state,*at Colorado,colorado,Colorado,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
20,oregon-state,*at Oregon,oregon,Oregon,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
21,oregon-state,*at Southern California,usc,USC,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_REGISTRY_MATCH,,Historical/spelling/source alias resolved to current protected-main program identity. Source alias/historical name resolved to current-D1 registry identity.
22,oregon-state,*at Stanford,stanford,Stanford,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Unique exact normalized match to current-D1 registry at research_base_sha.
