index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,OSU-S1-000001,oregon-state,oregon_state_media_guide_through_2024_25,1901-1902,1902,,Willamette,Willamette,willamette,No,11,63,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 79 (PDF page 80),Willamette A L 11-63,resolved,,,,,,,
1,OSU-S1-000002,oregon-state,oregon_state_media_guide_through_2024_25,1901-1902,1902,,Monmouth,Western Oregon,western-oregon,No,10,11,L,0,,,H,SOURCE_PROGRAM_HOME,,,Corvallis,OR,,,REGULAR_SEASON,,printed page 79 (PDF page 80),Monmouth H L 10-11,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Oregon State official media-guide year-by-year row explicitly supplies H/A/N; Stage 3A entry census carries classification only. Physical venue remains independently researched. | STAGE3A2_RESEARCHED_UNRESOLVED_HOME_VENUE: Mechanical closeout at owner direction. The PRE_MENS_GYM_HOME_VENUE_RESEARCH class is considered historically exhausted for Stage 3A-2. No accepted durable evidence directly identifies a specific physical home building for this row. HOME classification is preserved independently. Existing city/state fields are preserved exactly as held. No building, city, or state is inferred from geography, chronology, facility history, schedule order, likelihood, or ordinary home-venue pattern. Terminal disposition: RESEARCHED_UNRESOLVED_HOME_VENUE. | OWNER_DISPOSITION_STAGE3A2_HOME_GEOGRAPHY: Owner approved Corvallis, OR as the source-program HOME city/state for the 77-row pre-Men's-Gym residual whose HOME classification was already independently accepted. This disposition supplies geography only; it does not infer H/A/N or authorize a physical building. Physical venue remains blank where unsupported and RESEARCHED_UNRESOLVED_HOME_VENUE is retained.",,,,
2,OSU-S1-000003,oregon-state,oregon_state_media_guide_through_2024_25,1901-1902,1902,,Willamette,Willamette,willamette,No,14,10,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,printed page 79 (PDF page 80),Willamette W 14-10,resolved,,RESEARCHED_UNRESOLVED,Targeted exact-score/source searching did not establish a direct host/visitor/neutral relation for the accepted 14-10 row. A near-match historical score found during review conflicts by one point and is not promoted or used to reopen Stage 1; H/A/N remains unresolved.,,,,
3,OSU-S1-000004,oregon-state,oregon_state_media_guide_through_2024_25,1902-1903,1903,,Pacific,Pacific University (Oregon),pacific-university-oregon,No,25,5,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,printed page 79 (PDF page 80),Pacific W 25-5,resolved,,RESEARCHED_UNRESOLVED,"Pacific four-row Stage 3A-1 opponent class closed after the obvious reasonable evidence paths were exhausted. (1) Oregon State's official 2025-26 Men's Basketball Media Guide PACIFIC (ORE.) Series Results table (printed p. 117 / PDF p. 118) reproduces the exact result but leaves its H/A/N site field blank, even though that table supplies H/A/N markers when known for other Pacific games. (2) Pacific University's current official men's-basketball opponent-history surface was checked for Oregon State and contains no Oregon State historical series entry; Pacific's published men's-basketball records page likewise does not supply early game-by-game site reconstruction. (3) Limited targeted contemporary exact-score/team-name searches in Historic Oregon Newspapers did not locate a direct report establishing host/visitor/neutral for this exact game. Pacific University Archives confirms that historical institutional publications such as The Index and Heart of Oak are held in the archives, but the remaining possibility of deeper archival retrieval is not treated as a reason to keep these ancient rows active after the readily available institutional and targeted contemporary paths failed. No H/A/N is inferred from city, dateline, venue, schedule order, series pattern, or geography. H/A/N remains RESEARCHED_UNRESOLVED; no physical venue/city/state is assigned.",,,,
4,OSU-S1-000005,oregon-state,oregon_state_media_guide_through_2024_25,1902-1903,1903,,Willamette,Willamette,willamette,No,13,10,W,0,,,H,SOURCE_PROGRAM_HOME,,,Corvallis,OR,,,REGULAR_SEASON,,printed page 79 (PDF page 80),Willamette H W 13-10,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Oregon State official media-guide year-by-year row explicitly supplies H/A/N; Stage 3A entry census carries classification only. Physical venue remains independently researched. | STAGE3A2_RESEARCHED_UNRESOLVED_HOME_VENUE: Mechanical closeout at owner direction. The PRE_MENS_GYM_HOME_VENUE_RESEARCH class is considered historically exhausted for Stage 3A-2. No accepted durable evidence directly identifies a specific physical home building for this row. HOME classification is preserved independently. Existing city/state fields are preserved exactly as held. No building, city, or state is inferred from geography, chronology, facility history, schedule order, likelihood, or ordinary home-venue pattern. Terminal disposition: RESEARCHED_UNRESOLVED_HOME_VENUE. | OWNER_DISPOSITION_STAGE3A2_HOME_GEOGRAPHY: Owner approved Corvallis, OR as the source-program HOME city/state for the 77-row pre-Men's-Gym residual whose HOME classification was already independently accepted. This disposition supplies geography only; it does not infer H/A/N or authorize a physical building. Physical venue remains blank where unsupported and RESEARCHED_UNRESOLVED_HOME_VENUE is retained.",,,,
5,OSU-S1-000006,oregon-state,oregon_state_media_guide_through_2024_25,1902-1903,1903,,Dallas College,Dallas College,dallas-college,No,15,21,L,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,printed page 79 (PDF page 80),Dallas College L 15-21,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A-1 terminal mechanical convergence closeout from the accepted Resume 15 durable state. This row is one of the final 28 pre-war historical/non-D1 H/A/N residuals. In the accepted checkpoint, the source row contains no direct H/A/N marker (source_site_candidate is blank), and no accepted supplemental Stage 3A evidence-class artifact contains this exact research_game_id or the exact opponent/score pair. No already-held direct H/A/N evidence therefore remains to apply mechanically. Under the project's proportional convergence standard, the reasonable Stage 3A-1 research paths for this residual are treated as exhausted. No H/A/N is inferred from geography, city, venue, schedule order, or likelihood. H/A/N remains terminal RESEARCHED_UNRESOLVED; no physical venue, city, or state is assigned in Stage 3A-1.",,,,
6,OSU-S1-000007,oregon-state,oregon_state_media_guide_through_2024_25,1902-1903,1903,,McMinnville College,Linfield,linfield,No,30,4,W,0,,,H,SOURCE_PROGRAM_HOME,,,Corvallis,OR,,,REGULAR_SEASON,,printed page 79 (PDF page 80),McMinnville College H W 30-4,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Oregon State official media-guide year-by-year row explicitly supplies H/A/N; Stage 3A entry census carries classification only. Physical venue remains independently researched. | STAGE3A2_RESEARCHED_UNRESOLVED_HOME_VENUE: Mechanical closeout at owner direction. The PRE_MENS_GYM_HOME_VENUE_RESEARCH class is considered historically exhausted for Stage 3A-2. No accepted durable evidence directly identifies a specific physical home building for this row. HOME classification is preserved independently. Existing city/state fields are preserved exactly as held. No building, city, or state is inferred from geography, chronology, facility history, schedule order, likelihood, or ordinary home-venue pattern. Terminal disposition: RESEARCHED_UNRESOLVED_HOME_VENUE. | OWNER_DISPOSITION_STAGE3A2_HOME_GEOGRAPHY: Owner approved Corvallis, OR as the source-program HOME city/state for the 77-row pre-Men's-Gym residual whose HOME classification was already independently accepted. This disposition supplies geography only; it does not infer H/A/N or authorize a physical building. Physical venue remains blank where unsupported and RESEARCHED_UNRESOLVED_HOME_VENUE is retained.",,,,
7,OSU-S1-000008,oregon-state,oregon_state_media_guide_through_2024_25,1902-1903,1903,1903-01-24,Oregon,Oregon,oregon,Yes,32,2,W,0,,,H,SOURCE_PROGRAM_HOME,,,Corvallis,OR,,,REGULAR_SEASON,,printed page 79 (PDF page 80),1/24 Oregon H W 32-2,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Oregon State official media-guide year-by-year row explicitly supplies H/A/N; Stage 3A entry census carries classification only. Physical venue remains independently researched. | STAGE3A2_RESEARCHED_UNRESOLVED_HOME_VENUE: Mechanical closeout at owner direction. The PRE_MENS_GYM_HOME_VENUE_RESEARCH class is considered historically exhausted for Stage 3A-2. No accepted durable evidence directly identifies a specific physical home building for this row. HOME classification is preserved independently. Existing city/state fields are preserved exactly as held. No building, city, or state is inferred from geography, chronology, facility history, schedule order, likelihood, or ordinary home-venue pattern. Terminal disposition: RESEARCHED_UNRESOLVED_HOME_VENUE. | OWNER_DISPOSITION_STAGE3A2_HOME_GEOGRAPHY: Owner approved Corvallis, OR as the source-program HOME city/state for the 77-row pre-Men's-Gym residual whose HOME classification was already independently accepted. This disposition supplies geography only; it does not infer H/A/N or authorize a physical building. Physical venue remains blank where unsupported and RESEARCHED_UNRESOLVED_HOME_VENUE is retained.",,,,
8,OSU-S1-000009,oregon-state,oregon_state_media_guide_through_2024_25,1902-1903,1903,1903-03-13,Oregon,Oregon,oregon,Yes,24,22,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 79 (PDF page 80),3/13 Oregon A W 24-22,resolved,,,,,,,
9,OSU-S1-000010,oregon-state,oregon_state_media_guide_through_2024_25,1903-1904,1904,,Portland YMCA,Portland YMCA,portland-ymca,No,26,16,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,printed page 79 (PDF page 80),Portland YMCA W 26-16,resolved,,RESEARCHED_UNRESOLVED,"Historical YMCA six-row Stage 3A-1 evidence class closed after the obvious reasonable evidence paths were exhausted. (1) Oregon State's official 2025-26 Men's Basketball Media Guide year-by-year ledger (printed p. 79 / PDF p. 80) reproduces the exact result but leaves H/A/N blank, while nearby games on the same source surface carry explicit H/A/N markers when known. (2) Readily available reciprocal/historical YMCA material was checked at the class level: the Portland YMCA archival finding aid identifies general historical records and 1906-07 association newsletters but does not expose a basketball game-site ledger for these exact seasons; Salem YMCA historical material documents the association's early history/facilities but does not establish the site relation for these exact games. Facility geography is not used as H/A/N evidence. (3) Limited targeted exact-score/team-name searches in Historic Oregon Newspapers did not locate a direct contemporary report establishing host/visitor/neutral for the exact game. The remaining possibility of deeper archival retrieval is not treated as a reason to keep these ancient rows active after these readily available institutional and contemporary paths failed. No H/A/N is inferred from city, dateline, facility, schedule order, or geography. H/A/N remains RESEARCHED_UNRESOLVED; no physical venue/city/state is assigned.",,,,
