index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,oregon-state,afook-chinen-civic-auditorium,VEN-000465,Afook-Chinen Civic Auditorium,,Hilo,HI,,,,,5,1997-12-29,2000-11-26,GAME_SITE,,,,Venue identity never establishes H/A/N; applied only after independently accepted site classification.,Oregon State Stage 3A/3B accepted game-level physical-site research; Stage 4 physical-identity rebase against protected main at research_base_sha.,Integration rebase resolved final global venue ID VEN-000465.
1,oregon-state,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,,,,,2,2023-11-22,2023-11-24,GAME_SITE,,,,Venue identity never establishes H/A/N; applied only after independently accepted site classification.,Oregon State Stage 3A/3B accepted game-level physical-site research; Stage 4 physical-identity rebase against protected main at research_base_sha.,Integration rebase resolved final global venue ID VEN-000020.
2,oregon-state,beasley-coliseum,VEN-000283,Beasley Coliseum,,Pullman,WA,,,,,1,1982-03-14,1982-03-14,GAME_SITE,,,,Venue identity never establishes H/A/N; applied only after independently accepted site classification.,Oregon State Stage 3A/3B accepted game-level physical-site research; Stage 4 physical-identity rebase against protected main at research_base_sha.,Integration rebase resolved final global venue ID VEN-000283.
3,oregon-state,bon-secours-wellness-arena,VEN-000025,Bon Secours Wellness Arena,Bi-Lo Center,Greenville,SC,,,,,3,1999-11-26,1999-11-28,GAME_SITE,,,,Venue identity never establishes H/A/N; applied only after independently accepted site classification.,Oregon State Stage 3A/3B accepted game-level physical-site research; Stage 4 physical-identity rebase against protected main at research_base_sha.,Integration rebase resolved final global venue ID VEN-000025.
4,oregon-state,brendan-byrne-arena,VEN-000028,Brendan Byrne Arena,IZOD Center,East Rutherford,NJ,,,,,2,2011-11-19,2011-11-21,GAME_SITE,,,,Venue identity never establishes H/A/N; applied only after independently accepted site classification.,Oregon State Stage 3A/3B accepted game-level physical-site research; Stage 4 physical-identity rebase against protected main at research_base_sha.,Integration rebase resolved final global venue ID VEN-000028.
5,oregon-state,cannon-activities-center,VEN-000389,Cannon Activities Center,,Laie,HI,,,,,2,1998-12-22,1998-12-23,GAME_SITE,,,,Venue identity never establishes H/A/N; applied only after independently accepted site classification.,Oregon State Stage 3A/3B accepted game-level physical-site research; Stage 4 physical-identity rebase against protected main at research_base_sha.,Integration rebase resolved final global venue ID VEN-000389.
6,oregon-state,carlson-center,VEN-000466,Carlson Center,,Fairbanks,AK,,,,,2,2007-11-15,2007-11-18,GAME_SITE,,,,Venue identity never establishes H/A/N; applied only after independently accepted site classification.,Oregon State Stage 3A/3B accepted game-level physical-site research; Stage 4 physical-identity rebase against protected main at research_base_sha.,Integration rebase resolved final global venue ID VEN-000466.
7,oregon-state,carver-hawkeye-arena,VEN-000037,Carver-Hawkeye Arena,,Iowa City,IA,,,,,1,1983-12-02,1983-12-02,GAME_SITE,,,,Venue identity never establishes H/A/N; applied only after independently accepted site classification.,Oregon State Stage 3A/3B accepted game-level physical-site research; Stage 4 physical-identity rebase against protected main at research_base_sha.,Integration rebase resolved final global venue ID VEN-000037.
8,oregon-state,charlotte-coliseum-1955,VEN-000040,Charlotte Coliseum,,Charlotte,NC,,,,,1,1977-11-26,1977-11-26,GAME_SITE,,,,Venue identity never establishes H/A/N; applied only after independently accepted site classification.,Oregon State Stage 3A/3B accepted game-level physical-site research; Stage 4 physical-identity rebase against protected main at research_base_sha.,Integration rebase resolved final global venue ID VEN-000040.
9,oregon-state,chiles-center,VEN-000643,Chiles Center,,Portland,OR,,,,,1,2022-11-27,2022-11-27,GAME_SITE,,,,Venue identity never establishes H/A/N; applied only after independently accepted site classification.,Oregon State Stage 3A/3B accepted game-level physical-site research; Stage 4 physical-identity rebase against protected main at research_base_sha.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Integration rebase resolved final global venue ID VEN-000643.
