index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,oregon,Air Force,air-force,Air Force,Yes,3,1963-1964,1973-1974,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
1,oregon,Air Force (8/NR),air-force,Air Force,Yes,1,1974-1975,1974-1975,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
2,oregon,Alabama,alabama,Alabama,Yes,4,2003-2004,2023-2024,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
3,oregon,Alabama (24/NR),alabama,Alabama,Yes,1,2016-2017,2016-2017,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
4,oregon,Alabama (NR/9),alabama,Alabama,Yes,1,2024-2025,2024-2025,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
5,oregon,Alabama State,alabama-state,Alabama State,Yes,2,2001-2002,2017-2018,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
6,oregon,Alabama State (6/NR),alabama-state,Alabama State,Yes,1,2019-2020,2019-2020,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
7,oregon,Alabama-Birmingham,uab,UAB,Yes,2,1989-1990,1990-1991,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
8,oregon,Alaska -Anchorage,alaska-anchorage,Alaska Anchorage,No,1,1984-1985,1984-1985,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
9,oregon,Alaska Fairbanks,alaska-fairbanks,Alaska Fairbanks,No,1,1992-1993,1992-1993,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
10,oregon,Alaska-Anchorage,alaska-anchorage,Alaska Anchorage,No,1,1992-1993,1992-1993,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
11,oregon,Alaska-Fairbanks,alaska-fairbanks,Alaska Fairbanks,No,2,1993-1994,1995-1996,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
12,oregon,Albany Hellships,albany-hellships,Albany Hellships,No,2,1943-1944,1943-1944,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
13,oregon,Albina Shipyards,albina-shipyards,Albina Shipyards,No,2,1943-1944,1943-1944,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
14,oregon,Alcorn State,alcorn-state,Alcorn State,Yes,1,1998-1999,1998-1999,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
15,oregon,Arizona,arizona,Arizona,Yes,31,1978-1979,2020-2021,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
16,oregon,Arizona (13/24),arizona,Arizona,Yes,1,2006-2007,2006-2007,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
17,oregon,Arizona (13/5),arizona,Arizona,Yes,1,2016-2017,2016-2017,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
18,oregon,Arizona (14/24),arizona,Arizona,Yes,1,2019-2020,2019-2020,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
19,oregon,Arizona (15/10),arizona,Arizona,Yes,1,2006-2007,2006-2007,RESOLVED,Oregon official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
