index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,ORERAW-00001,oregon,2025-26_record_book_year_by_year,1902-1903,1903,1903-01-24,Oregon State,Oregon State,oregon-state,Yes,2,32,L,0,,,unstarred,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,J 24  Oregon State         L 2- 32,resolved,,,,,,,
1,ORERAW-00002,oregon,2025-26_record_book_year_by_year,1902-1903,1903,1903-03-13,Oregon State,Oregon State,oregon-state,Yes,22,24,L,0,,,*,SOURCE_PROGRAM_HOME,Old University Gymnasium,Old University Gymnasium,Eugene,OR,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,M 13 * Oregon State        L 22- 24,resolved,,,,,,,
2,ORERAW-00003,oregon,2025-26_record_book_year_by_year,1903-1904,1904,1904-02-05,Oregon State,Oregon State,oregon-state,Yes,22,25,L,0,,,*,SOURCE_PROGRAM_HOME,Old University Gymnasium,Old University Gymnasium,Eugene,OR,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,F 5 * Oregon State         L 22- 25,resolved,,,,,,,
3,ORERAW-00004,oregon,2025-26_record_book_year_by_year,1903-1904,1904,1904-02-12,Washington,Washington,washington,Yes,17,19,L,0,,,*,SOURCE_PROGRAM_HOME,Old University Gymnasium,Old University Gymnasium,Eugene,OR,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,F 12 * Washington          L 17- 19,resolved,,,,,,,
4,ORERAW-00005,oregon,2025-26_record_book_year_by_year,1903-1904,1904,1904-02-17,Willamette,Willamette,willamette,No,9,30,L,0,,,*,SOURCE_PROGRAM_HOME,Old University Gymnasium,Old University Gymnasium,Eugene,OR,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,F 17 * Willamette          L 9- 30,resolved,,,,,,,
5,ORERAW-00006,oregon,2025-26_record_book_year_by_year,1903-1904,1904,1904-02-26,Oregon State,Oregon State,oregon-state,Yes,14,30,L,0,,,unstarred,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,F 26  Oregon State         L 14- 30,resolved,,,,,,,
6,ORERAW-00007,oregon,2025-26_record_book_year_by_year,1905-1906,1906,1906-01-20,Willamette,Willamette,willamette,No,8,19,L,0,,,unstarred,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,J 20  Willamette           L    8- 19,resolved,,,,,,,
7,ORERAW-00008,oregon,2025-26_record_book_year_by_year,1905-1906,1906,1906-02-02,Oregon State,Oregon State,oregon-state,Yes,15,17,L,1,,,*,SOURCE_PROGRAM_HOME,Old University Gymnasium,Old University Gymnasium,Eugene,OR,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,F 2 * Oregon State         L   15- 17 +,resolved,,,,,,,
8,ORERAW-00009,oregon,2025-26_record_book_year_by_year,1905-1906,1906,1906-02-20,Minnesota Red Wings,Minnesota Red Wings,minnesota-red-wings,No,11,23,L,0,,,*,SOURCE_PROGRAM_HOME,Old University Gymnasium,Old University Gymnasium,Eugene,OR,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,F 20 * Minnesota Red Wings L    11- 23,resolved,,,,,,,
9,ORERAW-00010,oregon,2025-26_record_book_year_by_year,1905-1906,1906,1906-02-23,Oregon State,Oregon State,oregon-state,Yes,6,32,L,0,,,unstarred,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,F 23  Oregon State         L    6- 32,resolved,,,,,,,
10,ORERAW-00011,oregon,2025-26_record_book_year_by_year,1905-1906,1906,1906-03-15,Willamette,Willamette,willamette,No,10,14,L,0,,,*,SOURCE_PROGRAM_HOME,Old University Gymnasium,Old University Gymnasium,Eugene,OR,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,M 15 * Willamette          L   10- 14,resolved,,,,,,,
11,ORERAW-00012,oregon,2025-26_record_book_year_by_year,1906-1907,1907,1907-02-02,Oregon State,Oregon State,oregon-state,Yes,18,44,L,0,,,*,SOURCE_PROGRAM_HOME,Old University Gymnasium,Old University Gymnasium,Eugene,OR,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,F 2 * Oregon State          L 18- 44,resolved,,,,,,,
12,ORERAW-00013,oregon,2025-26_record_book_year_by_year,1906-1907,1907,1907-02-14,Roseburg,Roseburg,roseburg,No,27,6,W,0,,,unstarred,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,F 14  Roseburg             W 27- 6,resolved,,,,,,,
13,ORERAW-00014,oregon,2025-26_record_book_year_by_year,1906-1907,1907,1907-02-15,Ashland AC,Ashland AC,ashland-ac,No,20,19,W,0,,,unstarred,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Oregon 2025-26 Record Book p. 45,F 15  Ashland AC           W 20- 19,resolved,,,,,,,
