index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,oregon,arco-arena,VEN-000013,ARCO Arena,,Sacramento,CA,arena,,,unknown,2,2002-03-14,2002-03-16,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000013.
1,oregon,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,unknown,3,2014-03-20,2018-03-18,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000026.
2,oregon,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,arena,,,unknown,1,2003-03-21,2003-03-21,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000031.
3,oregon,california-coliseum,VEN-000332,California Coliseum,,San Francisco,CA,arena,,,unknown,2,1939-03-20,1939-03-21,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000332.
4,oregon,chi-health-center,VEN-000043,CHI Health Center Omaha,,Omaha,NE,arena,,,unknown,3,2011-03-28,2015-03-22,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000043.
5,oregon,climate-pledge-arena,VEN-000315,Climate Pledge Arena,,Seattle,WA,arena,,,unknown,2,2025-03-21,2025-03-23,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000315.
6,oregon,crypto-com-arena,VEN-000051,Crypto.com Arena,,Los Angeles,CA,arena,,,unknown,21,2002-03-07,2012-03-08,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000051.
7,oregon,schollmaier-arena,VEN-000370,Daniel-Meyer Coliseum,,Fort Worth,TX,arena,,,unknown,1,1999-03-17,1999-03-17,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Genuinely new physical venue candidate at research freeze; numeric venue_id intentionally blank pending current-main Implementation rebase. Current-main integration rebase: venue_key daniel-meyer-coliseum -> schollmaier-arena to reuse the same physical venue. Integration rebase resolved final global venue ID VEN-000370.
8,oregon,dee-glen-smith-spectrum,VEN-000378,Dee Glen Smith Spectrum,,Logan,UT,arena,,,unknown,1,2022-03-15,2022-03-15,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Genuinely new physical venue candidate at research freeze; numeric venue_id intentionally blank pending current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000378.
9,oregon,desert-financial-arena,VEN-000056,Desert Financial Arena,,Tempe,AZ,arena,,,unknown,1,1990-03-09,1990-03-09,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000056.
10,oregon,gainbridge-fieldhouse,VEN-000070,Gainbridge Fieldhouse,,Indianapolis,IN,arena,,,unknown,4,2021-03-22,2025-03-14,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000070.
11,oregon,gill-coliseum,VEN-000373,Gill Coliseum,,Corvallis,OR,arena,,,unknown,1,1960-03-09,1960-03-09,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Genuinely new physical venue candidate at research freeze; numeric venue_id intentionally blank pending current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000373.
12,oregon,golden-1-center,VEN-000074,Golden 1 Center,,Sacramento,CA,arena,,,unknown,2,2017-03-17,2017-03-19,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000074.
13,oregon,hec-edmundson-pavilion,VEN-000078,Hec Edmundson Pavilion,,Seattle,WA,arena,,,unknown,3,1960-03-11,2012-03-20,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000078.
14,oregon,honda-center,VEN-000082,Honda Center,,Anaheim,CA,arena,,,unknown,2,2016-03-24,2016-03-26,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000082.
15,oregon,jon-m-huntsman-center,VEN-000097,Jon M. Huntsman Center,,Salt Lake City,UT,arena,,,unknown,1,1995-03-16,1995-03-16,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000097.
16,oregon,joyce-center,VEN-000098,Joyce Center,,South Bend,IN,arena,,,unknown,1,2004-03-25,2004-03-25,,,,,GAME_LEVEL,Oregon official record-book year-by-year/postseason evidence; owner-authorized Oregon conference-tournament site reference where applicable; official Oregon completed-season schedule; established current-main physical venue registry for identity comparison.,Definite research-base current-main physical reuse; numeric venue_id intentionally blank in research portfolio and must be rebound during Implementation rebase. Integration rebase resolved final global venue ID VEN-000098.
