index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,penn-state,Akron,akron,Akron,Yes,7,1937-1938,2014-2015,RESOLVED,Current D1 registry / established institutional lineage,,
1,penn-state,Alabama,alabama,Alabama,Yes,6,1965-1966,2019-2020,RESOLVED,Current D1 registry / established institutional lineage,,
2,penn-state,Alaska,alaska,Alaska,No,1,1978-1979,1978-1979,RESOLVED,Penn State source / established historical or non-current identity,,
3,penn-state,Albany,ualbany,UAlbany,Yes,1,2016-2017,2016-2017,RESOLVED,Current D1 registry / established institutional lineage,,
4,penn-state,Albright,albright,Albright,No,2,1910-1911,1911-1912,RESOLVED,Penn State source / established historical or non-current identity,,
5,penn-state,Alfred,alfred,Alfred,No,1,1952-1953,1952-1953,RESOLVED,Penn State source / established historical or non-current identity,,
6,penn-state,Allegheny,allegheny,Allegheny,No,6,1902-1903,1923-1924,RESOLVED,Penn State source / established historical or non-current identity,,
7,penn-state,Altoona,altoona-athletic-association,Altoona Athletic Association,No,1,1904-1905,1904-1905,RESOLVED,Penn State source / established historical or non-current identity,,
8,penn-state,Altoona Ath. Assoc.,altoona-athletic-association,Altoona Athletic Association,No,2,1903-1904,1904-1905,RESOLVED,Penn State source / established historical or non-current identity,,
9,penn-state,Alumni,penn-state-alumni,Penn State Alumni,No,5,1919-1920,1926-1927,RESOLVED,Penn State source / established historical or non-current identity,,
10,penn-state,American,american-university,American,Yes,16,1940-1941,2009-2010,RESOLVED,Current D1 registry / established institutional lineage,,
11,penn-state,Arizona,arizona,Arizona,Yes,1,1989-1990,1989-1990,RESOLVED,Current D1 registry / established institutional lineage,,
12,penn-state,Arizona State,arizona-state,Arizona State,Yes,2,1983-1984,1999-2000,RESOLVED,Current D1 registry / established institutional lineage,,
13,penn-state,Arkansas,arkansas,Arkansas,Yes,1,1995-1996,1995-1996,RESOLVED,Current D1 registry / established institutional lineage,,
14,penn-state,Arkansas State,arkansas-state,Arkansas State,Yes,1,2003-2004,2003-2004,RESOLVED,Current D1 registry / established institutional lineage,,
15,penn-state,Army,army,Army,Yes,41,1906-1907,2012-2013,RESOLVED,Current D1 registry / established institutional lineage,,
16,penn-state,Baylor,baylor,Baylor,Yes,2,1990-1991,2008-2009,RESOLVED,Current D1 registry / established institutional lineage,,
17,penn-state,Bellefonte Academy,bellefonte-academy,Bellefonte Academy,No,1,1903-1904,1903-1904,RESOLVED,Penn State source / established historical or non-current identity,,
18,penn-state,Bethany,bethany,Bethany,No,5,1921-1922,1930-1931,RESOLVED,Penn State source / established historical or non-current identity,,
19,penn-state,Bethune-Cookman,bethune-cookman,Bethune-Cookman,Yes,1,1993-1994,1993-1994,RESOLVED,Current D1 registry / established institutional lineage,,
20,penn-state,Binghamton,binghamton,Binghamton,Yes,2,2017-2018,2024-2025,RESOLVED,Current D1 registry / established institutional lineage,,
21,penn-state,Bloomsburg,bloomsburg,Bloomsburg,No,5,1898-1899,1981-1982,RESOLVED,Penn State source / established historical or non-current identity,,
22,penn-state,Boston Coll.,boston-college,Boston College,Yes,1,2011-2012,2011-2012,RESOLVED,Current D1 registry / established institutional lineage,,
23,penn-state,Boston College,boston-college,Boston College,Yes,12,1967-1968,2015-2016,RESOLVED,Current D1 registry / established institutional lineage,,
24,penn-state,Boston U.,boston-university,Boston University,Yes,1,1955-1956,1955-1956,RESOLVED,Current D1 registry / established institutional lineage,,
25,penn-state,Boston Univ.,boston-university,Boston University,Yes,2,1982-1983,1983-1984,RESOLVED,Current D1 registry / established institutional lineage,,
26,penn-state,Boston University,boston-university,Boston University,Yes,1,2025-2026,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
27,penn-state,BostonCollege,boston-college,Boston College,Yes,1,2012-2013,2012-2013,RESOLVED,Current D1 registry / established institutional lineage,,
28,penn-state,Bowling Green,bowling-green,Bowling Green,Yes,3,1952-1953,1992-1993,RESOLVED,Current D1 registry / established institutional lineage,,
29,penn-state,Bradley,bradley,Bradley,Yes,6,1981-1982,2018-2019,RESOLVED,Current D1 registry / established institutional lineage,,
30,penn-state,Brown,brown,Brown,Yes,2,1990-1991,1991-1992,RESOLVED,Current D1 registry / established institutional lineage,,
31,penn-state,Bucknell,bucknell,Bucknell,Yes,105,1896-1897,2023-2024,RESOLVED,Current D1 registry / established institutional lineage,,
32,penn-state,Buffalo,buffalo,Buffalo,Yes,9,1920-1921,2024-2025,RESOLVED,Current D1 registry / established institutional lineage,,
