index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,PSURB-1896-01,penn-state,historical_media_guide,1896-1897,1897,,Bucknell,Bucknell,bucknell,Yes,4,24,L,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 134-158,@ Bucknell 4-24 L,resolved,,,,,
1,PSURB-1896-02,penn-state,historical_media_guide,1896-1897,1897,,Bucknell,Bucknell,bucknell,Yes,10,7,W,0,,,Home,SOURCE_PROGRAM_HOME,,Penn State Armory,State College,PA,,,REGULAR_SEASON,,All-Time Results pp. 134-158,Bucknell 10-7 W,resolved,,,,,
2,PSURB-1897-01,penn-state,historical_media_guide,1897-1898,1898,,Bucknell,Bucknell,bucknell,Yes,12,4,W,0,,,Home,SOURCE_PROGRAM_HOME,,Penn State Armory,State College,PA,,,REGULAR_SEASON,,All-Time Results pp. 134-158,Bucknell 12-4 W,resolved,,,,,
3,PSURB-1897-02,penn-state,historical_media_guide,1897-1898,1898,,Bucknell,Bucknell,bucknell,Yes,5,18,L,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 134-158,at Bucknell 5-18 L,resolved,,,,,
4,PSURB-1897-03,penn-state,historical_media_guide,1897-1898,1898,,Cornell,Cornell,cornell,Yes,26,5,W,0,,,Home,SOURCE_PROGRAM_HOME,,Penn State Armory,State College,PA,,,REGULAR_SEASON,,All-Time Results pp. 134-158,Cornell 26-5 W,resolved,,,,,
5,PSURB-1898-01,penn-state,historical_media_guide,1898-1899,1899,1899-01-13,CloverWheel,Clover Wheelmen,clover-wheelmen,No,12,10,W,0,,,Home,SOURCE_PROGRAM_HOME,,Penn State Armory,State College,PA,,,REGULAR_SEASON,,All-Time Results pp. 134-158,J 13 CloverWheel 12-10 W,resolved,,,,,
6,PSURB-1898-02,penn-state,historical_media_guide,1898-1899,1899,1899-01-28,Bucknell,Bucknell,bucknell,Yes,17,6,W,0,,,Home,SOURCE_PROGRAM_HOME,,Penn State Armory,State College,PA,,,REGULAR_SEASON,,All-Time Results pp. 134-158,J 28 Bucknell 17-6 W,resolved,,,,,
7,PSURB-1898-03,penn-state,historical_media_guide,1898-1899,1899,1899-03-01,Bloomsburg,Bloomsburg,bloomsburg,No,6,30,L,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 134-158,M 1 @ Bloomsburg 6-30 L,resolved,,,,,
8,PSURB-1898-04,penn-state,historical_media_guide,1898-1899,1899,1899-03-02,WilliamsportYMCA,Williamsport YMCA,williamsport-ymca,No,13,17,L,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 134-158,M 2 @WilliamsportYMCA 13-17 L,resolved,,,,,
9,PSURB-1898-05,penn-state,historical_media_guide,1898-1899,1899,1899-03-03,Bucknell,Bucknell,bucknell,Yes,8,12,L,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 134-158,M 3 @ Bucknell 8-12 L,resolved,,,,,
10,PSURB-1899-01,penn-state,historical_media_guide,1899-1900,1900,1900-01-28,Lock Haven,Lock Haven,lock-haven,No,17,13,W,0,,,Home,SOURCE_PROGRAM_HOME,,Penn State Armory,State College,PA,,,REGULAR_SEASON,,All-Time Results pp. 134-158,J 28 Lock Haven 17-13 W,resolved,,,,,
11,PSURB-1899-02,penn-state,historical_media_guide,1899-1900,1900,1900-02-03,Dickinson,Dickinson,dickinson,No,42,6,W,0,,,Home,SOURCE_PROGRAM_HOME,,Penn State Armory,State College,PA,,,REGULAR_SEASON,,All-Time Results pp. 134-158,F 3 Dickinson 42-6 W,resolved,,,,,
12,PSURB-1899-03,penn-state,historical_media_guide,1899-1900,1900,1900-02-10,Bucknell,Bucknell,bucknell,Yes,11,6,W,0,,,Home,SOURCE_PROGRAM_HOME,,Penn State Armory,State College,PA,,,REGULAR_SEASON,,All-Time Results pp. 134-158,F 10 Bucknell 11-6 W,resolved,,,,,
13,PSURB-1899-04,penn-state,historical_media_guide,1899-1900,1900,1900-02-14,WilliamsportYMCA,Williamsport YMCA,williamsport-ymca,No,27,7,W,0,,,Home,SOURCE_PROGRAM_HOME,,Penn State Armory,State College,PA,,,REGULAR_SEASON,,All-Time Results pp. 134-158,F 14 WilliamsportYMCA 27-7 W,resolved,,,,,
14,PSURB-1899-05,penn-state,historical_media_guide,1899-1900,1900,1900-02-16,Cornell,Cornell,cornell,Yes,15,8,W,0,,,Home,SOURCE_PROGRAM_HOME,,Penn State Armory,State College,PA,,,REGULAR_SEASON,,All-Time Results pp. 134-158,F 16 Cornell 15-8 W,resolved,,,,,
15,PSURB-1899-06,penn-state,historical_media_guide,1899-1900,1900,1900-03-01,Lock Haven,Lock Haven,lock-haven,No,10,9,W,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 134-158,M 1 @ Lock Haven 10-9 W,resolved,,,,,
16,PSURB-1899-07,penn-state,historical_media_guide,1899-1900,1900,1900-03-02,WilliamsportYMCA,Williamsport YMCA,williamsport-ymca,No,4,3,W,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 134-158,M 2 @WilliamsportYMCA 4-3 W,resolved,,,,,
