index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,penn-state,allen-county-war-memorial-coliseum,VEN-000301,Allen County War Memorial Coliseum,War Memorial Coliseum,Fort Wayne,IN,arena,1952,,YEAR,1,1954-03-09,1954-03-09,,,,,,Penn State NCAA history plus established NCAA/archival site evidence,Integration rebase resolved final global venue ID VEN-000301.
1,penn-state,alumni-memorial-fieldhouse-saint-josephs,VEN-000302,Alumni Memorial Fieldhouse,Alumni Memorial Field House,Philadelphia,PA,fieldhouse,,,unknown,1,1986-02-27,1986-02-27,,,,,,Owner-authorized Big Ten site reference and/or independently researched Eastern Eight/Atlantic 10 tournament history,Integration rebase resolved final global venue ID VEN-000302.
2,penn-state,amica-mutual-pavilion,VEN-000011,Amica Mutual Pavilion,Providence Civic Center,Providence,RI,arena,,,unknown,1,1996-03-14,1996-03-14,,,,,,Penn State NCAA history plus established NCAA/archival site evidence,Integration rebase resolved final global venue ID VEN-000011.
3,penn-state,bryce-jordan-center,VEN-000303,Bryce Jordan Center,BJC,State College,PA,arena,1996-01-11,,EXACT,458,1996-01-11,2026-03-04,home,1996-01-11,,EXACT_START,SOURCE_PROGRAM_HOME,Penn State 2025-26 record book arena/facility history | Penn State official completed 2025-26 schedule/results,Integration rebase resolved final global venue ID VEN-000303.
4,penn-state,caesars-superdome,VEN-000034,Caesars Superdome,Louisiana Superdome,New Orleans,LA,dome,,,unknown,2,2001-03-16,2001-03-18,,,,,,Penn State NCAA history plus established NCAA/archival site evidence,Integration rebase resolved final global venue ID VEN-000034.
5,penn-state,capital-one-arena,VEN-000036,Capital One Arena,Verizon Center,Washington,DC,arena,,,unknown,2,2017-03-08,2017-03-09,,,,,,Owner-authorized Big Ten site reference and/or independently researched Eastern Eight/Atlantic 10 tournament history,Integration rebase resolved final global venue ID VEN-000036.
6,penn-state,crisler-center,VEN-000261,Crisler Center,,Ann Arbor,MI,arena,,,unknown,1,2026-02-05,2026-02-05,,,,,,Penn State official completed 2025-26 schedule/results,Integration rebase resolved final global venue ID VEN-000261.
7,penn-state,giant-center,VEN-000304,GIANT Center,Giant Center,Hershey,PA,arena,,,unknown,1,2025-12-21,2025-12-21,,,,,,Penn State official completed 2025-26 schedule/results,Integration rebase resolved final global venue ID VEN-000304.
8,penn-state,gainbridge-fieldhouse,VEN-000070,Gainbridge Fieldhouse,Conseco Fieldhouse; Bankers Life Fieldhouse,Indianapolis,IN,arena,,,unknown,18,2002-03-07,2022-03-11,,,,,,Owner-authorized Big Ten site reference and/or independently researched Eastern Eight/Atlantic 10 tournament history,Integration rebase resolved final global venue ID VEN-000070.
9,penn-state,georgia-dome,VEN-000073,Georgia Dome,,Atlanta,GA,dome,,,unknown,1,2001-03-23,2001-03-23,,,,,,Penn State NCAA history plus established NCAA/archival site evidence,Integration rebase resolved final global venue ID VEN-000073.
10,penn-state,hec-edmundson-pavilion,VEN-000078,Hec Edmundson Pavilion,Alaska Airlines Arena,Seattle,WA,arena,,,unknown,1,2026-02-11,2026-02-11,,,,,,Penn State official completed 2025-26 schedule/results,2025-26 official source calls the venue Alaska Airlines Arena; same physical building. Integration rebase resolved final global venue ID VEN-000078.
11,penn-state,iowa-field-house,VEN-000091,Iowa Field House,,Iowa City,IA,fieldhouse,,,unknown,2,1954-03-12,1954-03-13,,,,,,Penn State NCAA history plus established NCAA/archival site evidence,Integration rebase resolved final global venue ID VEN-000091.
12,penn-state,jma-wireless-dome,VEN-000096,JMA Wireless Dome,Carrier Dome,Syracuse,NY,dome,,,unknown,2,1991-03-15,1991-03-17,,,,,,Penn State NCAA history plus established NCAA/archival site evidence,Integration rebase resolved final global venue ID VEN-000096.
13,penn-state,jersey-mikes-arena,VEN-000095,Jersey Mike's Arena,Rutgers Athletic Center; Louis Brown Athletic Center,Piscataway,NJ,arena,,,unknown,4,1979-02-27,2026-03-08,,,,,,Owner-authorized Big Ten site reference and/or independently researched Eastern Eight/Atlantic 10 tournament history | Penn State official completed 2025-26 schedule/results,Integration rebase resolved final global venue ID VEN-000095.
