index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,purdue,Akron,akron,Akron,Yes,3,1999-2000,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
1,purdue,Alabama,alabama,Alabama,Yes,11,1976-1977,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
2,purdue,Alabama A&M,alabama-a-and-m,Alabama A&M,Yes,1,2000-2001,2000-2001,RESOLVED,Current D1 registry / established institutional lineage,,
3,purdue,Alaska-Anchorage,alaska-anchorage,Alaska-Anchorage,No,1,1985-1986,1985-1986,RESOLVED,Established historical/non-current identity or institutional lineage,,
4,purdue,Alcorn State,alcorn-state,Alcorn State,Yes,1,2010-2011,2010-2011,RESOLVED,Current D1 registry / established institutional lineage,,
5,purdue,Alumni,alumni,Alumni,No,2,1903-1904,1904-1905,RESOLVED,Established historical/non-current identity or institutional lineage,,
6,purdue,Appalachian St.,app-state,App State,Yes,1,2018-2019,2018-2019,RESOLVED,Current D1 registry / established institutional lineage,,
7,purdue,Appalachian State,app-state,App State,Yes,1,2000-2001,2000-2001,RESOLVED,Current D1 registry / established institutional lineage,,
8,purdue,Arizona,arizona,Arizona,Yes,14,1933-1934,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
9,purdue,Arizona State,arizona-state,Arizona State,Yes,6,1968-1969,2016-2017,RESOLVED,Current D1 registry / established institutional lineage,,
10,purdue,Arkansas,arkansas,Arkansas,Yes,2,1938-1939,1982-1983,RESOLVED,Current D1 registry / established institutional lineage,,
11,purdue,Arkansas State,arkansas-state,Arkansas State,Yes,1,2014-2015,2014-2015,RESOLVED,Current D1 registry / established institutional lineage,,
12,purdue,Arkansas-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,1,2008-2009,2008-2009,RESOLVED,Current D1 registry / established institutional lineage,,
13,purdue,Armour Institute,armour-institute,Armour Institute,No,1,1903-1904,1903-1904,RESOLVED,Established historical/non-current identity or institutional lineage,,
14,purdue,Armour Tech,armour-tech,Armour Tech,No,1,1906-1907,1906-1907,RESOLVED,Established historical/non-current identity or institutional lineage,,
15,purdue,Army,army,Army,Yes,1,1966-1967,1966-1967,RESOLVED,Current D1 registry / established institutional lineage,,
16,purdue,Auburn,auburn,Auburn,Yes,5,1984-1985,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
17,purdue,Austin Peay,austin-peay,Austin Peay,Yes,3,1994-1995,2022-2023,RESOLVED,Current D1 registry / established institutional lineage,,
18,purdue,Ball State,ball-state,Ball State,Yes,12,1960-1961,2018-2019,RESOLVED,Current D1 registry / established institutional lineage,,
19,purdue,Baylor,baylor,Baylor,Yes,3,2003-2004,2007-2008,RESOLVED,Current D1 registry / established institutional lineage,,
20,purdue,Bellarmine,bellarmine,Bellarmine,Yes,1,2021-2022,2021-2022,RESOLVED,Current D1 registry / established institutional lineage,,
21,purdue,Belmont,belmont,Belmont,Yes,2,2002-2003,2018-2019,RESOLVED,Current D1 registry / established institutional lineage,,
22,purdue,Bethune-Cookman,bethune-cookman,Bethune-Cookman,Yes,1,2007-2008,2007-2008,RESOLVED,Current D1 registry / established institutional lineage,,
23,purdue,Birmingham,birmingham,Birmingham,No,2,1901-1902,1901-1902,RESOLVED,Established historical/non-current identity or institutional lineage,,
24,purdue,Boston College,boston-college,Boston College,Yes,3,1978-1979,2013-2014,RESOLVED,Current D1 registry / established institutional lineage,,
25,purdue,Boston University,boston-university,Boston University,Yes,2,1982-1983,1983-1984,RESOLVED,Current D1 registry / established institutional lineage,,
26,purdue,Bowling Green,bowling-green,Bowling Green,Yes,2,1973-1974,1996-1997,RESOLVED,Current D1 registry / established institutional lineage,,
27,purdue,Bradley,bradley,Bradley,Yes,8,1936-1937,1981-1982,RESOLVED,Current D1 registry / established institutional lineage,,
28,purdue,Bucknell,bucknell,Bucknell,Yes,1,2012-2013,2012-2013,RESOLVED,Current D1 registry / established institutional lineage,,
29,purdue,Buffalo,buffalo,Buffalo,Yes,1,2009-2010,2009-2010,RESOLVED,Current D1 registry / established institutional lineage,,
30,purdue,Bunker Hill AFB,bunker-hill-afb,Bunker Hill AFB,No,1,1944-1945,1944-1945,RESOLVED,Established historical/non-current identity or institutional lineage,,
31,purdue,Butler,butler,Butler,Yes,60,1900-1901,2021-2022,RESOLVED,Current D1 registry / established institutional lineage,,
32,purdue,BYU,byu,BYU,Yes,2,1978-1979,2014-2015,RESOLVED,Current D1 registry / established institutional lineage,,
33,purdue,Cal State Northridge,cal-state-northridge,Cal State Northridge,Yes,1,2009-2010,2009-2010,RESOLVED,Current D1 registry / established institutional lineage,,
34,purdue,Cal State-Fullerton,cal-state-fullerton,Cal State Fullerton,Yes,1,2017-2018,2017-2018,RESOLVED,Current D1 registry / established institutional lineage,,
35,purdue,California,california,California,Yes,6,1935-1936,1990-1991,RESOLVED,Current D1 registry / established institutional lineage,,
36,purdue,Camp Atterbury,camp-atterbury,Camp Atterbury,No,1,1945-1946,1945-1946,RESOLVED,Established historical/non-current identity or institutional lineage,,
37,purdue,Camp Benning,camp-benning,Camp Benning,No,1,1921-1922,1921-1922,RESOLVED,Established historical/non-current identity or institutional lineage,,
38,purdue,Carleton,carleton,Carleton,No,1,1926-1927,1926-1927,RESOLVED,Established historical/non-current identity or institutional lineage,,
39,purdue,Case West. Reserve,case-western-reserve,Case Western Reserve,No,1,1949-1950,1949-1950,RESOLVED,Established historical/non-current identity or institutional lineage,,Historical Case Western Reserve identity; non-current D1.
40,purdue,Central Conn. St.,central-connecticut,Central Connecticut,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry / established institutional lineage,,
41,purdue,Central Michigan,central-michigan,Central Michigan,Yes,8,1978-1979,2019-2020,RESOLVED,Current D1 registry / established institutional lineage,,
42,purdue,Cham. of Commerce,cham-of-commerce,Cham. of Commerce,No,1,1921-1922,1921-1922,RESOLVED,Established historical/non-current identity or institutional lineage,,
43,purdue,Chaminade,chaminade,Chaminade,No,1,1999-2000,1999-2000,RESOLVED,Established historical/non-current identity or institutional lineage,,
44,purdue,Charlotte,charlotte,Charlotte,Yes,1,1995-1996,1995-1996,RESOLVED,Current D1 registry / established institutional lineage,,
45,purdue,Chattanooga,chattanooga,Chattanooga,Yes,4,1901-1902,1994-1995,RESOLVED,Current D1 registry / established institutional lineage,,
46,purdue,Chicago,chicago,Chicago,No,57,1904-1905,1943-1944,RESOLVED,Established historical/non-current identity or institutional lineage,,
47,purdue,Chicago State,chicago-state,Chicago State,Yes,4,2003-2004,2019-2020,RESOLVED,Current D1 registry / established institutional lineage,,
48,purdue,Cincinnati,cincinnati,Cincinnati,Yes,4,1901-1902,2014-2015,RESOLVED,Current D1 registry / established institutional lineage,,
49,purdue,Cincy Ath. Club,cincy-ath-club,Cincy Ath. Club,No,1,1920-1921,1920-1921,RESOLVED,Established historical/non-current identity or institutional lineage,,
50,purdue,Clemson,clemson,Clemson,Yes,6,1971-1972,2020-2021,RESOLVED,Current D1 registry / established institutional lineage,,
51,purdue,Cleveland State,cleveland-state,Cleveland State,Yes,1,2016-2017,2016-2017,RESOLVED,Current D1 registry / established institutional lineage,,
52,purdue,Colgate,colgate,Colgate,Yes,1,1921-1922,1921-1922,RESOLVED,Current D1 registry / established institutional lineage,,
53,purdue,Colorado,colorado,Colorado,Yes,2,1987-1988,1988-1989,RESOLVED,Current D1 registry / established institutional lineage,,
54,purdue,Colorado State,colorado-state,Colorado State,Yes,5,1979-1980,2004-2005,RESOLVED,Current D1 registry / established institutional lineage,,
55,purdue,Columbia,columbia,Columbia,Yes,1,1968-1969,1968-1969,RESOLVED,Current D1 registry / established institutional lineage,,
56,purdue,Connecticut,uconn,Connecticut,Yes,6,1938-1939,2023-2024,RESOLVED,Current D1 registry / established institutional lineage,,
