index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,PURRAW-00001,purdue,2025-26_purdue_media_guide_year_by_year,1896-1897,1897,1897-01-23,Lafayette YMCA,Lafayette YMCA,lafayette-ymca,No,34,19,W,0,,,H,SOURCE_PROGRAM_HOME,,Military Hall and Gymnasium,West Lafayette,IN,,,REGULAR_SEASON,,PDF p. 114,--- -- / -- Lafayette YMCA W 34-19,resolved,Exact date supplied by Purdue institutional home-court history. Venue supplied from Purdue primary-home chronology after independent home classification.,,,,
1,PURRAW-00002,purdue,2025-26_purdue_media_guide_year_by_year,1896-1897,1897,,Wabash,Wabash,wabash,No,19,23,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 114,--- -- / -- at Wabash L 19-23,resolved,,,,,
2,PURRAW-00003,purdue,2025-26_purdue_media_guide_year_by_year,1899-1900,1900,,Lafayette YMCA,Lafayette YMCA,lafayette-ymca,No,11,16,L,0,,,H,SOURCE_PROGRAM_HOME,,Military Hall and Gymnasium,West Lafayette,IN,,,REGULAR_SEASON,,PDF p. 114,--- -- / -- Lafayette YMCA L 11-16,resolved,Venue supplied from Purdue primary-home chronology after independent home classification.,,,,
3,PURRAW-00004,purdue,2025-26_purdue_media_guide_year_by_year,1900-1901,1901,,Danville,Danville,danville,No,25,4,W,0,,,H,SOURCE_PROGRAM_HOME,,Military Hall and Gymnasium,West Lafayette,IN,,,REGULAR_SEASON,,PDF p. 114,--- -- / -- Danville W 25-4,resolved,Venue supplied from Purdue primary-home chronology after independent home classification.,,,,
4,PURRAW-00005,purdue,2025-26_purdue_media_guide_year_by_year,1900-1901,1901,,Lafayette H.S.,Lafayette H.S.,lafayette-h-s,No,56,15,W,0,,,H,SOURCE_PROGRAM_HOME,,Military Hall and Gymnasium,West Lafayette,IN,,,REGULAR_SEASON,,PDF p. 114,--- -- / -- Lafayette H.S. W 56-15,resolved,Venue supplied from Purdue primary-home chronology after independent home classification.,,,,
5,PURRAW-00006,purdue,2025-26_purdue_media_guide_year_by_year,1900-1901,1901,,Lafayette H.S.,Lafayette H.S.,lafayette-h-s,No,77,9,W,0,,,H,SOURCE_PROGRAM_HOME,,Military Hall and Gymnasium,West Lafayette,IN,,,REGULAR_SEASON,,PDF p. 114,--- -- / -- Lafayette H.S. W 77-9,resolved,Venue supplied from Purdue primary-home chronology after independent home classification.,,,,
6,PURRAW-00007,purdue,2025-26_purdue_media_guide_year_by_year,1900-1901,1901,1901-01-23,Lafayette H.S.,Lafayette H.S.,lafayette-h-s,No,40,7,W,0,,,H,SOURCE_PROGRAM_HOME,,Military Hall and Gymnasium,West Lafayette,IN,,,REGULAR_SEASON,,PDF p. 114,J23 -- / -- Lafayette H.S. W 40-7,resolved,Venue supplied from Purdue primary-home chronology after independent home classification.,,,,
7,PURRAW-00008,purdue,2025-26_purdue_media_guide_year_by_year,1900-1901,1901,1901-01-25,Logansport C.C.,Logansport C.C.,logansport-c-c,No,19,5,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 114,J25 -- / -- at Logansport C.C. W 19-5,resolved,,,,,
8,PURRAW-00009,purdue,2025-26_purdue_media_guide_year_by_year,1900-1901,1901,1901-02-01,Culver,Culver,culver,No,19,12,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 114,F1 -- / -- at Culver W 19-12,resolved,,,,,
9,PURRAW-00010,purdue,2025-26_purdue_media_guide_year_by_year,1900-1901,1901,1901-02-15,Wabash,Wabash,wabash,No,43,15,W,0,,,H,SOURCE_PROGRAM_HOME,,Military Hall and Gymnasium,West Lafayette,IN,,,REGULAR_SEASON,,PDF p. 114,F15 -- / -- Wabash W 43-15,resolved,Venue supplied from Purdue primary-home chronology after independent home classification.,,,,
