index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,purdue,purdue-military-hall-and-gymnasium,VEN-000262,Military Hall and Gymnasium,,West Lafayette,IN,gymnasium,1873,,YEAR,38,1897-01-23,1906-12-21,primary_home,1897-01-23,1906-12-21,exact,A Purdue game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Purdue official historical home-court evidence and Purdue year-by-year ledger.,Purdue institutional history identifies the 1873 Military Hall and Gymnasium / Old Gym as the original basketball home; first established Purdue game is 1897-01-23 vs. Lafayette YMCA. Planned Team #16 Purdue foundation identity VEN-000262; Codespace Phase 0 must add this physical venue and its PROJECT_DISPLAY name to the global venue registry before ingestion.
1,purdue,lafayette-coliseum,VEN-000263,Lafayette Coliseum,,Lafayette,IN,arena,,,unknown,23,1907-01-10,1909-03-13,primary_home,1907-01-10,1909-03-13,exact,A Purdue game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Purdue official historical home-court evidence and Purdue year-by-year ledger.,Purdue institutional history states that 1907 home games were played at the downtown Lafayette Coliseum. Package relationship begins with the first established 1907 home row and ends with the final 1908-09 home row before Memorial Gymnasium opened for basketball. Planned Team #16 Purdue foundation identity VEN-000263; Codespace Phase 0 must add this physical venue and its PROJECT_DISPLAY name to the global venue registry before ingestion.
2,purdue,purdue-memorial-gymnasium,VEN-000264,Memorial Gymnasium,,West Lafayette,IN,gymnasium,1909,,YEAR,221,1910-01-08,1934-03-03,primary_home,1910-01-08,1934-03-03,exact,A Purdue game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Purdue official historical home-court evidence and Purdue year-by-year ledger.,First Purdue basketball game in Memorial Gymnasium was 1910-01-08. The package leaves all calendar-year 1929 Purdue home venue assignments blank because Purdue says four games moved to Lafayette Jefferson High School but does not identify the exact four rows. Planned Team #16 Purdue foundation identity VEN-000264; Codespace Phase 0 must add this physical venue and its PROJECT_DISPLAY name to the global venue registry before ingestion.
3,purdue,old-lafayette-jefferson-high-school-gymnasium,VEN-000265,Old Lafayette Jefferson High School Gymnasium,,Lafayette,IN,gymnasium,,,unknown,30,1934-12-10,1937-02-27,primary_home,1934-12-10,1937-02-27,exact,A Purdue game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Purdue official historical home-court evidence and Purdue year-by-year ledger.,Purdue institutional history says the high school gym hosted four Purdue home games in 1929 and then served again from 1934 until the new fieldhouse opened. This package assigns only the continuous 1934-37 run; the unresolved four 1929 rows are intentionally not allocated. Planned Team #16 Purdue foundation identity VEN-000265; Codespace Phase 0 must add this physical venue and its PROJECT_DISPLAY name to the global venue registry before ingestion.
4,purdue,lambert-fieldhouse,VEN-000266,Lambert Fieldhouse,,West Lafayette,IN,fieldhouse,1937,,YEAR,348,1937-12-11,1967-03-06,primary_home,1937-12-11,1967-03-06,exact,A Purdue game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Purdue official historical home-court evidence and Purdue year-by-year ledger.,Opened as Purdue Fieldhouse in 1937 and later known as Lambert Fieldhouse. First established Purdue basketball game is 1937-12-11; final package home assignment is 1967-03-06. Planned Team #16 Purdue foundation identity VEN-000266; Codespace Phase 0 must add this physical venue and its PROJECT_DISPLAY name to the global venue registry before ingestion.
5,purdue,mackey-arena,VEN-000122,Mackey Arena,,West Lafayette,IN,arena,1967-12-02,,EXACT,884,1967-12-02,2026-03-07,primary_home,1967-12-02,,exact,A Purdue game must already be independently classified home before primary-home chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Purdue official historical home-court evidence and Purdue year-by-year ledger. Purdue dedicated NCAA Tournament history and established physical-site identity. Owner-supplied completed 2025-26 results table. Purdue year-by-year NIT tournament footnotes.,Purdue Arena / Mackey Arena opened for Purdue basketball on 1967-12-02 vs. UCLA and remains the primary home venue.
6,purdue,amica-mutual-pavilion,VEN-000011,Amica Mutual Pavilion,,Providence,RI,arena,,,unknown,2,2025-03-20,2025-03-22,,,,,,Purdue dedicated NCAA Tournament history and established physical-site identity.,
7,purdue,simon-skjodt-assembly-hall,VEN-000186,Assembly Hall,,Bloomington,IN,arena,,,unknown,1,2026-01-27,2026-01-27,,,,,,Owner-supplied completed 2025-26 results table.,
8,purdue,baha-mar-convention-center,VEN-000267,Baha Mar Convention Center,,Nassau,BS,convention_center,,,unknown,2,2025-11-20,2025-11-21,,,,,,Owner-supplied completed 2025-26 results table.,Planned Team #16 Purdue foundation identity VEN-000267; Codespace Phase 0 must add this physical venue and its PROJECT_DISPLAY name to the global venue registry before ingestion.
9,purdue,ball-arena,VEN-000018,Ball Arena,,Denver,CO,arena,,,unknown,1,2016-03-17,2016-03-17,,,,,,Purdue dedicated NCAA Tournament history and established physical-site identity.,
