source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
rutgers,ALABAMA,alabama,Alabama,Yes,1,2024-2025,2024-2025,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,ALBANY,ualbany,UAlbany,Yes,1,1999-2000,1999-2000,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,ALBRIGHT,albright,Albright,No,4,1914-1915,1930-1931,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,AMERICAN,american-university,American,Yes,2,1980-1981,1984-1985,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,ARK.-MONT,arkansas-monticello,Arkansas-Monticello,No,1,2004-2005,2004-2005,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,ARMY,army,Army,Yes,8,1942-1943,2013-2014,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,ARMY ST PROGRAM,army-astp,Army ASTP,No,2,1944-1945,1944-1945,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,AUBURN,auburn,Auburn,Yes,1,2001-2002,2001-2002,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,AUSTIN PEAY,austin-peay,Austin Peay,Yes,1,2005-2006,2005-2006,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,Acadia,acadia,Acadia,No,1,1962-1963,1962-1963,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,Adelphi,adelphi,Adelphi,No,1,1959-1960,1959-1960,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,Air Force,air-force,Air Force,Yes,1,2004-2005,2004-2005,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,Akron,akron,Akron,Yes,1,1949-1950,1949-1950,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,Alabama,alabama,Alabama,Yes,1,1969-1970,1969-1970,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,Albany YMCA,albany-ymca,Albany YMCA,No,1,1907-1908,1907-1908,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,Albright,albright,Albright,No,1,1964-1965,1964-1965,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,American,american-university,American,Yes,2,1975-1976,2025-2026,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,Arizona,arizona,Arizona,Yes,2,1991-1992,1995-1996,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,Arizona St,arizona-state,Arizona State,Yes,1,1990-1991,1990-1991,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,Army,army,Army,Yes,16,1947-1948,1977-1978,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,Auburn,auburn,Auburn,Yes,5,1967-1968,2010-2011,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,BC,boston-college,Boston College,Yes,4,1995-1996,2004-2005,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,BENTLEY,bentley,Bentley,No,2,1975-1976,1976-1977,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,BINGHAMTON,binghamton,Binghamton,Yes,1,2008-2009,2008-2009,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,BISCAYNE,st-thomas-florida,St. Thomas University (FL),No,1,1979-1980,1979-1980,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,BOSTON,boston-university,Boston University,Yes,1,2023-2024,2023-2024,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,BOSTON COL,boston-college,Boston College,Yes,4,1976-1977,2002-2003,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
rutgers,BOSTON U,boston-university,Boston University,Yes,1,2018-2019,2018-2019,RESOLVED,Fresh Rutgers 2025-26 media-guide identity normalization against current project naming conventions; institutional lineage/reciprocal context used for ambiguous historical aliases.,,
