source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
RUTRAW-00001,rutgers,2025-26_rutgers_media_guide_year_by_year,1906-1907,1907,1907-01-18,NYU,NYU,nyu,No,16,38,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Rutgers 2025-26 Media Guide PDF p. 61,at NYU .................................................L ..........16-38,resolved,,,,,,,
RUTRAW-00002,rutgers,2025-26_rutgers_media_guide_year_by_year,1906-1907,1907,1907-02-09,Lehigh,Lehigh,lehigh,Yes,23,88,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Rutgers 2025-26 Media Guide PDF p. 61,at Lehigh ...........................................L ..........23-88,resolved,,,,,,,
RUTRAW-00003,rutgers,2025-26_rutgers_media_guide_year_by_year,1906-1907,1907,1907-02-16,NYU,NYU,nyu,No,19,20,L,0,,,H,SOURCE_PROGRAM_HOME,Ballantine Gymnasium,Ballantine Gymnasium,New Brunswick,NJ,,,REGULAR_SEASON,,Rutgers 2025-26 Media Guide PDF p. 61,NYU ......................................................L ..........19-20,resolved,,,,,,,
RUTRAW-00004,rutgers,2025-26_rutgers_media_guide_year_by_year,1907-1908,1908,1907-12-17,Swarthmore,Swarthmore,swarthmore,No,15,34,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Rutgers 2025-26 Media Guide PDF p. 61,at Swarthmore................................L ..........15-34,resolved,,,,,,,
RUTRAW-00005,rutgers,2025-26_rutgers_media_guide_year_by_year,1907-1908,1908,1907-12-19,MANHATTAN,Manhattan,manhattan,Yes,45,36,W,0,,,H,SOURCE_PROGRAM_HOME,Ballantine Gymnasium,Ballantine Gymnasium,New Brunswick,NJ,,,REGULAR_SEASON,,Rutgers 2025-26 Media Guide PDF p. 61,MANHATTAN ..................................W .........45-36,resolved,,,,,,,
RUTRAW-00006,rutgers,2025-26_rutgers_media_guide_year_by_year,1907-1908,1908,1908-01-10,NYU,NYU,nyu,No,22,47,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Rutgers 2025-26 Media Guide PDF p. 61,at NYU .................................................L ..........22-47,resolved,,,,,,,
RUTRAW-00007,rutgers,2025-26_rutgers_media_guide_year_by_year,1907-1908,1908,,FORDHAM,Fordham,fordham,Yes,,,W,0,DEFAULT,Rutgers current media guide records a scoreless W by default; no numerical score is asserted.,H,SOURCE_PROGRAM_HOME,Ballantine Gymnasium,Ballantine Gymnasium,New Brunswick,NJ,,,REGULAR_SEASON,,Rutgers 2025-26 Media Guide PDF p. 61,FORDHAM .......................................W ......default,resolved,H/A/N resolved from Rutgers chronological-ledger syntax: unprefixed opponent denotes a home listing; cross-checked against season H/A/N summaries and facility-era totals.,,,,,,
RUTRAW-00008,rutgers,2025-26_rutgers_media_guide_year_by_year,1907-1908,1908,1908-01-17,Albany YMCA,Albany YMCA,albany-ymca,No,27,37,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Rutgers 2025-26 Media Guide PDF p. 61,at Albany YMCA .............................L ..........27-37,resolved,,,,,,,
RUTRAW-00009,rutgers,2025-26_rutgers_media_guide_year_by_year,1907-1908,1908,1908-01-18,Williams,Williams,williams,No,3,48,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Rutgers 2025-26 Media Guide PDF p. 61,at Williams.........................................L .............3-48,resolved,,,,,,,
RUTRAW-00010,rutgers,2025-26_rutgers_media_guide_year_by_year,1907-1908,1908,1908-01-22,NYU,NYU,nyu,No,14,35,L,0,,,H,SOURCE_PROGRAM_HOME,Ballantine Gymnasium,Ballantine Gymnasium,New Brunswick,NJ,,,REGULAR_SEASON,,Rutgers 2025-26 Media Guide PDF p. 61,NYU ......................................................L ..........14-35,resolved,,,,,,,
