index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,south-carolina,300th Infantry,300th-infantry,300th Infantry,No,2,1944-1945,1944-1945,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
1,south-carolina,317th Field Artillery,317th-field-artillery,317th Field Artillery,No,1,1917-1918,1917-1918,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
2,south-carolina,323rd Regiment,323rd-regiment,323rd Regiment,No,1,1917-1918,1917-1918,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
3,south-carolina,402nd Signal Batallion,402nd-signal-batallion,402nd Signal Batallion,No,1,1917-1918,1917-1918,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
4,south-carolina,812th Tankers,812th-tankers,812th Tankers,No,1,1944-1945,1944-1945,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
5,south-carolina,Air Force,air-force,Air Force,Yes,1,1966-1967,1966-1967,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
6,south-carolina,Akron,akron,Akron,Yes,3,2013-2014,2014-2015,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
7,south-carolina,Alabama,alabama,Alabama,Yes,53,1922-1923,2025-2026,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
8,south-carolina,Alabama A&M,alabama-a-m,Alabama A&M,Yes,1,2009-2010,2009-2010,RESOLVED,Current D1 registry / established institutional lineage,,
9,south-carolina,Alabama-Birmingham,uab,UAB,Yes,3,1985-1986,1992-1993,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
10,south-carolina,Alaska Anchorage,alaska-anchorage,Alaska Anchorage,No,1,2005-2006,2005-2006,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
11,south-carolina,Alaska-Anchorage,alaska-anchorage,Alaska Anchorage,No,1,1990-1991,1990-1991,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
12,south-carolina,Allen,allen,Allen,No,1,2021-2022,2021-2022,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
13,south-carolina,Appalachian St.,app-state,App State,Yes,1,2012-2013,2012-2013,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
14,south-carolina,Appalachian State,app-state,App State,Yes,3,2002-2003,2004-2005,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
15,south-carolina,Arizona State,arizona-state,Arizona State,Yes,1,1982-1983,1982-1983,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
