index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,SCARAW-00001,south-carolina,2025-26_media_guide_year_by_year,1908-1909,1909,1908-10-30,Furman,Furman,furman,Yes,19,21,L,0,,,unpref,SOURCE_PROGRAM_HOME,,,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,O.30 Furman 19-21 L,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,"South Carolina official homecourt history says the program’s first five collegiate games were played outside and does not identify a surviving physical court/building; HOME and Columbia, SC are established, but a physical venue is not invented.",,,,
1,SCARAW-00002,south-carolina,2025-26_media_guide_year_by_year,1908-1909,1909,1908-12-19,Columbia YMCA,Columbia YMCA,columbia-ymca,No,21,37,L,0,,,unpref,SOURCE_PROGRAM_HOME,,,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,D.19 Columbia YMCA 21-37 L,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,"South Carolina official homecourt history says the program’s first five collegiate games were played outside and does not identify a surviving physical court/building; HOME and Columbia, SC are established, but a physical venue is not invented.",,,,
2,SCARAW-00003,south-carolina,2025-26_media_guide_year_by_year,1908-1909,1909,1909-02-25,Wofford,Wofford,wofford,Yes,18,23,L,0,,,unpref,SOURCE_PROGRAM_HOME,,,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,F.25 Wofford 18-23 L,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,"South Carolina official homecourt history says the program’s first five collegiate games were played outside and does not identify a surviving physical court/building; HOME and Columbia, SC are established, but a physical venue is not invented.",,,,
3,SCARAW-00004,south-carolina,2025-26_media_guide_year_by_year,1909-1910,1910,1909-11-02,Davidson,Davidson,davidson,Yes,8,29,L,0,,,unpref,SOURCE_PROGRAM_HOME,,,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,N. 2 Davidson 8-29 L,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,"South Carolina official homecourt history says the program’s first five collegiate games were played outside and does not identify a surviving physical court/building; HOME and Columbia, SC are established, but a physical venue is not invented.",,,,
4,SCARAW-00005,south-carolina,2025-26_media_guide_year_by_year,1910-1911,1911,1911-02-14,Columbia YMCA,Columbia YMCA,columbia-ymca,No,31,18,W,0,,,unpref,SOURCE_PROGRAM_HOME,,,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,F.14 Columbia YMCA 31-18 W,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,"South Carolina official homecourt history says the program’s first five collegiate games were played outside and does not identify a surviving physical court/building; HOME and Columbia, SC are established, but a physical venue is not invented.",,,,
5,SCARAW-00006,south-carolina,2025-26_media_guide_year_by_year,1910-1911,1911,1911-02-18,Newberry,Newberry,newberry,No,5,38,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,F.18 at Newberry 5-38 L,resolved,,,,,,,
6,SCARAW-00007,south-carolina,2025-26_media_guide_year_by_year,1911-1912,1912,1912-01-07,Olympia YMCA,Olympia YMCA,olympia-ymca,No,33,5,W,0,,,unpref,SOURCE_PROGRAM_HOME,,Carolina Gymnasium,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,J. 7 Olympia YMCA* 33-5 W,resolved,"South Carolina history page establishes 1912-01-07 as the Carolina Gymnasium opener. The dedicated homecourt page prints “Jan. 7, 1911” but also says the gymnasium renovation was completed in December 1911 and places the game in 1911-12; treated as an internal year typo.",,,,,,
7,SCARAW-00008,south-carolina,2025-26_media_guide_year_by_year,1911-1912,1912,1912-01-12,Newberry,Newberry,newberry,No,25,27,L,1,,,unpref,SOURCE_PROGRAM_HOME,,Carolina Gymnasium,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,J.12 Newberry (OT) 25-27 L,resolved,,,,,,,
8,SCARAW-00009,south-carolina,2025-26_media_guide_year_by_year,1911-1912,1912,1912-01-19,Davidson,Davidson,davidson,Yes,33,35,L,0,,,unpref,SOURCE_PROGRAM_HOME,,Carolina Gymnasium,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,J.19 Davidson 33-35 L,resolved,,,,,,,
9,SCARAW-00010,south-carolina,2025-26_media_guide_year_by_year,1911-1912,1912,1912-02-13,Wofford,Wofford,wofford,Yes,27,26,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,F.13 at Wofford 27-26 W,resolved,,,,,,,
10,SCARAW-00011,south-carolina,2025-26_media_guide_year_by_year,1911-1912,1912,1912-02-23,Olympia YMCA,Olympia YMCA,olympia-ymca,No,16,10,W,0,,,unpref,SOURCE_PROGRAM_HOME,,Carolina Gymnasium,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,F.23 Olympia YMCA 16-10 W,resolved,,,,,,,
11,SCARAW-00012,south-carolina,2025-26_media_guide_year_by_year,1911-1912,1912,1912-02-28,Newberry,Newberry,newberry,No,6,24,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,F.28 at Newberry 6-24 L,resolved,,,,,,,
12,SCARAW-00013,south-carolina,2025-26_media_guide_year_by_year,1911-1912,1912,1912-02-29,Wofford,Wofford,wofford,Yes,20,26,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,F.29 at Wofford 20-26 L,resolved,,,,,,,
13,SCARAW-00014,south-carolina,2025-26_media_guide_year_by_year,1912-1913,1913,1913-01-10,Washington & Lee,Washington & Lee,washington-and-lee,No,7,47,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,J.10 at Washington & Lee 7-47 L,resolved,,,,,,,
14,SCARAW-00015,south-carolina,2025-26_media_guide_year_by_year,1912-1913,1913,1913-01-11,V.M.I.,VMI,vmi,Yes,13,26,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,J.11 at V.M.I. 13-26 L,resolved,,,,,,,
15,SCARAW-00016,south-carolina,2025-26_media_guide_year_by_year,1912-1913,1913,1913-01-31,Newberry,Newberry,newberry,No,44,10,W,0,,,unpref,SOURCE_PROGRAM_HOME,,Carolina Gymnasium,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,J.31 Newberry 44-10 W,resolved,,,,,,,
16,SCARAW-00017,south-carolina,2025-26_media_guide_year_by_year,1912-1913,1913,1913-02-06,Clemson,Clemson,clemson,Yes,39,18,W,0,,,unpref,SOURCE_PROGRAM_HOME,,Carolina Gymnasium,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,F. 6 Clemson 39-18 W,resolved,,,,,,,
17,SCARAW-00018,south-carolina,2025-26_media_guide_year_by_year,1912-1913,1913,1913-02-22,Wake Forest,Wake Forest,wake-forest,Yes,20,27,L,0,,,unpref,SOURCE_PROGRAM_HOME,,Carolina Gymnasium,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,F.22 Wake Forest 20-27 L,resolved,,,,,,,
18,SCARAW-00019,south-carolina,2025-26_media_guide_year_by_year,1913-1914,1914,1913-12-12,Newberry,Newberry,newberry,No,30,10,W,0,,,unpref,SOURCE_PROGRAM_HOME,,Carolina Gymnasium,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,D.12 Newberry 30-10 W,resolved,,,,,,,
19,SCARAW-00020,south-carolina,2025-26_media_guide_year_by_year,1913-1914,1914,1914-01-13,Wake Forest,Wake Forest,wake-forest,Yes,8,54,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,J.13 at Wake Forest 8-54 L,resolved,,,,,,,
20,SCARAW-00021,south-carolina,2025-26_media_guide_year_by_year,1913-1914,1914,1914-01-14,N.C. State,NC State,nc-state,Yes,15,30,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,J.14 at N.C. State 15-30 L,resolved,,,,,,,
21,SCARAW-00022,south-carolina,2025-26_media_guide_year_by_year,1913-1914,1914,1914-01-16,Washington & Lee,Washington & Lee,washington-and-lee,No,5,52,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,J.16 at Washington & Lee 5-52 L,resolved,,,,,,,
22,SCARAW-00023,south-carolina,2025-26_media_guide_year_by_year,1913-1914,1914,1914-01-17,V.M.I.,VMI,vmi,Yes,6,35,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,J.17 at V.M.I. 6-35 L,resolved,,,,,,,
23,SCARAW-00024,south-carolina,2025-26_media_guide_year_by_year,1913-1914,1914,1914-02-07,The Citadel,The Citadel,the-citadel,Yes,24,15,W,0,,,unpref,SOURCE_PROGRAM_HOME,,Carolina Gymnasium,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,F. 7 The Citadel 24-15 W,resolved,,,,,,,
24,SCARAW-00025,south-carolina,2025-26_media_guide_year_by_year,1913-1914,1914,1914-02-14,Furman,Furman,furman,Yes,32,16,W,0,,,unpref,SOURCE_PROGRAM_HOME,,Carolina Gymnasium,Columbia,SC,,,REGULAR_SEASON,,South Carolina 2025-26 Records & History PDF p. 26,F.14 Furman 32-16 W,resolved,,,,,,,
