index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,stanford,1921 Varsity,stanford-1921-varsity,Stanford 1921 Varsity,No,1,1922-1923,1922-1923,RESOLVED,RESEARCH_RESOLVED_NON_D1,,Stanford's official year-by-year history literally lists the opponent; no evidence supports attachment to another institution. Owner Stage 5 NON_D1 sanity scan approved with zero flagged identities. Representative raw labels: 1921 Varsity
1,stanford,8th Infantry,8th-infantry,8th Infantry,No,2,1917-1918,1917-1918,RESOLVED,RESEARCH_RESOLVED_NON_D1,,Literal historical/lower-division/club/service/select identity retained distinctly; no supported current-D1 merge. Owner Stage 5 NON_D1 sanity scan approved with zero flagged identities. Representative raw labels: 8th Infantry
2,stanford,Air Force,air-force,Air Force,Yes,12,1966-1967,2008-2009,RESOLVED,CURRENT_REGISTRY_RESOLVED,,Protected-main current program registry / direct canonical program identity. Representative raw labels: Air Force | at Air Force | Air Force (1)
3,stanford,Alabama,alabama,Alabama,Yes,4,1991-1992,2020-2021,RESOLVED,CURRENT_REGISTRY_RESOLVED,,Protected-main current program registry / direct canonical program identity. Representative raw labels: Alabama (3) | Alabama (4) | at Alabama (5) | #25/RV Alabama (1)
4,stanford,Alaska,alaska-anchorage,Alaska Anchorage,No,1,1977-1978,1977-1978,RESOLVED,RESEARCH_RESOLVED_NON_D1,,Alaska Anchorage's official 1977-78 schedule contains the matching 98-108 Stanford game. Owner Stage 5 NON_D1 sanity scan approved with zero flagged identities. Representative raw labels: Alaska
5,stanford,Alaska Anchorage,alaska-anchorage,Alaska Anchorage,No,2,1996-1997,1996-1997,RESOLVED,RESEARCH_RESOLVED_NON_D1,,Literal historical/lower-division/club/service/select identity retained distinctly; no supported current-D1 merge. Owner Stage 5 NON_D1 sanity scan approved with zero flagged identities. Representative raw labels: Alaska Anchorage (1) | Alaska Anchorage
6,stanford,Alcorn State,alcorn-state,Alcorn State,Yes,2,1998-1999,2012-2013,RESOLVED,CURRENT_REGISTRY_RESOLVED,,Protected-main current program registry / direct canonical program identity. Representative raw labels: Alcorn State (6) | Alcorn State (2)
7,stanford,Alhambra AC,alhambra-athletic-club,Alhambra Athletic Club,No,1,1926-1927,1926-1927,RESOLVED,RESEARCH_RESOLVED_NON_D1,,Literal historical/lower-division/club/service/select identity retained distinctly; no supported current-D1 merge. Owner Stage 5 NON_D1 sanity scan approved with zero flagged identities. Representative raw labels: at Alhambra AC
8,stanford,Ambers Club,ambers-club,Ambers Club,No,1,1925-1926,1925-1926,RESOLVED,RESEARCH_RESOLVED_NON_D1,,Literal historical/lower-division/club/service/select identity retained distinctly; no supported current-D1 merge. Owner Stage 5 NON_D1 sanity scan approved with zero flagged identities. Representative raw labels: Ambers Club (1)
9,stanford,American,american-university,American,Yes,3,1992-1993,1995-1996,RESOLVED,CURRENT_REGISTRY_RESOLVED,,Protected-main current program registry / direct canonical program identity. Representative raw labels: American (2) | at American | American
10,stanford,Arizona,arizona,Arizona,Yes,106,1937-1938,2023-2024,RESOLVED,CURRENT_REGISTRY_RESOLVED,,"Protected-main current program registry / direct canonical program identity. Representative raw labels: at Arizona | at Arizona (at Phoenix, AZ) | Arizona | Arizona (1) | * at Arizona | * Arizona | Arizona (4) | Arizona (5) | Arizona (3) | * No. 1/1 Arizona | * at No. 3/3 Arizona | * at No. 7/7 Arizona | * No. 21/22 Arizona | * #14/17 Arizona | * at #19/22 Arizona | * #18/18 Arizona | * at #9/10 Arizona | * No. 12/11 Arizona | * at No. 18/16 Arizona | * No. 7/7 Arizona | * #4/4 Arizona | *at #11/12 Arizona | #8/9 Arizona (5) | * #3/3 Arizona | * at #2/3 Arizona | #2/2 Arizona (3) | * vs. Arizona (2)"
