index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,STAN-R-0001,stanford,STANFORD_CURRENT_YEAR_BY_YEAR,2024-2025,2025,2024-11-04,Denver,Denver,denver,Yes,85,62,W,0,,,H,SOURCE_PROGRAM_HOME,Maples Pavilion,Maples Pavilion,Stanford,CA,,,REGULAR_SEASON,,Stanford current Year-By-Year Results (-8),2024-11-04 Denver W 85-62,RESOLVED,,,,,,,
1,STAN-R-0002,stanford,STANFORD_CURRENT_YEAR_BY_YEAR,2024-2025,2025,2024-11-08,Cal State Fullerton,Cal State Fullerton,cal-state-fullerton,Yes,80,53,W,0,,,H,SOURCE_PROGRAM_HOME,Maples Pavilion,Maples Pavilion,Stanford,CA,,,REGULAR_SEASON,,Stanford current Year-By-Year Results (-8),2024-11-08 Cal State Fullerton W 80-53,RESOLVED,,,,,,,
2,STAN-R-0003,stanford,STANFORD_CURRENT_YEAR_BY_YEAR,2024-2025,2025,2024-11-12,Northern Arizona,Northern Arizona,northern-arizona,Yes,90,64,W,0,,,H,SOURCE_PROGRAM_HOME,Maples Pavilion,Maples Pavilion,Stanford,CA,,,REGULAR_SEASON,,Stanford current Year-By-Year Results (-8),2024-11-12 Northern Arizona W 90-64,RESOLVED,,,,,,,
3,STAN-R-0004,stanford,STANFORD_CURRENT_YEAR_BY_YEAR,2024-2025,2025,2024-11-17,UC Davis,UC Davis,uc-davis,Yes,79,65,W,0,,,H,SOURCE_PROGRAM_HOME,Maples Pavilion,Maples Pavilion,Stanford,CA,,,REGULAR_SEASON,,Stanford current Year-By-Year Results (-8),2024-11-17 UC Davis W 79-65,RESOLVED,,,,,,,
4,STAN-R-0005,stanford,STANFORD_CURRENT_YEAR_BY_YEAR,2024-2025,2025,2024-11-20,Norfolk State,Norfolk State,norfolk-state,Yes,70,63,W,0,,,H,SOURCE_PROGRAM_HOME,Maples Pavilion,Maples Pavilion,Stanford,CA,,,REGULAR_SEASON,,Stanford current Year-By-Year Results (-8),2024-11-20 Norfolk State W 70-63,RESOLVED,,,,,,,
5,STAN-R-0006,stanford,STANFORD_CURRENT_YEAR_BY_YEAR,2024-2025,2025,2024-11-23,at Santa Clara,Santa Clara,santa-clara,Yes,71,69,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Stanford current Year-By-Year Results (-8),2024-11-23 at Santa Clara W 71-69,RESOLVED,,,,,,,
6,STAN-R-0007,stanford,STANFORD_CURRENT_YEAR_BY_YEAR,2024-2025,2025,2024-11-26,Grand Canyon (1),Grand Canyon,grand-canyon,Yes,71,78,L,0,,,N,NEUTRAL,Acrisure Arena,Acrisure Arena,Palm Desert,CA,,,REGULAR_SEASON,,Stanford current Year-By-Year Results (-8),2024-11-26 Grand Canyon (1) L 71-78,RESOLVED,,,,,,,
7,STAN-R-0008,stanford,STANFORD_CURRENT_YEAR_BY_YEAR,2024-2025,2025,2024-11-30,Cal Poly,Cal Poly,cal-poly,Yes,90,97,L,0,,,H,SOURCE_PROGRAM_HOME,Maples Pavilion,Maples Pavilion,Stanford,CA,,,REGULAR_SEASON,,Stanford current Year-By-Year Results (-8),2024-11-30 Cal Poly L 90-97,RESOLVED,,,,,,,
8,STAN-R-0009,stanford,STANFORD_CURRENT_YEAR_BY_YEAR,2024-2025,2025,2024-12-03,Utah Valley,Utah Valley,utah-valley,Yes,77,63,W,0,,,H,SOURCE_PROGRAM_HOME,Maples Pavilion,Maples Pavilion,Stanford,CA,,,REGULAR_SEASON,,Stanford current Year-By-Year Results (-8),2024-12-03 Utah Valley W 77-63,RESOLVED,,,,,,,
9,STAN-R-0010,stanford,STANFORD_CURRENT_YEAR_BY_YEAR,2024-2025,2025,2024-12-07,* at California,California,california,Yes,89,81,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Stanford current Year-By-Year Results (-8),2024-12-07 * at California W 89-81,RESOLVED,,,,,,,
