index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,stanford,acrisure-arena,VEN-000242,Acrisure Arena,,Palm Desert,CA,arena,,,,3,2024-11-26,2025-11-28,GAME_SITE,2024-2025,2025-2026,SEASON,Venue identity never establishes H/A/N; relationship applies only after independent site classification.,"Accepted Stanford Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research-base reuse: VEN-000242. Integration rebase resolved final global venue ID VEN-000242.
1,stanford,alamodome,VEN-000002,Alamodome,,San Antonio,TX,arena,,,,1,1998-03-28,1998-03-28,GAME_SITE,1997-1998,1997-1998,SEASON,Venue identity never establishes H/A/N; relationship applies only after independent site classification.,"Accepted Stanford Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research-base reuse: VEN-000002. Integration rebase resolved final global venue ID VEN-000002.
2,stanford,amica-mutual-pavilion,VEN-000011,Amica Mutual Pavilion,Providence Civic Center,Providence,RI,arena,,,,2,1996-03-14,1996-03-16,GAME_SITE,1995-1996,1995-1996,SEASON,Venue identity never establishes H/A/N; relationship applies only after independent site classification.,"Accepted Stanford Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research-base reuse: VEN-000011. Integration rebase resolved final global venue ID VEN-000011.
3,stanford,banterra-center,VEN-000458,Banterra Center,SIU Arena,Carbondale,IL,arena,,,,1,1991-03-21,1991-03-21,GAME_SITE,1990-1991,1990-1991,SEASON,Venue identity never establishes H/A/N; relationship applies only after independent site classification.,"Accepted Stanford Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research-base reuse: VEN-000458. Integration rebase resolved final global venue ID VEN-000458.
4,stanford,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,,6,2013-11-25,2015-11-27,GAME_SITE,2013-2014,2015-2016,SEASON,Venue identity never establishes H/A/N; relationship applies only after independent site classification.,"Accepted Stanford Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research-base reuse: VEN-000020. Integration rebase resolved final global venue ID VEN-000020.
5,stanford,charles-koch-arena,VEN-000039,Charles Koch Arena,,Wichita,KS,arena,,,,1,2009-03-23,2009-03-23,GAME_SITE,2008-2009,2008-2009,SEASON,Venue identity never establishes H/A/N; relationship applies only after independent site classification.,"Accepted Stanford Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research-base reuse: VEN-000039. Integration rebase resolved final global venue ID VEN-000039.
6,stanford,charlotte-coliseum-1988,VEN-000041,Charlotte Coliseum,,Charlotte,NC,arena,,,,1,2005-03-18,2005-03-18,GAME_SITE,2004-2005,2004-2005,SEASON,Venue identity never establishes H/A/N; relationship applies only after independent site classification.,"Accepted Stanford Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research-base reuse: VEN-000041. Integration rebase resolved final global venue ID VEN-000041.
7,stanford,coleman-coliseum,VEN-000048,Coleman Coliseum,,Tuscaloosa,AL,arena,,,,1,2013-03-23,2013-03-23,GAME_SITE,2012-2013,2012-2013,SEASON,Venue identity never establishes H/A/N; relationship applies only after independent site classification.,"Accepted Stanford Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research-base reuse: VEN-000048. Integration rebase resolved final global venue ID VEN-000048.
8,stanford,cow-palace,VEN-000289,Cow Palace,,Daly City,CA,arena,,,,3,1948-12-27,1948-12-30,GAME_SITE,1948-1949,1948-1949,SEASON,Venue identity never establishes H/A/N; relationship applies only after independent site classification.,"Accepted Stanford Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research-base reuse: VEN-000289. Integration rebase resolved final global venue ID VEN-000289.
9,stanford,crypto-com-arena,VEN-000051,Crypto.com Arena,STAPLES Center,Los Angeles,CA,arena,,,,19,2002-03-07,2012-03-08,GAME_SITE,2001-2002,2011-2012,SEASON,Venue identity never establishes H/A/N; relationship applies only after independent site classification.,"Accepted Stanford Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research-base reuse: VEN-000051. Integration rebase resolved final global venue ID VEN-000051.
