index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,tcu,Abilene Christian,abilene-christian,Abilene Christian,Yes,17,1914-1915,2015-2016,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: Abilene Christian | at Abilene Christian
1,tcu,Ada Teachers,east-central-state-teachers-college,East Central State Teachers College,No,1,1931-1932,1931-1932,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Stage 2 identity status: NON_D1_RESOLVED. Representative raw labels: at Ada Teachers
2,tcu,Air Force,air-force,Air Force,Yes,17,1998-1999,2019-2020,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: *Air Force | *at Air Force | Air Force
3,tcu,Alabama,alabama,Alabama,Yes,7,1953-1954,1994-1995,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: #(6) Alabama | #Alabama | $Alabama
4,tcu,Alabama State,alabama-state,Alabama State,Yes,3,1994-1995,2016-2017,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: +Alabama State | Alabama State
5,tcu,Alaska-Anchorage,alaska-anchorage,Alaska Anchorage,No,3,1995-1996,2013-2014,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Stage 2 identity status: NON_D1_RESOLVED. Representative raw labels: #at Alaska-Anchorage | Alaska-Anchorage | at #Alaska-Anchorage
6,tcu,Alaska-Fairbanks,alaska-fairbanks,Alaska Fairbanks,No,1,1999-2000,1999-2000,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Stage 2 identity status: NON_D1_RESOLVED. Representative raw labels: #at Alaska-Fairbanks
7,tcu,Alcorn,alcorn-state,Alcorn State,Yes,2,2023-2024,2024-2025,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: Alcorn
8,tcu,American-P.R.,american-university-of-puerto-rico,American University of Puerto Rico,No,1,1997-1998,1997-1998,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Stage 2 identity status: NON_D1_RESOLVED. Representative raw labels: +at American-P.R.
9,tcu,Angelo State,angelo-state,Angelo State,No,1,2007-2008,2007-2008,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Stage 2 identity status: NON_D1_RESOLVED. Representative raw labels: Angelo State
10,tcu,Antlers Hotel,antlers-hotel,Antlers Hotel,No,1,1937-1938,1937-1938,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Stage 2 identity status: NON_D1_RESOLVED. Representative raw labels: Antlers Hotel
11,tcu,Appalachian State,app-state,App State,Yes,1,2001-2002,2001-2002,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: Appalachian State
12,tcu,Arizona,arizona,Arizona,Yes,5,1939-1940,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: ! (2) vs. Arizona | #1 Arizona | #Arizona | $Arizona | *at Arizona
13,tcu,Arizona State,arizona-state,Arizona State,Yes,8,1982-1983,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: ! vs. Arizona State | #Arizona State | #at Arizona State | *Arizona State | @at Arizona State | Arizona State | ^vs. Arizona State
14,tcu,Ark.-Monticello,arkansas-monticello,Arkansas-Monticello,No,1,2001-2002,2001-2002,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Stage 2 identity status: NON_D1_RESOLVED. Representative raw labels: %Ark.-Monticello
15,tcu,Arkansas,arkansas,Arkansas,Yes,143,1923-1924,2019-2020,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: #Arkansas | $(14) Arkansas | $(4) at Arkansas | $(6) Arkansas | $Arkansas | $at Arkansas | *(11) Arkansas | *(14) at Arkansas
16,tcu,Arkansas - Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,1,2022-2023,2022-2023,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: Arkansas - Pine Bluff
17,tcu,Arkansas State,arkansas-state,Arkansas State,Yes,5,1992-1993,2016-2017,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: #at Arkansas State | Arkansas State | at Arkansas State
18,tcu,Arkansas-Little Rock,little-rock,Little Rock,Yes,2,1990-1991,1991-1992,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: Arkansas-Little Rock
19,tcu,Arkansas-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,5,2000-2001,2007-2008,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Stage 2 identity status: CURRENT_D1_DIRECT_OR_VARIANT. Representative raw labels: Arkansas-Pine Bluff
