index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,TCU-R-00001,tcu,TCU 2025-26 Fact Book year-by-year results,1908-1909,1909,,at Baylor 1st Team,Baylor First Team,baylor-first-team,No,6,37,L,0,,,,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Tcu.pdf file page 97,      L 6-37 at Baylor 1st Team,resolved,Accepted from TCU fact-book year-by-year results; subject to Stage 1 reconciliation.,,,,,,
1,TCU-R-00002,tcu,TCU 2025-26 Fact Book year-by-year results,1908-1909,1909,,at Baylor 2nd Team,Baylor Second Team,baylor-second-team,No,,,L,0,,,,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Tcu.pdf file page 97,      L  -   at Baylor 2nd Team,resolved,Accepted from TCU fact-book year-by-year results; subject to Stage 1 reconciliation.,,,,,,
2,TCU-R-00003,tcu,TCU 2025-26 Fact Book year-by-year results,1908-1909,1909,,at Baylor 1st Team,Baylor First Team,baylor-first-team,No,9,39,L,0,,,,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Tcu.pdf file page 97,      L 9-39 at Baylor 1st Team,resolved,Accepted from TCU fact-book year-by-year results; subject to Stage 1 reconciliation.,,,,,,
3,TCU-R-00004,tcu,TCU 2025-26 Fact Book year-by-year results,1908-1909,1909,,at Waco YMCA,Waco YMCA,waco-ymca,No,27,4,W,0,,,,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Tcu.pdf file page 97,      W 27-4  at Waco YMCA,resolved,Accepted from TCU fact-book year-by-year results; subject to Stage 1 reconciliation.,,,,,,
4,TCU-R-00005,tcu,TCU 2025-26 Fact Book year-by-year results,1908-1909,1909,,at Waco YMCA,Waco YMCA,waco-ymca,No,25,22,W,0,,,,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Tcu.pdf file page 97,      W 25-22 at Waco YMCA,resolved,Accepted from TCU fact-book year-by-year results; subject to Stage 1 reconciliation.,,,,,,
5,TCU-R-00006,tcu,TCU 2025-26 Fact Book year-by-year results,1909-1910,1910,,at Baylor,Baylor,baylor,Yes,22,35,L,0,,,,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Tcu.pdf file page 97,      L 22-35   at Baylor,resolved,Accepted from TCU fact-book year-by-year results; subject to Stage 1 reconciliation.,,,,,,
6,TCU-R-00007,tcu,TCU 2025-26 Fact Book year-by-year results,1909-1910,1910,,at Baylor,Baylor,baylor,Yes,25,82,L,0,,,,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Tcu.pdf file page 97,      L 25-82   at Baylor,resolved,Accepted from TCU fact-book year-by-year results; subject to Stage 1 reconciliation.,,,,,,
7,TCU-R-00008,tcu,TCU 2025-26 Fact Book year-by-year results,1909-1910,1910,,at Waco YMCA,Waco YMCA,waco-ymca,No,6,58,L,0,,,,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Tcu.pdf file page 97,      L 6-58  at Waco YMCA,resolved,Accepted from TCU fact-book year-by-year results; subject to Stage 1 reconciliation.,,,,,,
8,TCU-R-00009,tcu,TCU 2025-26 Fact Book year-by-year results,1909-1910,1910,,at Waco YMCA,Waco YMCA,waco-ymca,No,23,19,W,0,,,,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Tcu.pdf file page 97,      W 23-19 at Waco YMCA,resolved,Accepted from TCU fact-book year-by-year results; subject to Stage 1 reconciliation.,,,,,,
9,TCU-R-00010,tcu,TCU 2025-26 Fact Book year-by-year results,1909-1910,1910,,at Baylor,Baylor,baylor,Yes,14,66,L,0,,,,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Tcu.pdf file page 97,      L 14-66   at Baylor,resolved,Accepted from TCU fact-book year-by-year results; subject to Stage 1 reconciliation.,,,,,,
