index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,tcu,ahearn-field-house,VEN-000001,Ahearn Fieldhouse,,Manhattan,KS,arena,,,,2,1953-03-13,1953-03-14,GAME_SITE,,,,Venue never establishes H/A/N; assignment follows independently researched site classification.,"TCU 2025-26 Fact Book, official TCU schedules, NCAA/postseason evidence, and owner-authorized TCU-only conference-tournament site worksheet where applicable.",Research-base physical reuse candidate; numeric ID must be authoritatively rebased in serialized Implementation. Integration rebase resolved final global venue ID VEN-000001.
1,tcu,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,arena,,,,2,1959-03-13,1959-03-14,GAME_SITE,,,,Venue never establishes H/A/N; assignment follows independently researched site classification.,"TCU 2025-26 Fact Book, official TCU schedules, NCAA/postseason evidence, and owner-authorized TCU-only conference-tournament site worksheet where applicable.",Research-base physical reuse candidate; numeric ID must be authoritatively rebased in serialized Implementation. Integration rebase resolved final global venue ID VEN-000003.
2,tcu,ball-arena,VEN-000018,Ball Arena,,Denver,CO,arena,,,,3,2006-03-07,2023-03-19,GAME_SITE,,,,Venue never establishes H/A/N; assignment follows independently researched site classification.,"TCU 2025-26 Fact Book, official TCU schedules, NCAA/postseason evidence, and owner-authorized TCU-only conference-tournament site worksheet where applicable.",Research-base physical reuse candidate; numeric ID must be authoritatively rebased in serialized Implementation. Integration rebase resolved final global venue ID VEN-000018.
3,tcu,bon-secours-wellness-arena,VEN-000025,Bon Secours Wellness Arena,,Greenville,SC,arena,,,,2,2026-03-19,2026-03-21,GAME_SITE,,,,Venue never establishes H/A/N; assignment follows independently researched site classification.,"TCU 2025-26 Fact Book, official TCU schedules, NCAA/postseason evidence, and owner-authorized TCU-only conference-tournament site worksheet where applicable.",Research-base physical reuse candidate; numeric ID must be authoritatively rebased in serialized Implementation. Integration rebase resolved final global venue ID VEN-000025.
4,tcu,charlotte-coliseum-1955,VEN-000040,Charlotte Coliseum,,Charlotte,NC,arena,,,,2,1987-03-12,1987-03-14,GAME_SITE,,,,Venue never establishes H/A/N; assignment follows independently researched site classification.,"TCU 2025-26 Fact Book, official TCU schedules, NCAA/postseason evidence, and owner-authorized TCU-only conference-tournament site worksheet where applicable.",Physical identity established in TCU research; research-local VEN-990xxx ID is provisional until serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000040.
5,tcu,schollmaier-arena,VEN-000370,Schollmaier Arena,Daniel-Meyer Coliseum;Ed and Rae Schollmaier Arena,Fort Worth,TX,arena,,,,927,1961-12-18,2026-03-07,GAME_SITE,,,,Venue never establishes H/A/N; assignment follows independently researched site classification.,"TCU 2025-26 Fact Book, official TCU schedules, NCAA/postseason evidence, and owner-authorized TCU-only conference-tournament site worksheet where applicable.",Physical identity established in TCU research; research-local VEN-990xxx ID is provisional until serialized current-main rebase. Implementation current-main reconciliation: Daniel-Meyer Coliseum and Ed and Rae Schollmaier Arena are naming eras of the existing Schollmaier Arena physical identity. Integration rebase resolved final global venue ID VEN-000370.
6,tcu,dickies-arena,VEN-000057,Dickies Arena,,Fort Worth,TX,arena,,,,5,2019-12-06,2019-12-06,GAME_SITE,,,,Venue never establishes H/A/N; assignment follows independently researched site classification.,"TCU 2025-26 Fact Book, official TCU schedules, NCAA/postseason evidence, and owner-authorized TCU-only conference-tournament site worksheet where applicable.",Research-base physical reuse candidate; numeric ID must be authoritatively rebased in serialized Implementation. Integration rebase resolved final global venue ID VEN-000057.
7,tcu,fedexforum,VEN-000062,FedExForum,,Memphis,TN,arena,,,,2,2005-03-09,2005-03-10,GAME_SITE,,,,Venue never establishes H/A/N; assignment follows independently researched site classification.,"TCU 2025-26 Fact Book, official TCU schedules, NCAA/postseason evidence, and owner-authorized TCU-only conference-tournament site worksheet where applicable.",Research-base physical reuse candidate; numeric ID must be authoritatively rebased in serialized Implementation. Integration rebase resolved final global venue ID VEN-000062.
8,tcu,first-baptist-church,VEN-000587,First Baptist Church,,Fort Worth,TX,arena,,,,38,1923-01-11,1924-03-01,GAME_SITE,,,,Venue never establishes H/A/N; assignment follows independently researched site classification.,"TCU 2025-26 Fact Book, official TCU schedules, NCAA/postseason evidence, and owner-authorized TCU-only conference-tournament site worksheet where applicable.",Physical identity established in TCU research; research-local VEN-990xxx ID is provisional until serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000587.
9,tcu,gainbridge-fieldhouse,VEN-000070,Gainbridge Fieldhouse,,Indianapolis,IN,arena,,,,1,2024-03-22,2024-03-22,GAME_SITE,,,,Venue never establishes H/A/N; assignment follows independently researched site classification.,"TCU 2025-26 Fact Book, official TCU schedules, NCAA/postseason evidence, and owner-authorized TCU-only conference-tournament site worksheet where applicable.",Research-base physical reuse candidate; numeric ID must be authoritatively rebased in serialized Implementation. Integration rebase resolved final global venue ID VEN-000070.
