index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,tennessee,/- at Vanderbilt,at-vanderbilt,/- at Vanderbilt,No,1,2008-2009,2008-2009,RESOLVED,Historical/non-current source identity,,
1,tennessee,/17 2-Pittsburgh,17-2-pittsburgh,/17 2-Pittsburgh,No,1,2011-2012,2011-2012,RESOLVED,Historical/non-current source identity,,
2,tennessee,A&M-Corpus Christi,texas-a-m-corpus-christi,Texas A&M-Corpus Christi,Yes,1,2018-2019,2018-2019,RESOLVED,Current D1 registry / Tennessee alias normalization,,
3,tennessee,Ala.-Birmingham,uab,UAB,Yes,4,1983-1984,1991-1992,RESOLVED,Current D1 registry / Tennessee alias normalization,,
4,tennessee,Alabama,alabama,Alabama,Yes,158,1913-1914,2025-2026,RESOLVED,Inherited established project identity,,
5,tennessee,Alabama A&M,alabama-a-m,Alabama A&M,Yes,1,2005-2006,2005-2006,RESOLVED,Current D1 registry / Tennessee alias normalization,,
6,tennessee,Alabama State,alabama-state,Alabama State,Yes,2,2004-2005,2019-2020,RESOLVED,Inherited established project identity,,
7,tennessee,Alaska Anchorage,alaska-anchorage,Alaska-Anchorage,No,1,2001-2002,2001-2002,RESOLVED,Inherited established project identity,,
8,tennessee,Alaska-Anchorage,alaska-anchorage,Alaska-Anchorage,No,1,1990-1991,1990-1991,RESOLVED,Inherited established project identity,,
9,tennessee,Alcorn State,alcorn-state,Alcorn State,Yes,1,2022-2023,2022-2023,RESOLVED,Current D1 registry / Tennessee alias normalization,,
10,tennessee,American,american-university,American,Yes,1,2007-2008,2007-2008,RESOLVED,Inherited established project identity,,
11,tennessee,American Univ.,american-university,American,Yes,1,1981-1982,1981-1982,RESOLVED,Current D1 registry / Tennessee alias normalization,,
12,tennessee,American-PR,american-university-pr,American University (PR),No,2,1991-1992,1999-2000,RESOLVED,Historical/non-current source identity,,
