index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,TENRAW-00001,tennessee,historical_record_book,1908-1909,1909,1909-01-22,Asheville YMCA,Asheville YMCA,asheville-ymca,No,10,20,L,0,,,Opponent Home,OPPONENT_HOME,,,Asheville,,,,REGULAR_SEASON,,PDF p. 157,"J22 at Asheville YMCA L, 10-20 Asheville",resolved,,,,,
1,TENRAW-00002,tennessee,historical_record_book,1908-1909,1909,1909-01-23,Asheville School,Asheville School,asheville-school,No,19,29,L,0,,,Opponent Home,OPPONENT_HOME,,,Asheville,,,,REGULAR_SEASON,,PDF p. 157,"J23 at Asheville School L, 19-29 Asheville",resolved,,,,,
2,TENRAW-00003,tennessee,historical_record_book,1908-1909,1909,1909-01-27,TSD,Tennessee School for the Deaf,tennessee-school-for-deaf,No,55,16,W,0,,,Tennessee Home,SOURCE_PROGRAM_HOME,,UT YMCA Gymnasium,Knoxville,TN,,,REGULAR_SEASON,,PDF p. 157,"J27 TSD W, 55-16 Knoxville",resolved,,,,,
3,TENRAW-00004,tennessee,historical_record_book,1908-1909,1909,1909-01-28,Carson Newman,Carson-Newman,carson-newman,No,21,29,L,0,,,Opponent Home,OPPONENT_HOME,,,Jefferson City,,,,REGULAR_SEASON,,PDF p. 157,"J28 at Carson Newman L, 21-29 Jefferson City",resolved,,,,,
4,TENRAW-00005,tennessee,historical_record_book,1908-1909,1909,1909-01-29,Bristol YMCA,Bristol YMCA,bristol-ymca,No,31,47,L,0,,,Opponent Home,OPPONENT_HOME,,,Bristol,,,,REGULAR_SEASON,,PDF p. 157,"J29 at Bristol YMCA L, 31-47 Bristol",resolved,,,,,
5,TENRAW-00006,tennessee,historical_record_book,1908-1909,1909,1909-01-30,Bristol YMCA,Bristol YMCA,bristol-ymca,No,24,28,L,0,,,Opponent Home,OPPONENT_HOME,,,Bristol,,,,REGULAR_SEASON,,PDF p. 157,"J30 at Bristol YMCA L, 24-28 Bristol",resolved,,,,,
6,TENRAW-00007,tennessee,historical_record_book,1908-1909,1909,1909-02-04,TMI,Tennessee Military Institute,tennessee-military-institute,No,21,20,W,0,,,Opponent Home,OPPONENT_HOME,,,Sweetwater,,,,REGULAR_SEASON,,PDF p. 157,"F4 at TMI W, 21-20 Sweetwater",resolved,,,,,
7,TENRAW-00008,tennessee,historical_record_book,1909-1910,1910,1909-12-16,Central University,Centre,centre,No,33,31,W,0,,,Tennessee Home,SOURCE_PROGRAM_HOME,,UT YMCA Gymnasium,Knoxville,TN,,,REGULAR_SEASON,,PDF p. 157,"D16 Central University W, 33-31 Knoxville",resolved,,,,,
8,TENRAW-00009,tennessee,historical_record_book,1909-1910,1910,1909-12-20,Newport YMCA,Newport YMCA,newport-ymca,No,23,37,L,0,,,Opponent Home,OPPONENT_HOME,,,Newport,,,,REGULAR_SEASON,,PDF p. 157,"D20 at Newport YMCA L, 23-37 Newport",resolved,,,,,
9,TENRAW-00010,tennessee,historical_record_book,1909-1910,1910,1910-01-04,TSD,Tennessee School for the Deaf,tennessee-school-for-deaf,No,60,10,W,0,,,Tennessee Home,SOURCE_PROGRAM_HOME,,UT YMCA Gymnasium,Knoxville,TN,,,REGULAR_SEASON,,PDF p. 157,"J4 TSD W, 60-10 Knoxville",resolved,,,,,
