index,source_program_key,venue_key,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,tennessee,alumni-memorial-auditorium-gymnasium,Alumni Memorial Auditorium-Gymnasium,Alumni Gymnasium;Alumni Gym,Knoxville,TN,gymnasium,,,unknown,291,1932-12-17,1958-03-01,primary_home,1932-12-17,1957-1958,exact/season,A Tennessee game must already be independently classified home before this chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Tennessee Volmanac historical home-court section,Opened for Tennessee basketball with Lincoln Memorial on 1932-12-17.
1,tennessee,armory-fieldhouse,Armory-Fieldhouse,Armory Fieldhouse,Knoxville,TN,arena,,,unknown,91,1958-12-02,1966-03-05,primary_home,1958-12-02,1965-1966,exact/season,A Tennessee game must already be independently classified home before this chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Tennessee Volmanac historical home-court section,Same physical facility later expanded/renamed Stokely; user approved separate historical display era.
2,tennessee,bridgestone-arena,Bridgestone Arena,,Nashville,TN,arena,,,unknown,3,2025-12-06,2026-03-13,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
3,tennessee,bud-walton-arena,Bud Walton Arena,,Fayetteville,AR,arena,,,unknown,1,2026-01-03,2026-01-03,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
4,tennessee,coleman-coliseum,Coleman Coliseum,,Tuscaloosa,AL,arena,,,unknown,1,2026-01-24,2026-01-24,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
5,tennessee,colonial-life-arena,Colonial Life Arena,,Columbia,SC,arena,,,unknown,1,2026-03-03,2026-03-03,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
6,tennessee,humphrey-coliseum,Humphrey Coliseum,,Starkville,MS,arena,,,unknown,1,2026-02-11,2026-02-11,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
7,tennessee,jefferson-hall,Jefferson Hall,,Knoxville,TN,gymnasium,,,unknown,102,1923-01-08,1932-02-19,primary_home,1922-1923,1932-02-19,season/exact,A Tennessee game must already be independently classified home before this chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Tennessee Volmanac historical home-court section,Final documented game was Vanderbilt on 1932-02-19.
8,tennessee,jma-wireless-dome,JMA Wireless Dome,,Syracuse,NY,arena,,,unknown,1,2025-12-02,2025-12-02,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
9,tennessee,knoxville-ymca-gymnasium,Knoxville YMCA Gymnasium,Downtown YMCA,Knoxville,TN,gymnasium,,,unknown,63,1912-12-09,1922-02-17,primary_home,1912-1913,1921-1922,season,A Tennessee game must already be independently classified home before this chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Tennessee Volmanac historical home-court section,Shared downtown YMCA facility; owner approved season-based assignment.
10,tennessee,memorial-gymnasium,Memorial Gymnasium,,Nashville,TN,arena,,,unknown,1,2026-02-21,2026-02-21,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
11,tennessee,mgm-grand-garden-arena,MGM Grand Garden Arena,,Paradise,NV,arena,,,unknown,3,2025-11-24,2025-11-26,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
12,tennessee,mizzou-arena,Mizzou Arena,,Columbia,MO,arena,,,unknown,1,2026-02-24,2026-02-24,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
