index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,texas-a-m,95th Div. Ft. Sam Houston,95th-div-ft-sam-houston,95th Div. Ft. Sam Houston,No,1,1942-1943,1942-1943,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
1,texas-a-m,A&M CORPUS CHRISTI,texas-a-m-corpus-christi,Texas A&M-Corpus Christi,Yes,1,2016-2017,2016-2017,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
2,texas-a-m,A&M CORPUS-CHRISTI,texas-a-m-corpus-christi,Texas A&M-Corpus Christi,Yes,1,2021-2022,2021-2022,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
3,texas-a-m,A&M-CORPUS CHRISTI,texas-a-m-corpus-christi,Texas A&M-Corpus Christi,Yes,5,2003-2004,2019-2020,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
4,texas-a-m,AAF Pilot Personnel Dist. Cent.,aaf-pilot-personnel-dist-cent,Aaf Pilot Personnel Dist. Cent.,No,1,1945-1946,1945-1946,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
5,texas-a-m,ABILENE CHRISTIAN,abilene-christian,Abilene Christian,Yes,7,1947-1948,2024-2025,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
6,texas-a-m,ACU,abilene-christian,Abilene Christian,Yes,1,2021-2022,2021-2022,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
7,texas-a-m,Ada Oklahoma TC,ada-oklahoma-tc,Ada Oklahoma Tc,No,1,1939-1940,1939-1940,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
8,texas-a-m,Air Force,air-force,Air Force,Yes,3,1960-1961,1983-1984,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
9,texas-a-m,Akron,akron,Akron,Yes,2,1948-1949,2009-2010,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
10,texas-a-m,Alabama,alabama,Alabama,Yes,27,1958-1959,2025-2026,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
11,texas-a-m,ALABAMA A&M,alabama-a-m,Alabama A&M,Yes,2,2003-2004,2004-2005,RESOLVED,Texas A&M official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
