index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,TAMRAW-00001,texas-a-m,2024-25_media_guide_year_by_year,1912-1913,1913,,Marlin HS,Marlin Hs,marlin-hs,No,78,8,W,0,,,unpref,SOURCE_PROGRAM_HOME,,,College Station,TX,,,REGULAR_SEASON,,Texas A&M official records/history annual results; exact page varies by season,Marlin HS W 78-8,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,Texas A&M official Homes of Aggie Hoops chronology begins with DeWare Field House in 1924; contemporary 1924 campus reporting references a prior gym structure but does not establish a stable physical venue identity for this specific home row. HOME and College Station are retained without inventing a building.,,,,
1,TAMRAW-00002,texas-a-m,2024-25_media_guide_year_by_year,1912-1913,1913,,Galveston Y.M.C.A.,Galveston Y.m.c.a.,galveston-y-m-c-a,No,72,14,W,0,,,unpref,SOURCE_PROGRAM_HOME,,,College Station,TX,,,REGULAR_SEASON,,Texas A&M official records/history annual results; exact page varies by season,Galveston Y.M.C.A. W 72-14,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,Texas A&M official Homes of Aggie Hoops chronology begins with DeWare Field House in 1924; contemporary 1924 campus reporting references a prior gym structure but does not establish a stable physical venue identity for this specific home row. HOME and College Station are retained without inventing a building.,,,,
2,TAMRAW-00003,texas-a-m,2024-25_media_guide_year_by_year,1912-1913,1913,,Sam Houston NC,Sam Houston Nc,sam-houston-nc,No,72,9,W,0,,,unpref,SOURCE_PROGRAM_HOME,,,College Station,TX,,,REGULAR_SEASON,,Texas A&M official records/history annual results; exact page varies by season,Sam Houston NC W 72-9,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,Texas A&M official Homes of Aggie Hoops chronology begins with DeWare Field House in 1924; contemporary 1924 campus reporting references a prior gym structure but does not establish a stable physical venue identity for this specific home row. HOME and College Station are retained without inventing a building.,,,,
3,TAMRAW-00004,texas-a-m,2024-25_media_guide_year_by_year,1912-1913,1913,,Galveston Y.M.C.A.,Galveston Y.m.c.a.,galveston-y-m-c-a,No,25,27,L,0,,,unpref,SOURCE_PROGRAM_HOME,,,College Station,TX,,,REGULAR_SEASON,,Texas A&M official records/history annual results; exact page varies by season,Galveston Y.M.C.A. L 25-27,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,Texas A&M official Homes of Aggie Hoops chronology begins with DeWare Field House in 1924; contemporary 1924 campus reporting references a prior gym structure but does not establish a stable physical venue identity for this specific home row. HOME and College Station are retained without inventing a building.,,,,
4,TAMRAW-00005,texas-a-m,2024-25_media_guide_year_by_year,1912-1913,1913,,Sam Houston NC,Sam Houston Nc,sam-houston-nc,No,40,12,W,0,,,unpref,SOURCE_PROGRAM_HOME,,,College Station,TX,,,REGULAR_SEASON,,Texas A&M official records/history annual results; exact page varies by season,Sam Houston NC W 40-12,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,Texas A&M official Homes of Aggie Hoops chronology begins with DeWare Field House in 1924; contemporary 1924 campus reporting references a prior gym structure but does not establish a stable physical venue identity for this specific home row. HOME and College Station are retained without inventing a building.,,,,
5,TAMRAW-00006,texas-a-m,2024-25_media_guide_year_by_year,1912-1913,1913,,Houston HS,Houston Hs,houston-hs,No,24,26,L,0,,,unpref,SOURCE_PROGRAM_HOME,,,College Station,TX,,,REGULAR_SEASON,,Texas A&M official records/history annual results; exact page varies by season,Houston HS L 24-26,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,Texas A&M official Homes of Aggie Hoops chronology begins with DeWare Field House in 1924; contemporary 1924 campus reporting references a prior gym structure but does not establish a stable physical venue identity for this specific home row. HOME and College Station are retained without inventing a building.,,,,
6,TAMRAW-00007,texas-a-m,2024-25_media_guide_year_by_year,1913-1914,1914,,GALVESTON Y.M.C.A.,Galveston Y.m.c.a.,galveston-y-m-c-a,No,,,W,0,,,unpref,SOURCE_PROGRAM_HOME,,,College Station,TX,,,REGULAR_SEASON,,Texas A&M official records/history annual results; exact page varies by season,GALVESTON Y.M.C.A. W n/a,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,Texas A&M official Homes of Aggie Hoops chronology begins with DeWare Field House in 1924; contemporary 1924 campus reporting references a prior gym structure but does not establish a stable physical venue identity for this specific home row. HOME and College Station are retained without inventing a building.,,,,
7,TAMRAW-00008,texas-a-m,2024-25_media_guide_year_by_year,1913-1914,1914,,SAM HOUSTON NC,Sam Houston Nc,sam-houston-nc,No,,,W,0,,,unpref,SOURCE_PROGRAM_HOME,,,College Station,TX,,,REGULAR_SEASON,,Texas A&M official records/history annual results; exact page varies by season,SAM HOUSTON NC W n/a,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,Texas A&M official Homes of Aggie Hoops chronology begins with DeWare Field House in 1924; contemporary 1924 campus reporting references a prior gym structure but does not establish a stable physical venue identity for this specific home row. HOME and College Station are retained without inventing a building.,,,,
8,TAMRAW-00009,texas-a-m,2024-25_media_guide_year_by_year,1913-1914,1914,,HOWARD PAYNE,Howard Payne,howard-payne,No,,,W,0,,,unpref,SOURCE_PROGRAM_HOME,,,College Station,TX,,,REGULAR_SEASON,,Texas A&M official records/history annual results; exact page varies by season,HOWARD PAYNE W n/a,resolved,,RESEARCHED_UNRESOLVED_HOME_VENUE,Texas A&M official Homes of Aggie Hoops chronology begins with DeWare Field House in 1924; contemporary 1924 campus reporting references a prior gym structure but does not establish a stable physical venue identity for this specific home row. HOME and College Station are retained without inventing a building.,,,,
9,TAMRAW-00010,texas-a-m,2024-25_media_guide_year_by_year,1913-1914,1914,,Galveston Y.M.C.A.,Galveston Y.m.c.a.,galveston-y-m-c-a,No,,,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas A&M official records/history annual results; exact page varies by season,at Galveston Y.M.C.A. L n/a,resolved,,,,,,,
